case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,kplastic_mean,kplastic_nonzero_count,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
dp_high_strength,0,0.0,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,0,0.0,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,0,0.0,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,1,0.000503,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,1,0.000503,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,1,0.000503,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,2,0.001005,core_small,15,0,3408.232076027334,768.2823869977892,16964116.0,-0.01962920486666667,0.025433157,0.0,0.0,0,-9.073473033333334,-9.073472933333333,-7.400529833333333,7.400529833333333,0.020924505141364885,8.515825266666667,1.6729431500000047
dp_high_strength,2,0.001005,core_medium,45,0,4156.524398472555,1374.9530355652194,25141952.0,-0.023132744288888885,0.037711866,0.0,0.0,0,-10.654974322222223,-10.654974233333332,-9.855404771111113,9.855404771111113,0.02786550050436882,10.388451108888889,0.7995695066666708
dp_high_strength,2,0.001005,specimen_minus_edges,87,0,4698.739183172621,2074.1779915309744,31238852.0,-0.025065579636781615,0.046881352,0.0,0.0,0,-11.721895286206898,-11.721895205747128,-12.36440006666667,12.36440006666667,0.034959517573936644,11.936063519540232,0.6425048206896644
dp_high_strength,3,0.001508,core_small,15,0,15350.943356280664,2788.1279988143083,31359148.0,-0.0368050434,0.047035094,0.0,0.0,0,-34.36656533333334,-34.36656626666667,-35.84710606666667,35.84710606666667,0.10135530456434469,34.860079222222225,1.4805402666669218
dp_high_strength,3,0.001508,core_medium,45,0,16075.063361596818,4609.5971083087525,40172852.0,-0.03912065880000001,0.060293276,0.0,0.0,0,-37.47659871111111,-37.4765988,-43.14701808888888,43.14701808888888,0.12199531954712328,39.366738533333326,5.670419333333338
dp_high_strength,3,0.001508,specimen_minus_edges,87,0,15744.262372573643,5436.3067326122355,40172852.0,-0.0379835883908046,0.060293276,0.0,0.0,0,-37.89956856321838,-37.89956851724136,-48.01675243333333,48.01675243333333,0.13576416902441982,41.27196317126436,10.117183893103462
