test,mode,code,excluded,frames,final_time,max_porepressrate_abs,head_residual_max_abs,top_excess_max_abs,bottom_excess_mean,bottom_noflux_proxy,excess_max_abs
hydrostatic,0,0,0,2,0.000500604,6.2088165,8.96432212016407e-06,0.0,-9.393718028149998e-05,1.4803845259985459e-08,9.516884347249e-05
hydrostatic,1,0,0,2,0.000500604,6.2088165,8.848114166681853e-06,0.0,-9.393718028149998e-05,1.4803845259985459e-08,9.516884347249e-05
hydrostatic,2,0,0,2,0.000500604,9.9341068,2.4954128448939628e-05,0.0,-5.618213617709e-05,2.9447055567900397e-07,7.490877669625e-05
diffusion_profile,0,0,0,3,0.00200051,31459782.0,47.1896750316004,0.0,2951.784739427,0.014350931500302977,2952.013791184
diffusion_profile,1,0,0,3,0.00200051,31459776.0,47.18967208970439,0.0,2951.784739427,0.014350931500302977,2952.013791184
diffusion_profile,2,0,0,3,0.00200051,31473764.0,47.21065464424056,0.0,2953.3665002190005,0.021033146650552226,2953.557719029
selfweight_short,0,0,0,3,0.00500032,284007780.0,423.402191420999,0.0,27686.51350992,0.22083606449814397,27696.18564514
selfweight_short,1,0,0,3,0.00500032,284007780.0,423.4021927849134,0.0,27686.51364481,0.22083645549719222,27696.18578235
selfweight_short,2,0,0,3,0.00500032,286840770.0,426.2085445025484,0.0,27812.337709769996,0.4929060850008682,27820.22292242
