mode,model,eigenmode,s0,note
0,material_only,0,0.91197,Current material-material PR operator diagnostic.
1,virtual_ghost,0,0.91202,Simple virtual contribution has little effect in the 1D diagnostic.
2,hydraulic_boundary_particles,0,0.99529,Idealized boundary-particle hydraulic state target from O1-revised.
2,1d_mls_reference,0,0.9999,Standalone 1D MLS target; not production corrected-gradient.
