test,mode,code,excluded,frames,final_time,max_porepressrate_abs,head_residual_max_abs,top_excess_max_abs,bottom_excess_mean,bottom_noflux_proxy,excess_max_abs
hydrostatic,0,0,0,2,0.000500604,6.2088165,8.96432212016407e-06,0.0,-9.393718028149998e-05,1.4803845259985459e-08,9.516884347249e-05
hydrostatic,1,0,0,2,0.000500604,6.2088165,8.848114166681853e-06,0.0,-9.393718028149998e-05,1.4803845259985459e-08,9.516884347249e-05
hydrostatic,2,0,0,2,0.000500604,9.9341068,2.4954128448939628e-05,0.0,-5.618213617709e-05,2.9447055567900397e-07,7.490877669625e-05
