case,runout_exists,code,excluded,steps,runtime_sec,frames,diagnostic_rows,final_p0_eff,target_particles,final_net_force_mag,final_net_force_mag_over_abs_force,final_max_conf_accel,final_symmetry_residual,final_com_accel,final_vel_max,final_surface_radial_vel_mean,final_surface_radial_disp_mean,final_center_excess,final_mean_excess,final_kplastic_max_abs
no_load,True,0,0,16,0.655972,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-196.2000083923,-101.81691910481405,0.0
ramp,True,0,0,16,0.682131,5,4,50.0,739.0,3.232025911441899e-08,1.942171531936747e-08,1.95492,1.94216e-08,2.08262e-08,0.0007985885779613404,-0.0006277416191262452,-1.0888828548008615e-06,26319.6294233,31410.56207437846,0.0
