case,part,time,admissibility_failure_sum,reject_reason_max,line_search_backtrack_max,line_search_min_alpha_min_positive
adaptive_line,26,0.013069,0.0,4.0,76.0,2.3283064e-10
adaptive_line,27,0.013572,0.0,6.0,43.0,0.03125
adaptive_line,28,0.014074,0.0,6.0,70.0,2.3283064e-10
adaptive_line,29,0.014577,0.0,4.0,57.0,7.4505806e-09
adaptive_line,30,0.015079,0.0,4.0,70.0,2.3283064e-10
adaptive_line,31,0.015582,0.0,4.0,70.0,2.3283064e-10
adaptive_line,32,0.016085,0.0,4.0,70.0,2.3283064e-10
adaptive_line,33,0.016587,0.0,4.0,51.0,2.3283064e-10
adaptive_line,34,0.01709,0.0,4.0,70.0,2.3283064e-10
adaptive_line,35,0.017593,0.0,4.0,71.0,2.3283064e-10
adaptive_line,36,0.018095,0.0,4.0,71.0,2.3283064e-10
half_speed_adaptive_line,0,0.0,0.0,0.0,0.0,0.0
half_speed_adaptive_line,1,0.001005,0.0,6.0,18.0,0.0625
half_speed_adaptive_line,2,0.002011,0.0,6.0,67.0,2.3283064e-10
half_speed_adaptive_line,3,0.003016,0.0,6.0,4.0,0.0625
half_speed_adaptive_line,4,0.004022,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,5,0.005027,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,6,0.006032,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,7,0.007038,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,8,0.008043,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,9,0.009048,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,10,0.010054,0.0,4.0,70.0,2.3283064e-10
half_speed_adaptive_line,11,0.011059,0.0,4.0,70.0,2.3283064e-10
half_speed_adaptive_line,12,0.012064,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,13,0.01307,0.0,4.0,40.0,2.3283064e-10
half_speed_adaptive_line,14,0.014075,0.0,4.0,40.0,2.3283064e-10
half_speed_adaptive_line,15,0.015081,0.0,4.0,7.0,0.0078125
half_speed_adaptive_line,16,0.016086,0.0,4.0,58.0,2.3283064e-10
half_speed_adaptive_line,17,0.017091,0.0,4.0,58.0,2.3283064e-10
half_speed_adaptive_line,18,0.018097,0.0,4.0,5.0,0.03125
half_speed_adaptive_line,19,0.019002,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,20,0.020007,0.0,4.0,39.0,2.3283064e-10
half_speed_adaptive_line,21,0.021012,0.0,4.0,39.0,2.3283064e-10
half_speed_adaptive_line,22,0.022018,0.0,4.0,59.0,2.3283064e-10
half_speed_adaptive_line,23,0.023023,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,24,0.024028,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,25,0.025034,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,26,0.026039,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,27,0.027045,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,28,0.02805,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,29,0.029055,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,30,0.030061,0.0,4.0,61.0,2.3283064e-10
half_speed_adaptive_line,31,0.031066,0.0,4.0,61.0,2.3283064e-10
half_speed_adaptive_line,32,0.032071,0.0,4.0,61.0,2.3283064e-10
half_speed_adaptive_line,33,0.033077,0.0,4.0,5.0,0.03125
half_speed_adaptive_line,34,0.034082,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,35,0.035088,0.0,4.0,3.0,0.125
half_speed_adaptive_line,36,0.036093,0.0,4.0,3.0,0.125
quarter_speed_line,0,0.0,0.0,0.0,0.0,0.0
quarter_speed_line,1,0.002011,0.0,6.0,21.0,0.0625
quarter_speed_line,2,0.004022,0.0,4.0,7.0,0.0078125
quarter_speed_line,3,0.006032,0.0,4.0,2.0,0.25
quarter_speed_line,4,0.008043,0.0,4.0,53.0,2.3283064e-10
quarter_speed_line,5,0.010054,0.0,4.0,3.0,0.125
quarter_speed_line,6,0.012065,0.0,4.0,5.0,0.03125
quarter_speed_line,7,0.014076,0.0,4.0,51.0,2.3283064e-10
quarter_speed_line,8,0.016086,0.0,4.0,49.0,2.3283064e-10
quarter_speed_line,9,0.018097,0.0,4.0,57.0,2.3283064e-10
quarter_speed_line,10,0.020007,0.0,4.0,58.0,2.3283064e-10
quarter_speed_line,11,0.022018,0.0,4.0,58.0,2.3283064e-10
quarter_speed_line,12,0.024029,0.0,4.0,3.0,0.125
quarter_speed_line,13,0.02604,0.0,4.0,3.0,0.125
quarter_speed_line,14,0.028051,0.0,4.0,3.0,0.125
quarter_speed_line,15,0.030061,0.0,4.0,3.0,0.125
quarter_speed_line,16,0.032072,0.0,4.0,3.0,0.125
quarter_speed_line,17,0.034083,0.0,4.0,3.0,0.125
quarter_speed_line,18,0.036094,0.0,4.0,3.0,0.125
quarter_speed_line,19,0.038004,0.0,4.0,3.0,0.125
quarter_speed_line,20,0.040015,0.0,4.0,3.0,0.125
quarter_speed_line,21,0.042026,0.0,4.0,3.0,0.125
quarter_speed_line,22,0.044036,0.0,4.0,3.0,0.125
quarter_speed_line,23,0.046047,0.0,4.0,3.0,0.125
quarter_speed_line,24,0.048058,0.0,4.0,3.0,0.125
quarter_speed_line,25,0.050069,0.0,4.0,3.0,0.125
quarter_speed_line,26,0.05208,0.0,4.0,3.0,0.125
quarter_speed_line,27,0.05409,0.0,4.0,3.0,0.125
quarter_speed_line,28,0.056001,0.0,4.0,3.0,0.125
quarter_speed_line,29,0.058011,0.0,4.0,3.0,0.125
quarter_speed_line,30,0.060022,0.0,4.0,3.0,0.125
quarter_speed_line,31,0.062033,0.0,4.0,3.0,0.125
quarter_speed_line,32,0.064044,0.0,4.0,3.0,0.125
quarter_speed_line,33,0.066055,0.0,4.0,3.0,0.125
quarter_speed_line,34,0.068065,0.0,4.0,3.0,0.125
quarter_speed_line,35,0.070076,0.0,4.0,3.0,0.125
quarter_speed_line,36,0.072087,0.0,4.0,3.0,0.125
