case,part,time,substep_count_max,substep_count_mean,substep_failure_sum,substep_trigger_reason_max
adaptive_line,20,0.010053,16.0,1.3046683046683047,44.0,5.0
adaptive_line,21,0.010556,16.0,1.1474201474201475,20.0,5.0
adaptive_line,22,0.011058,16.0,1.1842751842751842,25.0,5.0
adaptive_line,23,0.011561,16.0,1.1842751842751842,25.0,5.0
adaptive_line,24,0.012064,16.0,1.3316953316953317,45.0,5.0
adaptive_line,25,0.012566,16.0,1.5896805896805897,80.0,5.0
adaptive_line,26,0.013069,16.0,1.5896805896805897,80.0,5.0
adaptive_line,27,0.013572,16.0,1.3636363636363635,52.0,5.0
adaptive_line,28,0.014074,16.0,1.3316953316953317,45.0,5.0
adaptive_line,29,0.014577,16.0,1.3685503685503686,49.0,5.0
adaptive_line,30,0.015079,16.0,1.3685503685503686,50.0,5.0
adaptive_line,31,0.015582,16.0,1.515970515970516,70.0,5.0
adaptive_line,32,0.016085,16.0,1.479115479115479,65.0,5.0
adaptive_line,33,0.016587,16.0,1.4422604422604424,60.0,5.0
adaptive_line,34,0.01709,16.0,1.479115479115479,65.0,5.0
adaptive_line,35,0.017593,16.0,1.6633906633906634,90.0,5.0
adaptive_line,36,0.018095,16.0,1.6633906633906634,90.0,5.0
half_speed_adaptive_line,0,0.0,0.0,0.0,0.0,0.0
half_speed_adaptive_line,1,0.001005,16.0,4.685503685503686,500.0,5.0
half_speed_adaptive_line,2,0.002011,16.0,2.511056511056511,205.0,5.0
half_speed_adaptive_line,3,0.003016,1.0,1.0,0.0,0.0
half_speed_adaptive_line,4,0.004022,1.0,1.0,0.0,0.0
half_speed_adaptive_line,5,0.005027,1.0,1.0,0.0,0.0
half_speed_adaptive_line,6,0.006032,1.0,1.0,0.0,0.0
half_speed_adaptive_line,7,0.007038,1.0,1.0,0.0,0.0
half_speed_adaptive_line,8,0.008043,1.0,1.0,0.0,0.0
half_speed_adaptive_line,9,0.009048,16.0,1.1474201474201475,20.0,5.0
half_speed_adaptive_line,10,0.010054,16.0,1.221130221130221,30.0,5.0
half_speed_adaptive_line,11,0.011059,16.0,1.0368550368550369,5.0,5.0
half_speed_adaptive_line,12,0.012064,1.0,1.0,0.0,0.0
half_speed_adaptive_line,13,0.01307,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,14,0.014075,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,15,0.015081,1.0,1.0,0.0,0.0
half_speed_adaptive_line,16,0.016086,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,17,0.017091,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,18,0.018097,1.0,1.0,0.0,0.0
half_speed_adaptive_line,19,0.019002,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,20,0.020007,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,21,0.021012,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,22,0.022018,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,23,0.023023,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,24,0.024028,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,25,0.025034,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,26,0.026039,16.0,1.2972972972972974,41.0,5.0
half_speed_adaptive_line,27,0.027045,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,28,0.02805,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,29,0.029055,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,30,0.030061,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,31,0.031066,16.0,1.3120393120393121,43.0,5.0
half_speed_adaptive_line,32,0.032071,16.0,1.2948402948402948,40.0,5.0
half_speed_adaptive_line,33,0.033077,1.0,1.0,0.0,0.0
half_speed_adaptive_line,34,0.034082,1.0,1.0,0.0,0.0
half_speed_adaptive_line,35,0.035088,1.0,1.0,0.0,0.0
half_speed_adaptive_line,36,0.036093,1.0,1.0,0.0,0.0
quarter_speed_line,0,0.0,0.0,0.0,0.0,0.0
quarter_speed_line,1,0.002011,16.0,2.2162162162162162,165.0,5.0
quarter_speed_line,2,0.004022,1.0,1.0,0.0,0.0
quarter_speed_line,3,0.006032,1.0,1.0,0.0,0.0
quarter_speed_line,4,0.008043,16.0,1.2948402948402948,40.0,5.0
quarter_speed_line,5,0.010054,1.0,1.0,0.0,0.0
quarter_speed_line,6,0.012065,1.0,1.0,0.0,0.0
quarter_speed_line,7,0.014076,16.0,1.452088452088452,66.0,5.0
quarter_speed_line,8,0.016086,16.0,1.5896805896805897,80.0,5.0
quarter_speed_line,9,0.018097,16.0,1.0737100737100738,10.0,5.0
quarter_speed_line,10,0.020007,16.0,1.0368550368550369,5.0,5.0
quarter_speed_line,11,0.022018,16.0,1.0368550368550369,5.0,5.0
quarter_speed_line,12,0.024029,1.0,1.0,0.0,0.0
quarter_speed_line,13,0.02604,1.0,1.0,0.0,0.0
quarter_speed_line,14,0.028051,1.0,1.0,0.0,0.0
quarter_speed_line,15,0.030061,1.0,1.0,0.0,0.0
quarter_speed_line,16,0.032072,1.0,1.0,0.0,0.0
quarter_speed_line,17,0.034083,1.0,1.0,0.0,0.0
quarter_speed_line,18,0.036094,1.0,1.0,0.0,0.0
quarter_speed_line,19,0.038004,1.0,1.0,0.0,0.0
quarter_speed_line,20,0.040015,1.0,1.0,0.0,0.0
quarter_speed_line,21,0.042026,1.0,1.0,0.0,0.0
quarter_speed_line,22,0.044036,1.0,1.0,0.0,0.0
quarter_speed_line,23,0.046047,1.0,1.0,0.0,0.0
quarter_speed_line,24,0.048058,1.0,1.0,0.0,0.0
quarter_speed_line,25,0.050069,1.0,1.0,0.0,0.0
quarter_speed_line,26,0.05208,1.0,1.0,0.0,0.0
quarter_speed_line,27,0.05409,1.0,1.0,0.0,0.0
quarter_speed_line,28,0.056001,1.0,1.0,0.0,0.0
quarter_speed_line,29,0.058011,1.0,1.0,0.0,0.0
quarter_speed_line,30,0.060022,1.0,1.0,0.0,0.0
quarter_speed_line,31,0.062033,1.0,1.0,0.0,0.0
quarter_speed_line,32,0.064044,1.0,1.0,0.0,0.0
quarter_speed_line,33,0.066055,1.0,1.0,0.0,0.0
quarter_speed_line,34,0.068065,1.0,1.0,0.0,0.0
quarter_speed_line,35,0.070076,1.0,1.0,0.0,0.0
quarter_speed_line,36,0.072087,1.0,1.0,0.0,0.0
