case,part,time,idp,trial_state_available,trial_p,trial_q,trial_pc,trial_yield_function,newton_initial_residual,line_search_step_residual_trace_available,line_search_backtracks,line_search_reject_reason,line_search_min_alpha
baseline,2,0.001005,437,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,446,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,447,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,490,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,491,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,492,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,501,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,502,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,511,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,512,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,533,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,534,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,379,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,380,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,262,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,263,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,328,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,329,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,339,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,340,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,416,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,417,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,207,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,208,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,273,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,274,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,284,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,285,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,361,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,362,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,372,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,373,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,427,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,428,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,438,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,439,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,493,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,494,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,2,0.001005,191,0,nan,nan,nan,nan,nan,0,12.0,4.0,0.00024414063
baseline,2,0.001005,477,0,nan,nan,nan,nan,nan,0,12.0,4.0,0.00024414063
baseline,2,0.001005,235,0,nan,nan,nan,nan,nan,0,12.0,4.0,0.00024414063
baseline,2,0.001005,521,0,nan,nan,nan,nan,nan,0,12.0,4.0,0.00024414063
baseline,3,0.001508,148,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,149,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,181,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,182,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,192,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,193,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,194,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,195,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,236,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,237,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,247,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,248,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,249,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,250,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,258,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,259,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,260,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,261,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,313,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,314,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,324,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,325,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,326,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,327,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,335,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,336,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
