case,case_name,code,excluded,dtmin_adjustments,steps,final_time,final_axial_strain,final_return_status_-5,final_return_status_-4,final_return_status_-3,final_return_status_-1,max_return_status_-5,max_return_status_-4,max_return_status_-3,max_return_status_-1,frames_with_negative_status,final_pc_mean,final_void_ratio_mean,final_plastic_vol_strain_mean,final_eq_plastic_strain_mean,final_pairwise_reaction_avg,final_p_proxy,final_q_proxy,final_porepress_mean,max_porepressrate_abs,max_velocity,max_line_search_backtracks,max_line_search_reject_reason,min_positive_alpha,clean_candidate
baseline,CaseM3h_MCCMildBaseline,0,0,0,176,0.018096,0.0004923412500000557,0,0,8,0,0,0,9,157,22,119.63033950859979,0.8004928626289921,-0.0002750144962390663,0.0007008079509599502,0.286149,47.26133310780504,64.9466204495404,-225214.38188911168,66923092.0,0.005916646641902406,12.0,6.0,0.00024414063,0
admissible_line,CaseM3h_MCCMildAdmissibleLine,0,0,0,176,0.018096,0.0004923412500000557,0,0,8,0,0,0,9,157,22,119.63033950859979,0.8004928626289921,-0.00027501449645036846,0.0007008079517461911,0.286149,47.261333113505295,64.94662039985039,-225214.38209566352,66923092.0,0.005916646641902406,32.0,6.0,2.3283064e-10,0
adaptive_line,CaseM3h_MCCMildAdaptiveLine,0,0,0,176,0.018095,0.0004857236600000481,0,0,10,8,0,0,16,92,35,119.63395098280112,0.8004936204422614,-0.0002723184364454544,0.000684499608812285,0.2848555,47.0880037313431,64.47403507528529,-239475.03929431646,76510096.0,0.0063158947346164855,92.0,6.0,2.3283064e-10,0
half_speed_adaptive_line,CaseM3h_MCCMildHalfSpeedAdaptiveLine,0,0,0,355,0.036093,0.00042589967000003504,0,0,0,0,0,0,8,100,23,119.53243157248168,0.8006309492383269,-0.0003481423016707617,0.000732856274453809,0.25510299999999997,46.251543046355444,62.16441271609576,-282269.0080923411,36343524.0,0.0030556682937390913,70.0,6.0,2.3283064e-10,0
quarter_speed_line,CaseM3h_MCCMildQuarterSpeedLine,0,0,0,713,0.072087,0.0003602242600000971,0,0,0,0,0,0,16,33,7,119.48345668304668,0.8006979929238329,-0.0003846846453027027,0.0007510759974773949,0.232701,45.02864108185915,59.349918234611316,-309361.4989686068,21905404.0,0.0015377808094036297,58.0,6.0,2.3283064e-10,0
