case,time,status,count
baseline,0.009048,-7,0
baseline,0.009048,-6,0
baseline,0.009048,-5,0
baseline,0.009048,-4,0
baseline,0.009048,-3,0
baseline,0.009048,-2,0
baseline,0.009048,-1,4
baseline,0.009048,0,6
baseline,0.009048,1,397
baseline,0.009048,2,0
baseline,0.009551,-8,0
baseline,0.009551,-7,0
baseline,0.009551,-6,0
baseline,0.009551,-5,0
baseline,0.009551,-4,0
baseline,0.009551,-3,4
baseline,0.009551,-2,0
baseline,0.009551,-1,4
baseline,0.009551,0,6
baseline,0.009551,1,393
baseline,0.009551,2,0
baseline,0.010053,-8,0
baseline,0.010053,-7,0
baseline,0.010053,-6,0
baseline,0.010053,-5,0
baseline,0.010053,-4,0
baseline,0.010053,-3,0
baseline,0.010053,-2,0
baseline,0.010053,-1,0
baseline,0.010053,0,6
baseline,0.010053,1,401
baseline,0.010053,2,0
baseline,0.010556,-8,0
baseline,0.010556,-7,0
baseline,0.010556,-6,0
baseline,0.010556,-5,0
baseline,0.010556,-4,0
baseline,0.010556,-3,8
baseline,0.010556,-2,0
baseline,0.010556,-1,0
baseline,0.010556,0,2
baseline,0.010556,1,397
baseline,0.010556,2,0
baseline,0.011059,-8,0
baseline,0.011059,-7,0
baseline,0.011059,-6,0
baseline,0.011059,-5,0
baseline,0.011059,-4,0
baseline,0.011059,-3,0
baseline,0.011059,-2,0
baseline,0.011059,-1,0
baseline,0.011059,0,2
baseline,0.011059,1,405
baseline,0.011059,2,0
baseline,0.011561,-8,0
baseline,0.011561,-7,0
baseline,0.011561,-6,0
baseline,0.011561,-5,0
baseline,0.011561,-4,0
baseline,0.011561,-3,1
baseline,0.011561,-2,0
baseline,0.011561,-1,0
baseline,0.011561,0,2
baseline,0.011561,1,404
baseline,0.011561,2,0
baseline,0.012064,-8,0
baseline,0.012064,-7,0
baseline,0.012064,-6,0
baseline,0.012064,-5,0
baseline,0.012064,-4,0
baseline,0.012064,-3,4
baseline,0.012064,-2,0
baseline,0.012064,-1,0
baseline,0.012064,0,2
baseline,0.012064,1,401
baseline,0.012064,2,0
baseline,0.012566,-8,0
baseline,0.012566,-7,0
baseline,0.012566,-6,0
baseline,0.012566,-5,0
baseline,0.012566,-4,0
baseline,0.012566,-3,0
baseline,0.012566,-2,0
baseline,0.012566,-1,0
baseline,0.012566,0,2
baseline,0.012566,1,405
baseline,0.012566,2,0
baseline,0.013069,-8,0
baseline,0.013069,-7,0
baseline,0.013069,-6,0
baseline,0.013069,-5,0
baseline,0.013069,-4,0
baseline,0.013069,-3,0
baseline,0.013069,-2,0
baseline,0.013069,-1,0
baseline,0.013069,0,2
baseline,0.013069,1,405
baseline,0.013069,2,0
baseline,0.013572,-8,0
baseline,0.013572,-7,0
baseline,0.013572,-6,0
baseline,0.013572,-5,0
baseline,0.013572,-4,0
baseline,0.013572,-3,0
baseline,0.013572,-2,0
baseline,0.013572,-1,0
baseline,0.013572,0,2
baseline,0.013572,1,405
baseline,0.013572,2,0
baseline,0.014074,-8,0
baseline,0.014074,-7,0
baseline,0.014074,-6,0
baseline,0.014074,-5,0
baseline,0.014074,-4,0
baseline,0.014074,-3,0
baseline,0.014074,-2,0
baseline,0.014074,-1,0
baseline,0.014074,0,2
baseline,0.014074,1,405
baseline,0.014074,2,0
baseline,0.014577,-8,0
baseline,0.014577,-7,0
baseline,0.014577,-6,0
baseline,0.014577,-5,0
baseline,0.014577,-4,0
baseline,0.014577,-3,4
baseline,0.014577,-2,0
baseline,0.014577,-1,0
baseline,0.014577,0,2
baseline,0.014577,1,401
baseline,0.014577,2,0
baseline,0.01508,-8,0
baseline,0.01508,-7,0
baseline,0.01508,-6,0
baseline,0.01508,-5,0
baseline,0.01508,-4,0
baseline,0.01508,-3,0
baseline,0.01508,-2,0
baseline,0.01508,-1,0
baseline,0.01508,0,2
baseline,0.01508,1,405
baseline,0.01508,2,0
baseline,0.015582,-8,0
baseline,0.015582,-7,0
baseline,0.015582,-6,0
baseline,0.015582,-5,0
baseline,0.015582,-4,0
baseline,0.015582,-3,1
baseline,0.015582,-2,0
baseline,0.015582,-1,0
baseline,0.015582,0,2
baseline,0.015582,1,404
baseline,0.015582,2,0
baseline,0.016085,-8,0
baseline,0.016085,-7,0
baseline,0.016085,-6,0
baseline,0.016085,-5,0
baseline,0.016085,-4,0
baseline,0.016085,-3,5
baseline,0.016085,-2,0
baseline,0.016085,-1,0
baseline,0.016085,0,2
baseline,0.016085,1,400
baseline,0.016085,2,0
baseline,0.016588,-8,0
baseline,0.016588,-7,0
baseline,0.016588,-6,0
baseline,0.016588,-5,0
baseline,0.016588,-4,0
baseline,0.016588,-3,1
baseline,0.016588,-2,0
baseline,0.016588,-1,0
baseline,0.016588,0,2
baseline,0.016588,1,404
baseline,0.016588,2,0
baseline,0.01709,-8,0
baseline,0.01709,-7,0
baseline,0.01709,-6,0
baseline,0.01709,-5,0
baseline,0.01709,-4,0
baseline,0.01709,-3,9
baseline,0.01709,-2,0
baseline,0.01709,-1,0
baseline,0.01709,0,2
baseline,0.01709,1,396
baseline,0.01709,2,0
baseline,0.017593,-8,0
baseline,0.017593,-7,0
baseline,0.017593,-6,0
baseline,0.017593,-5,0
baseline,0.017593,-4,0
baseline,0.017593,-3,0
baseline,0.017593,-2,0
baseline,0.017593,-1,0
baseline,0.017593,0,2
baseline,0.017593,1,405
baseline,0.017593,2,0
baseline,0.018096,-8,0
baseline,0.018096,-7,0
baseline,0.018096,-6,0
baseline,0.018096,-5,0
baseline,0.018096,-4,0
baseline,0.018096,-3,8
baseline,0.018096,-2,0
baseline,0.018096,-1,0
baseline,0.018096,0,2
baseline,0.018096,1,397
baseline,0.018096,2,0
admissible_line,0.0,-8,0
admissible_line,0.0,-7,0
admissible_line,0.0,-6,0
admissible_line,0.0,-5,0
admissible_line,0.0,-4,0
admissible_line,0.0,-3,0
admissible_line,0.0,-2,0
admissible_line,0.0,-1,0
admissible_line,0.0,0,407
admissible_line,0.0,1,0
admissible_line,0.0,2,0
admissible_line,0.000503,-8,0
admissible_line,0.000503,-7,0
admissible_line,0.000503,-6,0
admissible_line,0.000503,-5,0
admissible_line,0.000503,-4,0
admissible_line,0.000503,-3,0
admissible_line,0.000503,-2,0
admissible_line,0.000503,-1,0
admissible_line,0.000503,0,407
admissible_line,0.000503,1,0
admissible_line,0.000503,2,0
admissible_line,0.001005,-8,0
admissible_line,0.001005,-7,0
admissible_line,0.001005,-6,0
admissible_line,0.001005,-5,0
admissible_line,0.001005,-4,0
admissible_line,0.001005,-3,4
admissible_line,0.001005,-2,0
admissible_line,0.001005,-1,92
admissible_line,0.001005,0,161
admissible_line,0.001005,1,150
admissible_line,0.001005,2,0
admissible_line,0.001508,-8,0
admissible_line,0.001508,-7,0
admissible_line,0.001508,-6,0
admissible_line,0.001508,-5,0
admissible_line,0.001508,-4,0
admissible_line,0.001508,-3,0
admissible_line,0.001508,-2,0
admissible_line,0.001508,-1,157
admissible_line,0.001508,0,120
admissible_line,0.001508,1,130
admissible_line,0.001508,2,0
admissible_line,0.002011,-8,0
admissible_line,0.002011,-7,0
admissible_line,0.002011,-6,0
admissible_line,0.002011,-5,0
admissible_line,0.002011,-4,0
admissible_line,0.002011,-3,4
admissible_line,0.002011,-2,0
admissible_line,0.002011,-1,86
admissible_line,0.002011,0,176
admissible_line,0.002011,1,141
admissible_line,0.002011,2,0
admissible_line,0.002513,-8,0
admissible_line,0.002513,-7,0
admissible_line,0.002513,-6,0
admissible_line,0.002513,-5,0
admissible_line,0.002513,-4,0
admissible_line,0.002513,-3,0
admissible_line,0.002513,-2,0
admissible_line,0.002513,-1,40
admissible_line,0.002513,0,185
admissible_line,0.002513,1,182
admissible_line,0.002513,2,0
admissible_line,0.003016,-8,0
admissible_line,0.003016,-7,0
admissible_line,0.003016,-6,0
admissible_line,0.003016,-5,0
admissible_line,0.003016,-4,0
admissible_line,0.003016,-3,4
admissible_line,0.003016,-2,0
admissible_line,0.003016,-1,0
admissible_line,0.003016,0,230
admissible_line,0.003016,1,173
admissible_line,0.003016,2,0
admissible_line,0.003519,-8,0
admissible_line,0.003519,-7,0
admissible_line,0.003519,-6,0
admissible_line,0.003519,-5,0
admissible_line,0.003519,-4,0
admissible_line,0.003519,-3,4
admissible_line,0.003519,-2,0
admissible_line,0.003519,-1,0
admissible_line,0.003519,0,210
admissible_line,0.003519,1,193
admissible_line,0.003519,2,0
admissible_line,0.004021,-8,0
admissible_line,0.004021,-7,0
admissible_line,0.004021,-6,0
admissible_line,0.004021,-5,0
admissible_line,0.004021,-4,0
admissible_line,0.004021,-3,1
admissible_line,0.004021,-2,0
admissible_line,0.004021,-1,0
admissible_line,0.004021,0,140
admissible_line,0.004021,1,266
admissible_line,0.004021,2,0
admissible_line,0.004524,-8,0
admissible_line,0.004524,-7,0
admissible_line,0.004524,-6,0
admissible_line,0.004524,-5,0
admissible_line,0.004524,-4,0
admissible_line,0.004524,-3,0
admissible_line,0.004524,-2,0
admissible_line,0.004524,-1,0
admissible_line,0.004524,0,59
admissible_line,0.004524,1,348
admissible_line,0.004524,2,0
admissible_line,0.005027,-8,0
admissible_line,0.005027,-7,0
admissible_line,0.005027,-6,0
admissible_line,0.005027,-5,0
admissible_line,0.005027,-4,0
admissible_line,0.005027,-3,0
admissible_line,0.005027,-2,0
admissible_line,0.005027,-1,0
admissible_line,0.005027,0,18
admissible_line,0.005027,1,389
admissible_line,0.005027,2,0
admissible_line,0.005529,-8,0
admissible_line,0.005529,-7,0
admissible_line,0.005529,-6,0
admissible_line,0.005529,-5,0
admissible_line,0.005529,-4,0
admissible_line,0.005529,-3,0
admissible_line,0.005529,-2,0
admissible_line,0.005529,-1,0
admissible_line,0.005529,0,1
admissible_line,0.005529,1,406
admissible_line,0.005529,2,0
admissible_line,0.006032,-8,0
admissible_line,0.006032,-7,0
admissible_line,0.006032,-6,0
admissible_line,0.006032,-5,0
admissible_line,0.006032,-4,0
admissible_line,0.006032,-3,0
admissible_line,0.006032,-2,0
admissible_line,0.006032,-1,0
admissible_line,0.006032,0,0
admissible_line,0.006032,1,407
admissible_line,0.006032,2,0
admissible_line,0.006535,-8,0
admissible_line,0.006535,-7,0
admissible_line,0.006535,-6,0
admissible_line,0.006535,-5,0
admissible_line,0.006535,-4,0
admissible_line,0.006535,-3,0
admissible_line,0.006535,-2,0
admissible_line,0.006535,-1,0
admissible_line,0.006535,0,2
admissible_line,0.006535,1,405
admissible_line,0.006535,2,0
admissible_line,0.007037,-8,0
admissible_line,0.007037,-7,0
admissible_line,0.007037,-6,0
admissible_line,0.007037,-5,0
admissible_line,0.007037,-4,0
admissible_line,0.007037,-3,4
admissible_line,0.007037,-2,0
admissible_line,0.007037,-1,0
admissible_line,0.007037,0,2
admissible_line,0.007037,1,401
admissible_line,0.007037,2,0
admissible_line,0.00754,-8,0
admissible_line,0.00754,-7,0
admissible_line,0.00754,-6,0
admissible_line,0.00754,-5,0
admissible_line,0.00754,-4,0
admissible_line,0.00754,-3,0
admissible_line,0.00754,-2,0
admissible_line,0.00754,-1,4
admissible_line,0.00754,0,2
admissible_line,0.00754,1,401
admissible_line,0.00754,2,0
admissible_line,0.008043,-8,0
admissible_line,0.008043,-7,0
admissible_line,0.008043,-6,0
admissible_line,0.008043,-5,0
admissible_line,0.008043,-4,0
admissible_line,0.008043,-3,4
admissible_line,0.008043,-2,0
admissible_line,0.008043,-1,4
admissible_line,0.008043,0,2
admissible_line,0.008043,1,397
admissible_line,0.008043,2,0
admissible_line,0.008545,-8,0
admissible_line,0.008545,-7,0
admissible_line,0.008545,-6,0
admissible_line,0.008545,-5,0
admissible_line,0.008545,-4,0
admissible_line,0.008545,-3,0
admissible_line,0.008545,-2,0
admissible_line,0.008545,-1,4
admissible_line,0.008545,0,2
admissible_line,0.008545,1,401
admissible_line,0.008545,2,0
admissible_line,0.009048,-8,0
admissible_line,0.009048,-7,0
admissible_line,0.009048,-6,0
admissible_line,0.009048,-5,0
admissible_line,0.009048,-4,0
admissible_line,0.009048,-3,0
admissible_line,0.009048,-2,0
admissible_line,0.009048,-1,4
admissible_line,0.009048,0,6
admissible_line,0.009048,1,397
admissible_line,0.009048,2,0
admissible_line,0.009551,-8,0
admissible_line,0.009551,-7,0
admissible_line,0.009551,-6,0
admissible_line,0.009551,-5,0
admissible_line,0.009551,-4,0
admissible_line,0.009551,-3,4
admissible_line,0.009551,-2,0
admissible_line,0.009551,-1,4
admissible_line,0.009551,0,6
admissible_line,0.009551,1,393
admissible_line,0.009551,2,0
admissible_line,0.010053,-8,0
admissible_line,0.010053,-7,0
admissible_line,0.010053,-6,0
admissible_line,0.010053,-5,0
admissible_line,0.010053,-4,0
admissible_line,0.010053,-3,0
admissible_line,0.010053,-2,0
admissible_line,0.010053,-1,0
admissible_line,0.010053,0,6
admissible_line,0.010053,1,401
admissible_line,0.010053,2,0
admissible_line,0.010556,-8,0
admissible_line,0.010556,-7,0
admissible_line,0.010556,-6,0
admissible_line,0.010556,-5,0
admissible_line,0.010556,-4,0
admissible_line,0.010556,-3,8
admissible_line,0.010556,-2,0
admissible_line,0.010556,-1,0
admissible_line,0.010556,0,2
admissible_line,0.010556,1,397
admissible_line,0.010556,2,0
admissible_line,0.011059,-8,0
admissible_line,0.011059,-7,0
admissible_line,0.011059,-6,0
admissible_line,0.011059,-5,0
admissible_line,0.011059,-4,0
admissible_line,0.011059,-3,0
admissible_line,0.011059,-2,0
admissible_line,0.011059,-1,0
admissible_line,0.011059,0,2
admissible_line,0.011059,1,405
admissible_line,0.011059,2,0
admissible_line,0.011561,-8,0
admissible_line,0.011561,-7,0
admissible_line,0.011561,-6,0
admissible_line,0.011561,-5,0
admissible_line,0.011561,-4,0
admissible_line,0.011561,-3,1
admissible_line,0.011561,-2,0
admissible_line,0.011561,-1,0
admissible_line,0.011561,0,2
admissible_line,0.011561,1,404
admissible_line,0.011561,2,0
admissible_line,0.012064,-8,0
admissible_line,0.012064,-7,0
admissible_line,0.012064,-6,0
admissible_line,0.012064,-5,0
admissible_line,0.012064,-4,0
admissible_line,0.012064,-3,4
admissible_line,0.012064,-2,0
admissible_line,0.012064,-1,0
admissible_line,0.012064,0,2
admissible_line,0.012064,1,401
admissible_line,0.012064,2,0
admissible_line,0.012566,-8,0
admissible_line,0.012566,-7,0
admissible_line,0.012566,-6,0
admissible_line,0.012566,-5,0
admissible_line,0.012566,-4,0
admissible_line,0.012566,-3,0
admissible_line,0.012566,-2,0
admissible_line,0.012566,-1,0
admissible_line,0.012566,0,2
admissible_line,0.012566,1,405
admissible_line,0.012566,2,0
admissible_line,0.013069,-8,0
admissible_line,0.013069,-7,0
admissible_line,0.013069,-6,0
admissible_line,0.013069,-5,0
admissible_line,0.013069,-4,0
admissible_line,0.013069,-3,0
admissible_line,0.013069,-2,0
admissible_line,0.013069,-1,0
admissible_line,0.013069,0,2
admissible_line,0.013069,1,405
admissible_line,0.013069,2,0
admissible_line,0.013572,-8,0
admissible_line,0.013572,-7,0
admissible_line,0.013572,-6,0
admissible_line,0.013572,-5,0
admissible_line,0.013572,-4,0
admissible_line,0.013572,-3,0
admissible_line,0.013572,-2,0
admissible_line,0.013572,-1,0
admissible_line,0.013572,0,2
admissible_line,0.013572,1,405
admissible_line,0.013572,2,0
admissible_line,0.014074,-8,0
admissible_line,0.014074,-7,0
admissible_line,0.014074,-6,0
admissible_line,0.014074,-5,0
admissible_line,0.014074,-4,0
admissible_line,0.014074,-3,0
admissible_line,0.014074,-2,0
admissible_line,0.014074,-1,0
admissible_line,0.014074,0,2
admissible_line,0.014074,1,405
admissible_line,0.014074,2,0
admissible_line,0.014577,-8,0
admissible_line,0.014577,-7,0
admissible_line,0.014577,-6,0
admissible_line,0.014577,-5,0
admissible_line,0.014577,-4,0
admissible_line,0.014577,-3,4
admissible_line,0.014577,-2,0
admissible_line,0.014577,-1,0
admissible_line,0.014577,0,2
admissible_line,0.014577,1,401
admissible_line,0.014577,2,0
admissible_line,0.01508,-8,0
admissible_line,0.01508,-7,0
admissible_line,0.01508,-6,0
admissible_line,0.01508,-5,0
admissible_line,0.01508,-4,0
admissible_line,0.01508,-3,0
admissible_line,0.01508,-2,0
admissible_line,0.01508,-1,0
admissible_line,0.01508,0,2
admissible_line,0.01508,1,405
admissible_line,0.01508,2,0
admissible_line,0.015582,-8,0
admissible_line,0.015582,-7,0
admissible_line,0.015582,-6,0
admissible_line,0.015582,-5,0
admissible_line,0.015582,-4,0
admissible_line,0.015582,-3,1
admissible_line,0.015582,-2,0
admissible_line,0.015582,-1,0
admissible_line,0.015582,0,2
admissible_line,0.015582,1,404
admissible_line,0.015582,2,0
admissible_line,0.016085,-8,0
admissible_line,0.016085,-7,0
admissible_line,0.016085,-6,0
admissible_line,0.016085,-5,0
admissible_line,0.016085,-4,0
admissible_line,0.016085,-3,5
admissible_line,0.016085,-2,0
admissible_line,0.016085,-1,0
admissible_line,0.016085,0,2
admissible_line,0.016085,1,400
admissible_line,0.016085,2,0
admissible_line,0.016588,-8,0
admissible_line,0.016588,-7,0
admissible_line,0.016588,-6,0
admissible_line,0.016588,-5,0
admissible_line,0.016588,-4,0
admissible_line,0.016588,-3,1
admissible_line,0.016588,-2,0
admissible_line,0.016588,-1,0
admissible_line,0.016588,0,2
admissible_line,0.016588,1,404
admissible_line,0.016588,2,0
admissible_line,0.01709,-8,0
admissible_line,0.01709,-7,0
admissible_line,0.01709,-6,0
admissible_line,0.01709,-5,0
admissible_line,0.01709,-4,0
admissible_line,0.01709,-3,9
admissible_line,0.01709,-2,0
admissible_line,0.01709,-1,0
admissible_line,0.01709,0,2
admissible_line,0.01709,1,396
admissible_line,0.01709,2,0
admissible_line,0.017593,-8,0
admissible_line,0.017593,-7,0
admissible_line,0.017593,-6,0
admissible_line,0.017593,-5,0
admissible_line,0.017593,-4,0
admissible_line,0.017593,-3,0
admissible_line,0.017593,-2,0
admissible_line,0.017593,-1,0
admissible_line,0.017593,0,2
admissible_line,0.017593,1,405
admissible_line,0.017593,2,0
admissible_line,0.018096,-8,0
admissible_line,0.018096,-7,0
admissible_line,0.018096,-6,0
admissible_line,0.018096,-5,0
admissible_line,0.018096,-4,0
admissible_line,0.018096,-3,8
admissible_line,0.018096,-2,0
admissible_line,0.018096,-1,0
admissible_line,0.018096,0,2
admissible_line,0.018096,1,397
admissible_line,0.018096,2,0
adaptive_line,0.0,-8,0
adaptive_line,0.0,-7,0
adaptive_line,0.0,-6,0
adaptive_line,0.0,-5,0
adaptive_line,0.0,-4,0
adaptive_line,0.0,-3,0
adaptive_line,0.0,-2,0
adaptive_line,0.0,-1,0
adaptive_line,0.0,0,407
adaptive_line,0.0,1,0
adaptive_line,0.0,2,0
adaptive_line,0.000503,-8,0
adaptive_line,0.000503,-7,0
adaptive_line,0.000503,-6,0
adaptive_line,0.000503,-5,0
adaptive_line,0.000503,-4,0
adaptive_line,0.000503,-3,0
adaptive_line,0.000503,-2,0
adaptive_line,0.000503,-1,0
adaptive_line,0.000503,0,407
adaptive_line,0.000503,1,0
adaptive_line,0.000503,2,0
adaptive_line,0.001005,-8,0
adaptive_line,0.001005,-7,0
adaptive_line,0.001005,-6,0
adaptive_line,0.001005,-5,0
adaptive_line,0.001005,-4,0
adaptive_line,0.001005,-3,4
adaptive_line,0.001005,-2,0
adaptive_line,0.001005,-1,92
adaptive_line,0.001005,0,161
adaptive_line,0.001005,1,150
adaptive_line,0.001005,2,0
adaptive_line,0.001508,-8,0
adaptive_line,0.001508,-7,0
adaptive_line,0.001508,-6,0
adaptive_line,0.001508,-5,0
adaptive_line,0.001508,-4,0
adaptive_line,0.001508,-3,0
adaptive_line,0.001508,-2,0
adaptive_line,0.001508,-1,74
adaptive_line,0.001508,0,144
adaptive_line,0.001508,1,189
adaptive_line,0.001508,2,0
adaptive_line,0.002011,-8,0
adaptive_line,0.002011,-7,0
adaptive_line,0.002011,-6,0
adaptive_line,0.002011,-5,0
adaptive_line,0.002011,-4,0
adaptive_line,0.002011,-3,0
adaptive_line,0.002011,-2,0
adaptive_line,0.002011,-1,33
adaptive_line,0.002011,0,184
adaptive_line,0.002011,1,190
adaptive_line,0.002011,2,0
adaptive_line,0.002513,-8,0
adaptive_line,0.002513,-7,0
adaptive_line,0.002513,-6,0
adaptive_line,0.002513,-5,0
adaptive_line,0.002513,-4,0
adaptive_line,0.002513,-3,8
adaptive_line,0.002513,-2,0
adaptive_line,0.002513,-1,8
adaptive_line,0.002513,0,169
adaptive_line,0.002513,1,222
adaptive_line,0.002513,2,0
adaptive_line,0.003016,-8,0
adaptive_line,0.003016,-7,0
adaptive_line,0.003016,-6,0
adaptive_line,0.003016,-5,0
adaptive_line,0.003016,-4,0
adaptive_line,0.003016,-3,12
adaptive_line,0.003016,-2,0
adaptive_line,0.003016,-1,0
adaptive_line,0.003016,0,162
adaptive_line,0.003016,1,233
adaptive_line,0.003016,2,0
adaptive_line,0.003519,-8,0
adaptive_line,0.003519,-7,0
adaptive_line,0.003519,-6,0
adaptive_line,0.003519,-5,0
adaptive_line,0.003519,-4,0
adaptive_line,0.003519,-3,8
adaptive_line,0.003519,-2,0
adaptive_line,0.003519,-1,0
adaptive_line,0.003519,0,136
adaptive_line,0.003519,1,263
adaptive_line,0.003519,2,0
adaptive_line,0.004021,-8,0
adaptive_line,0.004021,-7,0
adaptive_line,0.004021,-6,0
adaptive_line,0.004021,-5,0
adaptive_line,0.004021,-4,0
adaptive_line,0.004021,-3,8
adaptive_line,0.004021,-2,0
adaptive_line,0.004021,-1,0
adaptive_line,0.004021,0,96
adaptive_line,0.004021,1,303
adaptive_line,0.004021,2,0
adaptive_line,0.004524,-8,0
adaptive_line,0.004524,-7,0
adaptive_line,0.004524,-6,0
adaptive_line,0.004524,-5,0
adaptive_line,0.004524,-4,0
adaptive_line,0.004524,-3,9
adaptive_line,0.004524,-2,0
adaptive_line,0.004524,-1,0
adaptive_line,0.004524,0,71
adaptive_line,0.004524,1,327
adaptive_line,0.004524,2,0
adaptive_line,0.005027,-8,0
adaptive_line,0.005027,-7,0
adaptive_line,0.005027,-6,0
adaptive_line,0.005027,-5,0
adaptive_line,0.005027,-4,0
adaptive_line,0.005027,-3,8
adaptive_line,0.005027,-2,0
adaptive_line,0.005027,-1,0
adaptive_line,0.005027,0,35
adaptive_line,0.005027,1,364
adaptive_line,0.005027,2,0
