case,part,time,raw_max_abs,converged_max_abs,return_iterations_max,return_iterations_mean
admissible_line,35,0.017593,4405.4355,6.1990322e-05,26.0,9.422604422604422
admissible_line,36,0.018096,4486.3052,6.42421e-05,26.0,9.427518427518427
adaptive_line,0,0.0,0.0,0.0,0.0,0.0
adaptive_line,1,0.000503,4596.9512,0.0,0.0,0.0
adaptive_line,2,0.001005,3048.8828,7.789192e-05,84.0,14.324324324324325
adaptive_line,3,0.001508,3765.0845,4.9381812e-05,111.0,15.82063882063882
adaptive_line,4,0.002011,4782.9556,7.9325917e-05,91.0,9.71007371007371
adaptive_line,5,0.002513,4706.4209,6.8585941e-05,108.0,7.9115479115479115
adaptive_line,6,0.003016,4515.3892,5.3340955e-05,126.0,7.759213759213759
adaptive_line,7,0.003519,4512.585,5.7132151e-05,102.0,6.896805896805897
adaptive_line,8,0.004021,4209.1611,9.2092967e-05,107.0,8.398034398034397
adaptive_line,9,0.004524,3462.9932,7.9985053e-05,115.0,9.28009828009828
adaptive_line,10,0.005027,3072.7305,8.6839835e-05,116.0,9.326781326781326
adaptive_line,11,0.005529,2755.865,0.00012303129,111.0,9.842751842751843
adaptive_line,12,0.006032,2544.8494,7.1263348e-05,113.0,11.154791154791155
adaptive_line,13,0.006535,2630.4128,7.4220603e-05,116.0,12.223587223587224
adaptive_line,14,0.007037,2957.2976,6.4356704e-05,117.0,10.737100737100738
adaptive_line,15,0.00754,3338.4224,4.5121633e-05,195.0,12.786240786240786
adaptive_line,16,0.008043,4423.6538,4.9689846e-05,214.0,13.206388206388207
adaptive_line,17,0.008545,4397.3179,7.2683106e-05,208.0,12.22113022113022
adaptive_line,18,0.009048,4438.4556,0.00011130656,209.0,13.054054054054054
adaptive_line,19,0.00955,4702.2246,0.00010338867,212.0,13.901719901719902
adaptive_line,20,0.010053,4893.7305,0.00010970127,183.0,11.14004914004914
adaptive_line,21,0.010556,5006.585,0.00012004174,184.0,10.167076167076168
adaptive_line,22,0.011058,5047.3726,0.00012641857,195.0,10.469287469287469
adaptive_line,23,0.011561,5054.8657,0.00012723694,195.0,10.515970515970515
adaptive_line,24,0.012064,5065.4141,0.00012576042,197.0,11.245700245700245
