case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1,0.000503,-2.0285726015645267e-08,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0009684581650833893
baseline,2,0.001005,3.5213260500543964e-06,-16020.743816638296,3489.4607794851318,28763496.0,0.043205004,0.002581265388660145
baseline,3,0.001508,1.2303372170091587e-05,-18898.22295791297,5553.3443161071,38999052.0,0.058520902,0.0038150888009469922
baseline,4,0.002011,2.375143980007377e-05,-16189.229487128725,13544.86527810674,48548364.0,0.07291884,0.004506033172524084
baseline,5,0.002513,3.682086509998461e-05,-13005.81871013194,18412.994539488733,52820388.0,0.079320081,0.004916649626436078
baseline,6,0.003016,5.091539840004766e-05,-13460.633326269448,28114.06278235987,54996124.0,0.082645603,0.005177726005218454
baseline,7,0.003519,6.57151932001443e-05,-18129.930876678507,31322.512762728158,56911092.0,0.085501015,0.005364573605300064
baseline,8,0.004021,8.101679450006616e-05,-26132.44833160832,38832.56892458556,59008048.0,0.088749997,0.005509173386397656
baseline,9,0.004524,9.63944103000991e-05,-34540.38232099173,40679.67382274355,61165472.0,0.091865107,0.00562056852234564
baseline,10,0.005027,0.0001117352160001639,-42177.925609907645,49510.49144842366,62624752.0,0.094204821,0.005704942848729977
baseline,11,0.005529,0.00012678899500004337,-48774.82243347713,52279.162918316884,63818784.0,0.09590856,0.005770011133794526
baseline,12,0.006032,0.00014153063300006985,-55119.16709050431,62262.306240746104,64803080.0,0.097447231,0.0058191159832406
baseline,13,0.006535,0.0001561754700001028,-61637.81950704687,63979.38846676036,65653532.0,0.098684236,0.00585548459462462
baseline,14,0.007037,0.0001707631900001172,-68808.30089910266,73198.24617415498,66278628.0,0.099691287,0.005886292727521611
baseline,15,0.00754,0.00018533923799995966,-76155.47856392594,73338.1133446288,66923092.0,0.10061236,0.005916646641902406
baseline,16,0.008043,0.00019985242300013528,-83881.71919041716,82075.98779619082,65586388.0,0.098740734,0.005599960538096434
baseline,17,0.008545,0.00021430404300012973,-90888.61731256181,80959.14116578148,63243980.0,0.095064007,0.005588124412878272
baseline,18,0.009048,0.0002287717679999579,-97668.70224865667,88605.13559360223,60753328.0,0.091438279,0.005578583745090961
baseline,19,0.009551,0.000243390953000161,-103649.4476016301,86125.7279246496,60306752.0,0.090711042,0.0055748133502245886
baseline,20,0.010053,0.0002583861720001357,-109873.88605149124,93130.62487083954,60761200.0,0.091480702,0.005578034651413316
baseline,21,0.010556,0.00027345230400002696,-116145.6322182653,90516.0568866726,62176464.0,0.093448162,0.005586744659564742
baseline,22,0.011059,0.00028850714399994426,-123206.45947133358,98080.905452264,63180712.0,0.095149308,0.005590101348225641
baseline,23,0.011561,0.0003034814579999656,-130078.67071022195,95427.24603394495,63906924.0,0.096062265,0.005589301123908815
baseline,24,0.012064,0.00031837837400003344,-137539.68000470786,103214.01945693923,64146356.0,0.096611716,0.005583935554256415
baseline,25,0.012566,0.0003331340410001049,-144515.45124438748,100188.61332100457,64510336.0,0.096985191,0.0055766618451576965
baseline,26,0.013069,0.00034789490100009535,-152031.0513087373,108077.59473652385,64553968.0,0.097240627,0.005574225004731893
baseline,27,0.013572,0.00036251632099998377,-158990.7147043342,104600.43954016584,64768296.0,0.097387314,0.005571778600023233
baseline,28,0.014074,0.0003770922170000246,-166577.61952434896,112480.3112759972,64653616.0,0.097404875,0.0055697874066281865
baseline,29,0.014577,0.0003916153570000802,-173553.62121435322,108485.98365589275,64689556.0,0.097282141,0.00556812802004651
baseline,30,0.01508,0.00040607803799996844,-181248.5393421465,116311.53817712056,64456232.0,0.097120397,0.005566001347533801
baseline,31,0.015582,0.00042050267100010585,-188232.32063338737,111875.4253747949,64466920.0,0.09695857,0.005563199447377282
baseline,32,0.016085,0.0004349519110000144,-195960.21622577682,119678.29757353594,64193796.0,0.096735641,0.00556019369625581
baseline,33,0.016588,0.0004492885050001727,-202875.5548296595,114840.86871963712,64112908.0,0.096436463,0.00554985787018284
baseline,34,0.01709,0.0004636546450001444,-210582.2788602461,122568.36199705412,63747720.0,0.096074387,0.005539688718299206
baseline,35,0.017593,0.00047805187000010685,-217450.76138385595,117320.38523857649,63632868.0,0.095724262,0.005534855098960306
baseline,36,0.018096,0.0004923412500000557,-225214.38188911168,124985.56449377477,63265952.0,0.095357433,0.005524232722650874
admissible_line,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admissible_line,1,0.000503,-2.0285726015645267e-08,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0009684581650833893
admissible_line,2,0.001005,3.5213260500543964e-06,-16020.743816638296,3489.4607794851318,28763496.0,0.043205004,0.002581265388660145
admissible_line,3,0.001508,1.2303372170091587e-05,-18898.22295791297,5553.3443161071,38999052.0,0.058520902,0.0038150888009469922
admissible_line,4,0.002011,2.375143980007377e-05,-16189.229487128725,13544.86527810674,48548364.0,0.07291884,0.004506033172524084
admissible_line,5,0.002513,3.682086509998461e-05,-13005.81871013194,18412.994539488733,52820388.0,0.079320081,0.004916649626436078
admissible_line,6,0.003016,5.091539840004766e-05,-13460.633326269448,28114.06278235987,54996124.0,0.082645603,0.005177726005218454
admissible_line,7,0.003519,6.57151932001443e-05,-18129.930876678507,31322.512762728158,56911092.0,0.085501015,0.005364573605300064
admissible_line,8,0.004021,8.101679450006616e-05,-26132.44833160832,38832.56892458556,59008048.0,0.088749997,0.005509173386397656
admissible_line,9,0.004524,9.63944103000991e-05,-34540.38232099173,40679.67382274355,61165472.0,0.091865107,0.00562056852234564
admissible_line,10,0.005027,0.0001117352160001639,-42177.925609907645,49510.49144842366,62624752.0,0.094204821,0.005704942848729977
admissible_line,11,0.005529,0.00012678899500004337,-48774.82243347713,52279.162918316884,63818784.0,0.09590856,0.005770011133794526
admissible_line,12,0.006032,0.00014153063300006985,-55119.16709050431,62262.306240746104,64803080.0,0.097447231,0.0058191159832406
admissible_line,13,0.006535,0.0001561754700001028,-61637.81950704687,63979.38846676036,65653532.0,0.098684236,0.00585548459462462
admissible_line,14,0.007037,0.0001707631900001172,-68808.30089910266,73198.24617415498,66278628.0,0.099691287,0.005886292727521611
admissible_line,15,0.00754,0.00018533923799995966,-76155.47856392594,73338.1133446288,66923092.0,0.10061236,0.005916646641902406
admissible_line,16,0.008043,0.00019985242300013528,-83881.71919041716,82075.98779619082,65586388.0,0.098740734,0.005599960538096434
admissible_line,17,0.008545,0.00021430404300012973,-90888.61731256181,80959.14116578148,63243980.0,0.095064007,0.005588124412878272
admissible_line,18,0.009048,0.0002287717679999579,-97668.70224865667,88605.13559360223,60753328.0,0.091438279,0.005578583745090961
admissible_line,19,0.009551,0.000243390953000161,-103649.4476016301,86125.7279246496,60306752.0,0.090711042,0.0055748133502245886
admissible_line,20,0.010053,0.0002583861720001357,-109873.88605149124,93130.62487083954,60761200.0,0.091480702,0.005578034651413316
admissible_line,21,0.010556,0.00027345230400002696,-116145.6322182653,90516.0568866726,62176464.0,0.093448162,0.005586744659564742
admissible_line,22,0.011059,0.00028850714399994426,-123206.45947133358,98080.905452264,63180712.0,0.095149308,0.005590101348225641
admissible_line,23,0.011561,0.0003034814579999656,-130078.67071022195,95427.24603394495,63906924.0,0.096062265,0.005589301123908815
admissible_line,24,0.012064,0.00031837837400003344,-137539.68000470786,103214.01945693923,64146356.0,0.096611716,0.005583935554256415
admissible_line,25,0.012566,0.0003331340410001049,-144515.45124438748,100188.61332100457,64510336.0,0.096985191,0.0055766618451576965
admissible_line,26,0.013069,0.00034789490100009535,-152031.0513087373,108077.59473652385,64553968.0,0.097240627,0.005574225004731893
admissible_line,27,0.013572,0.00036251632099998377,-158990.7147043342,104600.43954016584,64768296.0,0.097387314,0.005571778600023233
admissible_line,28,0.014074,0.0003770922170000246,-166577.61952434896,112480.3112759972,64653616.0,0.097404875,0.0055697874066281865
admissible_line,29,0.014577,0.0003916153570000802,-173553.62121435322,108485.98365589275,64689556.0,0.097282141,0.00556812802004651
admissible_line,30,0.01508,0.00040607803799996844,-181248.5393421465,116311.53817712056,64456232.0,0.097120397,0.005566001347533801
admissible_line,31,0.015582,0.00042050267100010585,-188232.32063338737,111875.4253747949,64466920.0,0.09695857,0.005563199447377282
admissible_line,32,0.016085,0.0004349519110000144,-195960.21622577682,119678.29757353594,64193796.0,0.096735641,0.00556019369625581
admissible_line,33,0.016588,0.0004492885050001727,-202875.55483805953,114840.86873172624,64112908.0,0.096436463,0.00554985787018284
admissible_line,34,0.01709,0.0004636546450001444,-210582.27884464018,122568.36197258512,63747720.0,0.096074387,0.005539688718299206
admissible_line,35,0.017593,0.00047805187000010685,-217450.76144198928,117320.3853553984,63632868.0,0.095724262,0.005534855201353797
admissible_line,36,0.018096,0.0004923412500000557,-225214.38209566352,124985.56482939149,63265952.0,0.095357433,0.0055242326863745314
adaptive_line,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_line,1,0.000503,-2.0285726015645267e-08,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0009684581650833893
adaptive_line,2,0.001005,3.5209335100261363e-06,-16020.743816638296,3489.4607794851318,28763496.0,0.043205004,0.0025817637858605576
adaptive_line,3,0.001508,1.239827192994758e-05,-19539.488942025353,6089.877810115011,39118364.0,0.058699906,0.0038106340140289896
adaptive_line,4,0.002011,2.3928679700052635e-05,-19235.408276986018,15062.156325457609,48257428.0,0.072482355,0.004517617944474093
adaptive_line,5,0.002513,3.695499710007488e-05,-19158.42761028463,19173.48284205207,52613728.0,0.079009853,0.0049270797216199825
adaptive_line,6,0.003016,5.09983204001474e-05,-21619.531328074077,27836.98061441641,54911664.0,0.082517043,0.005188767417011067
