case,part,time,axial_strain,pc_mean,pc_min,pc_max,void_ratio_mean,void_ratio_min,void_ratio_max,plastic_vol_strain_mean,eq_plastic_strain_mean,Kplastic_max
half_speed_adaptive_line,2,0.002011,1.1261225000142039e-05,119.9908289926291,119.95752,120.01431,0.800033204594595,0.79997474,0.80008006,-6.793049258459459e-06,1.3995444504520891e-05,6.6119523e-05
half_speed_adaptive_line,3,0.003016,2.4330325600063762e-05,119.98031624078611,119.8932,120.01224,0.8000289858968056,0.79995018,0.80017197,-1.4583502476191644e-05,3.0392033363390687e-05,0.000142497
half_speed_adaptive_line,4,0.004022,3.8348695400036714e-05,119.96880066339078,119.81504,120.01894,0.8000493476658482,0.79995006,0.80027837,-2.3119057598034408e-05,4.708406361769042e-05,0.00022616846
half_speed_adaptive_line,5,0.005027,5.253344770014823e-05,119.95550599508576,119.73115,120.02302,0.8000696347665851,0.79994917,0.80039185,-3.297565223366092e-05,6.57898032476658e-05,0.00031151713
half_speed_adaptive_line,6,0.006032,6.617994800006688e-05,119.94195253071241,119.64512,120.02794,0.8000793178132685,0.79993886,0.80050749,-4.30280386563882e-05,8.535974795685507e-05,0.00039720425
half_speed_adaptive_line,7,0.007038,7.907632899997741e-05,119.92901665847666,119.56046,120.03478,0.8000952755282555,0.79992646,0.8006199,-5.2626204458255536e-05,0.00010628516439705161,0.00048203653
half_speed_adaptive_line,8,0.008043,9.125712100002681e-05,119.91515513513491,119.47768,120.04214,0.8001183228009824,0.79991698,0.80072999,-6.291157446162163e-05,0.0001289717113646192,0.0005664624
half_speed_adaptive_line,9,0.009048,0.00010300805600008123,119.90050400491393,119.39477,120.04937,0.8001378982309593,0.79990751,0.80084115,-7.378598041560193e-05,0.00015161814886997544,0.00065146218
half_speed_adaptive_line,10,0.010054,0.00011475488200005102,119.88601390663398,119.31097,120.05665,0.8001557664619162,0.7998969,0.80095363,-8.454520231373464e-05,0.00017377023078476642,0.00073713559
half_speed_adaptive_line,11,0.011059,0.00012652667200005463,119.87160847665854,119.22655,120.06364,0.8001760516216222,0.79988766,0.80106711,-9.524448867098287e-05,0.00019545252843562657,0.00082327065
half_speed_adaptive_line,12,0.012064,0.0001383109500001367,119.85732375921361,119.14123,120.07026,0.8001958475675686,0.79987913,0.80118215,-0.00010585818327297299,0.00021737406914299748,0.00090975483
half_speed_adaptive_line,13,0.01307,0.00015027962800007177,119.84314628992605,119.05523,120.07697,0.8002139497297301,0.79986936,0.80129814,-0.00011639636798820642,0.000239263615463882,0.00099617499
half_speed_adaptive_line,14,0.014075,0.0001623398580000157,119.82939592137608,118.96964,120.08389,0.8002320066093366,0.79985934,0.8014133,-0.00012662054127076167,0.0002607332810963145,0.0010819146
half_speed_adaptive_line,15,0.015081,0.0001744796150000838,119.81559938574965,118.88515,120.09072,0.800250821842752,0.79985017,0.8015269,-0.00013688228070786243,0.0002823114783936117,0.0011667034
half_speed_adaptive_line,16,0.016086,0.00018652841900015926,119.80188857493867,118.80169,120.09746,0.8002691390663373,0.79984123,0.80163926,-0.00014708062975257984,0.0003038815557729728,0.0012506123
half_speed_adaptive_line,17,0.017091,0.0001985894650001485,119.78832800982791,118.71912,120.10417,0.8002870222604419,0.79983228,0.80175054,-0.00015717117456142513,0.00032532292170417686,0.0013336908
half_speed_adaptive_line,18,0.018097,0.0002106557500000661,119.77473999999998,118.63747,120.11088,0.8003052466584776,0.79982334,0.80186063,-0.00016728539118009828,0.0003468373698159705,0.0014159284
half_speed_adaptive_line,19,0.019002,0.00022152804700012463,119.76258144963128,118.56476,120.11685,0.8003216730712523,0.7998153,0.80195868,-0.00017633880393660954,0.0003661154794877148,0.0014892503
half_speed_adaptive_line,20,0.020007,0.00023357398800008533,119.74902864864853,118.48476,120.12342,0.8003398043734636,0.79980636,0.80206668,-0.0001864316425778871,0.00038760458859582307,0.0015699815
half_speed_adaptive_line,21,0.021012,0.0002455693650001145,119.73560122850122,118.40562,120.12998,0.8003577335380849,0.79979742,0.80217355,-0.00019643493641056508,0.0004089565111847665,0.0016499287
half_speed_adaptive_line,22,0.022018,0.0002576810500000415,119.72213879606889,118.32735,120.13652,0.8003758057739558,0.79978848,0.80227935,-0.0002064684585007372,0.0004303809605385746,0.0017290978
half_speed_adaptive_line,23,0.023023,0.0002696672700000513,119.70876294840323,118.24992,120.14301,0.8003937807371011,0.79977983,0.80238402,-0.00021643955328992635,0.00045170548332972975,0.0018075325
half_speed_adaptive_line,24,0.024028,0.0002817607299999969,119.69533029484019,118.17329,120.14944,0.800411787518429,0.79977149,0.80248773,-0.00022645694231547913,0.0004731159781528255,0.0018852779
half_speed_adaptive_line,25,0.025034,0.00029374563000006404,119.6819847174447,118.09737,120.15585,0.8004296719656014,0.79976314,0.80259055,-0.00023641183731965609,0.0004944203678800978,0.0019623621
half_speed_adaptive_line,26,0.026039,0.0003057647199999902,119.66856700245698,118.02219,120.16226,0.8004476860442256,0.7997548,0.80269241,-0.0002464223987572482,0.0005158252158113021,0.0020388123
half_speed_adaptive_line,27,0.027045,0.0003178211300000622,119.65514717444705,117.94768,120.16861,0.8004657068550374,0.79974645,0.80279344,-0.00025643739143562657,0.0005372297764501231,0.0021146615
half_speed_adaptive_line,28,0.02805,0.000329857290000124,119.64173238329253,117.87383,120.17494,0.8004837354791147,0.79973811,0.80289364,-0.00026645129377051585,0.0005586315177211298,0.0021899412
half_speed_adaptive_line,29,0.029055,0.0003418553499999477,119.6283284029484,117.8006,120.18127,0.8005017661670754,0.79972976,0.802993,-0.00027646069115601975,0.000580025476840541,0.0022646829
half_speed_adaptive_line,30,0.030061,0.00035383762000004704,119.6149352825554,117.72794,120.18753,0.8005197766339066,0.79972142,0.8030917,-0.00028646315851941004,0.0006014095284245698,0.0023389186
half_speed_adaptive_line,31,0.031066,0.0003658656500001023,119.60150142506112,117.65584,120.19379,0.8005378581818193,0.79971308,0.80318969,-0.000296498639454791,0.0006229757369439798,0.0024126761
half_speed_adaptive_line,32,0.032071,0.0003778703500000036,119.58804606879607,117.58425,120.20004,0.8005559819656017,0.79970473,0.80328703,-0.0003065543519169532,0.000644488025953317,0.0024859833
half_speed_adaptive_line,33,0.033077,0.0003899228200000826,119.57446027027014,117.51316,120.20626,0.8005742784029486,0.79969639,0.80338377,-0.0003167113302454547,0.0006661541450417695,0.0025588691
half_speed_adaptive_line,34,0.034082,0.0004018844000000521,119.56049638820645,117.44254,120.21244,0.8005931113267817,0.79968804,0.80347997,-0.0003271513397243244,0.000688322212180344,0.0026313625
half_speed_adaptive_line,35,0.035088,0.0004138962800000201,119.54646142506164,117.37234,120.21862,0.8006120334643738,0.7996797,0.80357563,-0.0003376472493125309,0.0007105899044022115,0.0027034911
half_speed_adaptive_line,36,0.036093,0.00042589967000003504,119.53243157248168,117.30253,120.2248,0.8006309492383269,0.79967135,0.80367082,-0.0003481423016707617,0.000732856274453809,0.0027752805
quarter_speed_line,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.80000001,0.80000001,0.0,0.0,0.0
