case,time,Fz_proxy,axial_stress_proxy,p_eff_proxy,q_proxy,reaction_time,top_reaction_fz,bottom_reaction_fz,top_axial_stress,bottom_axial_stress,reaction_axial_stress_avg,reaction_force_avg_compression,force_balance_error,top_pairs,bottom_pairs,true_reaction_available,reaction_type,reaction_minus_proxy_force,reaction_over_proxy_force
elastic,0.006032,1.038537859175914,367.30763083538096,145.66138292649472,332.46937186332934,0.0054291,1.04649,-0.867504,370.121,306.817,338.469,0.956997,0.093516,2569,2569,1,pairwise_fluid_bound_accumulator,-0.08154085917591403,0.9214849430326814
dp_high_strength,0.006032,1.038537859175914,367.30763083538096,145.66138292649472,332.46937186332934,0.0054291,1.04649,-0.867504,370.121,306.817,338.469,0.956997,0.093516,2569,2569,1,pairwise_fluid_bound_accumulator,-0.08154085917591403,0.9214849430326814
dp_mild_yield,0.006032,0.4837401837606574,171.08809203931207,86.57907906487306,126.76351946165852,0.00542903,0.55936,-0.426189,197.833,150.733,174.28300000000002,0.4927745,0.135124,2569,2569,1,pairwise_fluid_bound_accumulator,0.009034316239342588,1.0186759680973962
