quantity,line,region,n,rmse,mean_abs_error,max_abs_error,relative_rmse,note
ExcessPorePress_profile_t0.5,gpu_mode1_xi005_b5,all,102,425.120641094,396.117025359,667.983898845,0.0512331935294,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t0.5,gpu_mode1_xi005_b5,bottom,4,662.590307895,662.571130822,667.983898845,0.0563951164042,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t0.5,gpu_mode1_xi005_b5,interior,94,419.911080688,395.501043727,649.730057882,0.0506125996443,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t0.5,gpu_mode1_xi005_b5,top,4,160.878625548,144.138488246,203.224005505,0.450829854538,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t1,gpu_mode0_xi005,all,100,329.659483422,288.360449285,533.551085599,0.0562983145505,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t1,gpu_mode0_xi005,bottom,4,529.736622147,529.725069188,533.551085599,0.0641157426118,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t1,gpu_mode0_xi005,interior,92,325.245635689,288.884741064,521.22959559,0.0555365390917,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t1,gpu_mode0_xi005,top,4,56.6996040367,34.9371184439,111.439155992,0.194562261662,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t1,gpu_mode1_xi005_b5,all,116,505.45243106,473.561471766,714.799336326,0.0829654340559,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t1,gpu_mode1_xi005_b5,bottom,5,710.926732955,710.920262459,714.799336326,0.0860444074141,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t1,gpu_mode1_xi005_b5,interior,107,502.716692606,475.747130075,703.079953092,0.0825951123058,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t1,gpu_mode1_xi005_b5,top,4,129.779289207,118.396623635,157.892674158,0.486160516505,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t2,gpu_mode0_xi005,all,100,247.408526492,211.202817073,401.43949612,0.0842589550785,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t2,gpu_mode0_xi005,bottom,4,399.544541185,399.540768536,401.43949612,0.0965432867219,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t2,gpu_mode0_xi005,interior,92,243.40917048,208.524921615,395.542008182,0.0828774098661,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t2,gpu_mode0_xi005,top,4,89.0734294371,84.4564611356,133.243938247,0.586724366187,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t2,gpu_mode1_xi005_b5,all,236,431.014075838,410.795037741,574.128047888,0.133932995484,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t2,gpu_mode1_xi005_b5,bottom,8,572.344178011,572.341780308,574.128047888,0.138293625613,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t2,gpu_mode1_xi005_b5,interior,224,428.86596465,411.125495671,568.27065208,0.133635441478,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t2,gpu_mode1_xi005_b5,top,4,74.848439371,69.1959085204,89.6311315865,0.536894393027,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t3.6,gpu_mode0_xi005,all,100,74.0249615977,66.1197141148,155.182009908,0.0761186310815,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t3.6,gpu_mode0_xi005,bottom,4,90.123795174,90.1226427407,90.642120938,0.0657800109223,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t3.6,gpu_mode0_xi005,interior,92,69.1025800263,61.968066179,124.820271163,0.0710378808907,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t3.6,gpu_mode0_xi005,top,4,137.990014157,137.604688012,155.182009908,2.68145194072,mode=0 profile recovered approximately from retained SVG
ExcessPorePress_profile_t3.6,gpu_mode1_xi005_b5,all,426,215.331101355,205.691247067,260.614434355,0.198102031405,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t3.6,gpu_mode1_xi005_b5,bottom,27,260.013870509,260.013267957,260.614434355,0.189776284755,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t3.6,gpu_mode1_xi005_b5,interior,393,213.548567305,204.673283804,258.737973055,0.198987613416,mode=1 profile from retained raw PartCsv
ExcessPorePress_profile_t3.6,gpu_mode1_xi005_b5,top,6,29.376281673,27.9187467738,34.6096401664,0.552523828246,mode=1 profile from retained raw PartCsv
PorePress_profile_t0.1,gpu_mode0_xi005,all,100,172.079082539,158.602663446,283.01525223,0.0104045018147,mode=0 profile recovered approximately from retained SVG
