frame,time,n,zmin,zmax,velocity_max,velocity_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydrostatic_min,hydrostatic_max,hydrostatic_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydrostatic_mean,bottom_Excess_mean,bottom_Excess_maxAbs,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs,has_PorePress,has_ExcessPorePress,has_PorePressureAccelDiff
11,1.1,1000,0.004915087,0.99280202,0.0013005622,0.00084080453323,-0.0015255888941,70.6121464159,16783.3758617,9383.77275966,70.6121838,9761.78299653,4919.96602677,-6.08201233376e-06,7022.39108847,4463.80652278,7022.39108847,16734.4706383,9712.8777755,7021.59244772,7021.59244775,6.08201233376e-06,0.0011298915515,66907728,0.0021482566,0.100356444506,5.5055046,True,True,True
12,1.2,1000,0.0049113967,0.99267662,0.00120953180005,0.000783116038995,-0.0016067812411,71.8424982495,16271.1338515,9058.8371593,71.8423578,9761.81919837,4920.76252369,-5.65642000083e-06,6510.19797936,4138.07442074,6510.19797936,16222.2328498,9712.91819859,6509.31423592,6509.31423594,5.65642000083e-06,0.00554739814925,66744844,0.002074054,0.100110115815,5.0225577,True,True,True
13,1.3,1000,0.0049079694,0.99256027,0.00111492900004,0.000718079986948,-0.0016819503169,72.9839605813,15786.2212929,8758.91630108,72.9837513,9761.85282019,4921.49993232,-5.2133504056e-06,6025.10444317,3837.41615666,6025.10444317,15737.3243502,9712.95587919,6024.3680554,6024.36805543,5.2133504056e-06,0.00587444605026,57962256,0.0017974892,0.0869407827961,4.7373633,True,True,True
14,1.4,1000,0.004904957,0.99245268,0.00103754250002,0.000672814021157,-0.0017514806618,74.0390897975,15374.4834828,8485.36239345,74.0392092,9761.88237183,4922.18202501,-4.85198944489e-06,5613.29611314,3563.1801697,5613.29611314,15325.5891787,9712.98806918,5612.60069429,5612.60069431,4.85198944489e-06,0.00319582429893,53374868,0.0017918791,0.0800575220479,4.3917475,True,True,True
15,1.5,1000,0.0049018678,0.9923526,0.00096585823026,0.000626874032586,-0.0018164641867,75.0211903879,14964.6383538,8227.41097499,75.020994,9761.91267688,4922.81951339,-4.51659767009e-06,5203.37176297,3304.59124819,5203.37176297,14915.7467744,9713.02109793,5202.72526026,5202.72526028,4.51659767009e-06,0.00130203834942,49395916,0.0017299978,0.074087785843,4.0715852,True,True,True
16,1.6,1000,0.0048988978,0.9922595,0.00088997057005,0.00057223839125,-0.0018767366906,75.9341434668,14562.0468315,7986.08261488,75.934305,9761.94181258,4923.41078665,-4.16156672145e-06,4800.65413783,3062.67161276,4800.65413783,14513.1580503,9713.05303336,4800.10460057,4800.1046006,4.16156672145e-06,0.00948500755021,46290688,0.0013988724,0.0694313551825,3.7829669,True,True,True
17,1.7,1000,0.0048966948,0.99217373,0.000828041290003,0.000537165180644,-0.0019321574082,76.7757177132,14250.383545,7773.29820975,76.7757087,9761.96342401,4923.95446389,-3.87281143332e-06,4488.95489564,2849.3435401,4488.95489564,14201.4982774,9713.07815608,4488.41970474,4488.41970476,3.87281143332e-06,0.00836063940005,42670064,0.0013978686,0.0640000424587,3.51086020001,True,True,True
18,1.8,1000,0.0048943297,0.9920938,0.000770918380525,0.000502538680603,-0.0019841428778,77.5595833747,13942.3915592,7571.03907972,77.559822,9761.98662564,4924.46444135,-3.60564376933e-06,4180.89600372,2646.5744237,4180.89600372,13893.5088975,9713.10396845,4180.40451377,4180.40451378,3.60564376933e-06,0.0024922909497,39496468,0.0013819991,0.0592379574536,3.25577950001,True,True,True
19,1.9,1000,0.0048920778,0.99201953,0.000713881221279,0.000464352389435,-0.0020325870661,78.2882865764,13634.7999314,7380.31311699,78.2884107,9762.00871678,4924.93967883,-3.33784878137e-06,3873.28103757,2455.37323109,3873.28103757,13585.9200764,9713.12886147,3872.79079851,3872.79079852,3.33784878137e-06,0.0025783765991,37223420,0.0013290975,0.0558326055607,3.02020050001,True,True,True
20,2,1000,0.0048900815,0.99195063,0.000665122532026,0.000429872579349,-0.0020773058658,78.9642253163,13328.303026,7200.42722672,78.9643197,9762.02830048,4925.37837026,-3.11007927678e-06,3566.72383479,2275.04863735,3566.72383479,13279.4258174,9713.15109667,3566.27430545,3566.27430546,3.11007927678e-06,0.00160097915023,34129252,0.0011725595,0.0511870194016,2.80779360001,True,True,True
21,2.1,1000,0.004887762,0.99188626,0.000622169990235,0.0004050456999,-0.002118994786,79.5956323374,13093.2302912,7045.15892173,79.5957894,9762.05105478,4925.78733857,-2.90992352348e-06,3331.63033492,2119.37136655,3331.63033492,13044.3532034,9713.17396976,3331.17881933,3331.17881935,2.90992352348e-06,0.00320541710016,31665790,0.0011022401,0.0474926005668,2.61003470001,True,True,True
22,2.2,1000,0.0048855697,0.99182642,0.00057561218057,0.000377393495886,-0.0021581092675,80.1826616704,12887.1636907,6902.09529219,80.1828198,9762.07256124,4926.17105163,-2.69079407644e-06,3125.5006124,1975.92402848,3125.5006124,12838.2867605,9713.19563245,3125.09071171,3125.09071172,2.69079407644e-06,0.000969255850123,29867650,0.0010010328,0.0448018585005,2.42333390002,True,True,True
23,2.3,1000,0.0048836982,0.99177098,0.000533926022727,0.000352493636513,-0.0021945807778,80.7263702606,12681.5123435,6764.32685747,80.7266862,9762.09092066,4926.52883715,-2.49701517418e-06,2919.78570174,1837.79780781,2919.78570174,12632.6366766,9713.21525456,2919.42100685,2919.42100686,2.49701517418e-06,0.0012890990497,27393950,0.00098592159,0.0410856987064,2.25082660001,True,True,True
24,2.4,1000,0.0048819408,0.99171954,0.000496854311316,0.000328871776301,-0.0022286467472,81.2314963502,12475.8481609,6633.66521246,81.2313126,9762.10816075,4926.86302431,-2.32271318623e-06,2714.09034669,1706.80197686,2714.09034669,12426.9741002,9713.23410124,2713.73958324,2713.73958326,2.32271318623e-06,0.00196307335091,25311984,0.00096771953,0.0379629388532,2.08604570003,True,True,True
25,2.5,1000,0.0048802313,0.99167156,0.000463952820591,0.000305578456257,-0.0022603688009,81.7022338053,12269.9152785,6509.98596845,81.7019964,9762.12493095,4927.17421765,-2.16917106855e-06,2508.13593758,1582.81154113,2508.13593758,12221.0428743,9713.2525277,2507.78993047,2507.78993048,2.16917106855e-06,0.000883004599928,23942216,0.0009325479,0.0359082168135,1.94201910014,True,True,True
26,2.6,1000,0.0048785517,0.99162668,0.000434397792516,0.000282451442506,-0.0022897705432,82.1421846659,12064.4107072,6392.95900572,82.1422692,9762.14140782,4927.46264874,-2.02868216093e-06,2302.61679101,1465.49615123,2302.61679101,12015.539943,9713.2706479,2302.26888012,2302.26888013,2.02868216093e-06,0.000428429000294,22050920,0.00091043807,0.0330704027452,1.8118185,True,True,True
27,2.7,1000,0.0048769698,0.9915849,0.000400556995902,0.000253852523398,-0.0023167221231,82.552067028,11860.6369457,6281.67613691,82.552131,9762.15692626,4927.72704374,-1.87154702758e-06,2098.76909665,1353.94887238,2098.76909665,11811.7676309,9713.28761474,2098.47960063,2098.47960064,1.87154702758e-06,0.00693831619992,20484704,0.00065485638,0.0307210273344,1.68756100001,True,True,True
28,2.8,1000,0.0048760152,0.99154699,0.000365151924617,0.000228227897579,-0.0023403880647,82.9237605651,11711.9418831,6188.82029634,82.9240281,9762.16629089,4927.95920663,-1.70654723775e-06,1949.98303237,1260.86088329,1949.98303237,11663.0719261,9713.2963371,1949.77517357,1949.7751736,1.70654723775e-06,0.00194216635009,19369080,0.00059916475,0.0290487855382,1.57147840012,True,True,True
29,2.9,1000,0.0048743328,0.99151182,0.000340768703198,0.000215921247684,-0.0023625887147,83.2692418791,11602.4334276,6110.44475919,83.2690458,9762.18279523,4928.17699501,-1.59003660372e-06,1840.46692473,1182.2675514,1840.46692473,11553.5547151,9713.30408357,1840.25021698,1840.25021704,1.59003660372e-06,0.00409019850031,17811146,0.00059909397,0.0267132245586,1.46375330006,True,True,True
30,3,1000,0.0048726122,0.99147898,0.000317076636247,0.000203731882255,-0.0023835804427,83.5912523753,11496.2270017,6035.18857485,83.5912062,9762.19967432,4928.38292386,-1.48166174085e-06,1734.18774188,1106.80543961,1734.18774188,11447.3390763,9713.31175107,1734.02690969,1734.02690973,1.48166174085e-06,0.00432785719954,16506949,0.00059903343,0.0247557360245,1.36011150004,True,True,True
31,3.1,1000,0.0048710266,0.9914484,0.000295821903551,0.000192266367563,-0.0024033790668,83.8913582424,11391.2759767,5962.1572438,83.891196,9762.21522905,4928.57714836,-1.38136931582e-06,1629.24339391,1033.57987784,1629.24339391,11342.3800097,9713.31926509,1629.06032983,1629.06032986,1.38136931582e-06,0.0100391456999,15728039,0.00059888943,0.0235876175066,1.25815220004,True,True,True
32,3.2,1000,0.0048692538,0.99141991,0.000274885314267,0.000180420438938,-0.0024220165422,84.170730711,11287.0188462,5891.14003546,84.1706829,9762.23262022,4928.75998199,-1.284005549e-06,1524.95543145,962.379848337,1524.95543145,11238.1129749,9713.32675178,1524.78580726,1524.78580729,1.284005549e-06,0.00609872425002,14279694,0.00059899117,0.0214168991305,1.1735033,True,True,True
33,3.3,1000,0.0048678592,0.99139345,0.000255319734001,0.00016889394583,-0.0024394751616,84.4301598238,11183.0183134,5821.98621311,84.4302555,9762.24630125,4928.93125105,-1.19322450587e-06,1420.94723707,893.054745924,1420.94723707,11134.1061187,9713.33411046,1420.77159285,1420.77159288,1.19322450587e-06,0.00773188639982,13179058,0.00059844804,0.0197625036106,1.08572200001,True,True,True
34,3.4,1000,0.0048665083,0.99136889,0.000237130771111,0.000157211220828,-0.0024557831217,84.6712278353,11078.765072,5754.47453272,84.6711891,9762.25955358,4929.09123214,-1.1068892718e-06,1316.67639322,825.383094726,1316.67639322,11029.8470314,9713.34151657,1316.50509979,1316.50509982,1.1068892718e-06,0.00572202515013,12497146,0.00059883896,0.0187420678879,0.999629500001,True,True,True
35,3.5,1000,0.0048653493,0.99134612,0.000219631982449,0.000145806297519,-0.0024709313358,84.8946490624,10975.7277212,5688.91630193,84.8945628,9762.27092337,4929.23983612,-1.02456527884e-06,1213.62551568,759.676255378,1213.62551568,10926.8056485,9713.34885205,1213.45638017,1213.4563802,1.02456527884e-06,0.00351487865009,11305639,0.0005912729,0.0169608907696,0.927348970001,True,True,True
36,3.6,1000,0.0048641292,0.99132508,0.000202720940879,0.000134317869095,-0.0024849361706,85.1012553306,10872.3751053,5624.78011337,85.1009652,9762.28289255,4929.37722355,-9.47105348814e-07,1110.26208934,695.402687413,1110.26208934,10823.4484089,9713.35619669,1110.09179684,1110.09179686,9.47105348814e-07,0.00301511124985,10340099,0.00056979602,0.0155050952192,0.851543840005,True,True,True
