line,time,Tv,z,z_norm,quantity,value
gpu_mode0_xi005_approx,0.1,0.027441722676,0.494008710267,0.49394819224,ExcessPorePress,10281.5591584
gpu_mode0_xi005_approx,0.1,0.027441722676,0.503976521739,0.504016688675,ExcessPorePress,10087.4244075
gpu_mode0_xi005_approx,0.1,0.027441722676,0.513944333212,0.514085185111,ExcessPorePress,9892.00115172
gpu_mode0_xi005_approx,0.1,0.027441722676,0.523912144684,0.524153681547,ExcessPorePress,9696.14839424
gpu_mode0_xi005_approx,0.1,0.027441722676,0.533879956156,0.534222177983,ExcessPorePress,9499.43663344
gpu_mode0_xi005_approx,0.1,0.027441722676,0.543847767629,0.544290674419,ExcessPorePress,9301.43636766
gpu_mode0_xi005_approx,0.1,0.027441722676,0.553815579101,0.554359170854,ExcessPorePress,9103.00660022
gpu_mode0_xi005_approx,0.1,0.027441722676,0.563783390574,0.56442766729,ExcessPorePress,8904.14733112
gpu_mode0_xi005_approx,0.1,0.027441722676,0.573751202046,0.574496163726,ExcessPorePress,8704.42905869
gpu_mode0_xi005_approx,0.1,0.027441722676,0.583719013518,0.584564660162,ExcessPorePress,8503.85178295
gpu_mode0_xi005_approx,0.1,0.027441722676,0.593686824991,0.594633156597,ExcessPorePress,8303.2745072
gpu_mode0_xi005_approx,0.1,0.027441722676,0.603654636463,0.604701653033,ExcessPorePress,8101.40872647
gpu_mode0_xi005_approx,0.1,0.027441722676,0.613622447936,0.614770149469,ExcessPorePress,7899.54294574
gpu_mode0_xi005_approx,0.1,0.027441722676,0.623603639021,0.624852160665,ExcessPorePress,7697.24766334
gpu_mode0_xi005_approx,0.1,0.027441722676,0.633571450493,0.634920657101,ExcessPorePress,7494.52287929
gpu_mode0_xi005_approx,0.1,0.027441722676,0.643539261966,0.644989153537,ExcessPorePress,7290.93909192
gpu_mode0_xi005_approx,0.1,0.027441722676,0.653507073438,0.655057649972,ExcessPorePress,7087.35530454
gpu_mode0_xi005_approx,0.1,0.027441722676,0.66347488491,0.665126146408,ExcessPorePress,6883.3420155
gpu_mode0_xi005_approx,0.1,0.027441722676,0.673442696383,0.675194642844,ExcessPorePress,6678.89922481
gpu_mode0_xi005_approx,0.1,0.027441722676,0.683410507855,0.68526313928,ExcessPorePress,6474.02693245
gpu_mode0_xi005_approx,0.1,0.027441722676,0.693378319328,0.695331635715,ExcessPorePress,6268.72513843
gpu_mode0_xi005_approx,0.1,0.027441722676,0.7033461308,0.705400132151,ExcessPorePress,6062.99384275
gpu_mode0_xi005_approx,0.1,0.027441722676,0.713313942273,0.715468628587,ExcessPorePress,5857.26254707
gpu_mode0_xi005_approx,0.1,0.027441722676,0.723281753745,0.725537125023,ExcessPorePress,5651.10174972
gpu_mode0_xi005_approx,0.1,0.027441722676,0.733249565217,0.735605621458,ExcessPorePress,5444.51145072
gpu_mode0_xi005_approx,0.1,0.027441722676,0.74321737669,0.745674117894,ExcessPorePress,5237.49165006
gpu_mode0_xi005_approx,0.1,0.027441722676,0.753185188162,0.75574261433,ExcessPorePress,5030.47184939
gpu_mode0_xi005_approx,0.1,0.027441722676,0.763152999635,0.765811110766,ExcessPorePress,4823.02254707
gpu_mode0_xi005_approx,0.1,0.027441722676,0.77313419072,0.775893121962,ExcessPorePress,4615.57324474
gpu_mode0_xi005_approx,0.1,0.027441722676,0.783102002192,0.785961618398,ExcessPorePress,4407.69444075
gpu_mode0_xi005_approx,0.1,0.027441722676,0.793069813665,0.796030114833,ExcessPorePress,4199.38613511
gpu_mode0_xi005_approx,0.1,0.027441722676,0.803037625137,0.806098611269,ExcessPorePress,3991.07782946
gpu_mode0_xi005_approx,0.1,0.027441722676,0.813005436609,0.816167107705,ExcessPorePress,3782.34002215
gpu_mode0_xi005_approx,0.1,0.027441722676,0.822973248082,0.826235604141,ExcessPorePress,3573.17271318
gpu_mode0_xi005_approx,0.1,0.027441722676,0.832941059554,0.836304100576,ExcessPorePress,3364.00540421
gpu_mode0_xi005_approx,0.1,0.027441722676,0.842908871027,0.846372597012,ExcessPorePress,3154.83809524
gpu_mode0_xi005_approx,0.1,0.027441722676,0.852876682499,0.856441093448,ExcessPorePress,2945.24128461
gpu_mode0_xi005_approx,0.1,0.027441722676,0.862844493972,0.866509589884,ExcessPorePress,2735.64447398
gpu_mode0_xi005_approx,0.1,0.027441722676,0.872812305444,0.876578086319,ExcessPorePress,2525.61816168
gpu_mode0_xi005_approx,0.1,0.027441722676,0.882780116916,0.886646582755,ExcessPorePress,2315.59184939
gpu_mode0_xi005_approx,0.1,0.027441722676,0.892747928389,0.896715079191,ExcessPorePress,2105.13603544
gpu_mode0_xi005_approx,0.1,0.027441722676,0.902715739861,0.906783575627,ExcessPorePress,1894.68022148
gpu_mode0_xi005_approx,0.1,0.027441722676,0.912683551334,0.916852072063,ExcessPorePress,1684.22440753
gpu_mode0_xi005_approx,0.1,0.027441722676,0.922651362806,0.926920568498,ExcessPorePress,1473.76859358
gpu_mode0_xi005_approx,0.1,0.027441722676,0.932619174278,0.936989064934,ExcessPorePress,1263.31277962
gpu_mode0_xi005_approx,0.1,0.027441722676,0.942586985751,0.94705756137,ExcessPorePress,1053.28646733
gpu_mode0_xi005_approx,0.1,0.027441722676,0.952554797223,0.957126057806,ExcessPorePress,842.401151717
gpu_mode0_xi005_approx,0.1,0.027441722676,0.962522608696,0.967194554241,ExcessPorePress,629.797829457
gpu_mode0_xi005_approx,0.1,0.027441722676,0.972490420168,0.977263050677,ExcessPorePress,421.919025471
gpu_mode0_xi005_approx,0.1,0.027441722676,0.98245823164,0.987331547113,ExcessPorePress,168.083543743
gpu_mode0_xi005_approx,0.1,0.027441722676,0.992426043113,0.997400043549,ExcessPorePress,168.083543743
gpu_mode0_xi005_approx,0.1,0.027441722676,0.00577326269638,0.000781073531621,PorePress,25937.2934662
gpu_mode0_xi005_approx,0.1,0.027441722676,0.0157276945561,0.0108360552071,PorePress,25839.8582503
gpu_mode0_xi005_approx,0.1,0.027441722676,0.0256821264158,0.0208910368825,PorePress,25744.496124
gpu_mode0_xi005_approx,0.1,0.027441722676,0.0356365582755,0.030946018558,PorePress,25640.841639
gpu_mode0_xi005_approx,0.1,0.027441722676,0.0455909901352,0.0410010002334,PorePress,25530.9678848
gpu_mode0_xi005_approx,0.1,0.027441722676,0.0555454219949,0.0510559819089,PorePress,25414.1838317
gpu_mode0_xi005_approx,0.1,0.027441722676,0.0654998538546,0.0611109635843,PorePress,25290.4894795
gpu_mode0_xi005_approx,0.1,0.027441722676,0.075467665327,0.0711794600201,PorePress,25160.5758583
gpu_mode0_xi005_approx,0.1,0.027441722676,0.0854220971867,0.0812344416955,PorePress,25023.751938
gpu_mode0_xi005_approx,0.1,0.027441722676,0.0953765290464,0.091289423371,PorePress,24880.7087486
gpu_mode0_xi005_approx,0.1,0.027441722676,0.105344340519,0.101357919807,PorePress,24730.7552602
gpu_mode0_xi005_approx,0.1,0.027441722676,0.115298772379,0.111412901482,PorePress,24574.5825028
gpu_mode0_xi005_approx,0.1,0.027441722676,0.125253204238,0.121467883158,PorePress,24412.1904762
gpu_mode0_xi005_approx,0.1,0.027441722676,0.135221015711,0.131536379593,PorePress,24244.2702104
gpu_mode0_xi005_approx,0.1,0.027441722676,0.145188827183,0.141604876029,PorePress,24069.4396456
gpu_mode0_xi005_approx,0.1,0.027441722676,0.155143259043,0.151659857705,PorePress,23889.0808416
gpu_mode0_xi005_approx,0.1,0.027441722676,0.165111070515,0.16172835414,PorePress,23703.1937984
gpu_mode0_xi005_approx,0.1,0.027441722676,0.175065502375,0.171783335816,PorePress,23511.0874862
gpu_mode0_xi005_approx,0.1,0.027441722676,0.185033313847,0.181851832252,PorePress,23313.4529347
gpu_mode0_xi005_approx,0.1,0.027441722676,0.19500112532,0.191920328687,PorePress,23110.9811739
gpu_mode0_xi005_approx,0.1,0.027441722676,0.204955557179,0.201975310363,PorePress,22902.9811739
gpu_mode0_xi005_approx,0.1,0.027441722676,0.214923368652,0.212043806799,PorePress,22690.1439646
gpu_mode0_xi005_approx,0.1,0.027441722676,0.224891180124,0.222112303234,PorePress,22472.469546
gpu_mode0_xi005_approx,0.1,0.027441722676,0.234858991597,0.23218079967,PorePress,22249.9579181
gpu_mode0_xi005_approx,0.1,0.027441722676,0.244813423456,0.242235781346,PorePress,22022.6090808
gpu_mode0_xi005_approx,0.1,0.027441722676,0.254781234929,0.252304277781,PorePress,21791.1140642
gpu_mode0_xi005_approx,0.1,0.027441722676,0.264749046401,0.262372774217,PorePress,21555.4728682
gpu_mode0_xi005_approx,0.1,0.027441722676,0.274716857874,0.272441270653,PorePress,21315.6854928
gpu_mode0_xi005_approx,0.1,0.027441722676,0.284684669346,0.282509767089,PorePress,21071.751938
gpu_mode0_xi005_approx,0.1,0.027441722676,0.294652480818,0.292578263524,PorePress,20824.3632337
gpu_mode0_xi005_approx,0.1,0.027441722676,0.304620292291,0.30264675996,PorePress,20573.5193798
gpu_mode0_xi005_approx,0.1,0.027441722676,0.314588103763,0.312715256396,PorePress,20319.2203765
gpu_mode0_xi005_approx,0.1,0.027441722676,0.324555915236,0.322783752832,PorePress,20061.4662237
gpu_mode0_xi005_approx,0.1,0.027441722676,0.334510347095,0.332838734507,PorePress,19800.9479513
gpu_mode0_xi005_approx,0.1,0.027441722676,0.344478158568,0.342907230943,PorePress,19537.6655592
gpu_mode0_xi005_approx,0.1,0.027441722676,0.35444597004,0.352975727379,PorePress,19271.6190476
gpu_mode0_xi005_approx,0.1,0.027441722676,0.364413781513,0.363044223814,PorePress,19002.8084164
gpu_mode0_xi005_approx,0.1,0.027441722676,0.374381592985,0.37311272025,PorePress,18731.9246955
gpu_mode0_xi005_approx,0.1,0.027441722676,0.384349404457,0.383181216686,PorePress,18458.2768549
gpu_mode0_xi005_approx,0.1,0.027441722676,0.39431721593,0.393249713122,PorePress,18182.5559247
gpu_mode0_xi005_approx,0.1,0.027441722676,0.404285027402,0.403318209558,PorePress,17904.7619048
gpu_mode0_xi005_approx,0.1,0.027441722676,0.414252838875,0.413386705993,PorePress,17625.585825
gpu_mode0_xi005_approx,0.1,0.027441722676,0.424220650347,0.423455202429,PorePress,17344.3366556
gpu_mode0_xi005_approx,0.1,0.027441722676,0.43418846182,0.433523698865,PorePress,17061.0143965
gpu_mode0_xi005_approx,0.1,0.027441722676,0.444169652905,0.443605710061,PorePress,16776.3100775
gpu_mode0_xi005_approx,0.1,0.027441722676,0.454137464377,0.453674206497,PorePress,16490.2236988
gpu_mode0_xi005_approx,0.1,0.027441722676,0.464105275849,0.463742702932,PorePress,16202.7552602
gpu_mode0_xi005_approx,0.1,0.027441722676,0.474073087322,0.473811199368,PorePress,15913.9047619
gpu_mode0_xi005_approx,0.1,0.027441722676,0.484040898794,0.483879695804,PorePress,15624.3632337
gpu_mode0_xi005_approx,0.1,0.027441722676,0.494008710267,0.49394819224,PorePress,15333.4396456
gpu_mode0_xi005_approx,0.1,0.027441722676,0.503976521739,0.504016688675,PorePress,15041.1339978
gpu_mode0_xi005_approx,0.1,0.027441722676,0.513944333212,0.514085185111,PorePress,14748.13732
gpu_mode0_xi005_approx,0.1,0.027441722676,0.523912144684,0.524153681547,PorePress,14453.7585825
gpu_mode0_xi005_approx,0.1,0.027441722676,0.533879956156,0.534222177983,PorePress,14159.379845
gpu_mode0_xi005_approx,0.1,0.027441722676,0.543847767629,0.544290674419,PorePress,13863.6190476
gpu_mode0_xi005_approx,0.1,0.027441722676,0.553815579101,0.554359170854,PorePress,13567.1672204
gpu_mode0_xi005_approx,0.1,0.027441722676,0.563783390574,0.56442766729,PorePress,13270.7153931
gpu_mode0_xi005_approx,0.1,0.027441722676,0.573751202046,0.574496163726,PorePress,12972.8815061
gpu_mode0_xi005_approx,0.1,0.027441722676,0.583719013518,0.584564660162,PorePress,12674.3565891
gpu_mode0_xi005_approx,0.1,0.027441722676,0.593686824991,0.594633156597,PorePress,12375.8316722
gpu_mode0_xi005_approx,0.1,0.027441722676,0.603654636463,0.604701653033,PorePress,12076.6157254
gpu_mode0_xi005_approx,0.1,0.027441722676,0.613622447936,0.614770149469,PorePress,11776.7087486
gpu_mode0_xi005_approx,0.1,0.027441722676,0.623603639021,0.624852160665,PorePress,11476.110742
gpu_mode0_xi005_approx,0.1,0.027441722676,0.633571450493,0.634920657101,PorePress,11175.5127353
gpu_mode0_xi005_approx,0.1,0.027441722676,0.643539261966,0.644989153537,PorePress,10874.2236988
gpu_mode0_xi005_approx,0.1,0.027441722676,0.653507073438,0.655057649972,PorePress,10572.2436323
