code,excluded,steps,runtime,simruntime,steps_per_sec,dt_pore,case,safety,nframes,early_peak_excess_max_0p01_0p05,late_peak_excess_max_0p15_0p20,late_to_early_peak_ratio,final_vel_max,final_vel_mean,final_settlement_mean_z,final_PorePress_min,final_PorePress_max,final_PorePress_mean,final_hydro_min,final_hydro_max,final_hydro_mean,final_Excess_min,final_Excess_max,final_Excess_mean,final_bottom_Excess_mean,final_top_Excess_maxAbs,final_bottom_grad_proxy,final_PorePressRate_maxAbs,final_DivVelContribution_maxAbs,final_HydraulicContribution_maxAbs,final_PorePressureAccelDiff_maxAbs,max_vel_max_over_time,max_PorePressRate_maxAbs_over_time,max_DivVelContribution_maxAbs_over_time,max_HydraulicContribution_maxAbs_over_time,max_PorePressureAccelDiff_maxAbs_over_time,max_top_Excess_maxAbs_over_time,max_bottom_grad_proxy_over_time
0,0,419494,7185.786621,7185.741211,58.37867,4.76766e-07,Baseline_SW3D_Xi0p10_Safety0p10,0.10,21,18930.31296015,14585.96466278,0.7705083742400222,0.00249329420000004,0.0018009267059186272,-0.0004445869567000014,54.5851928384,23621.25140671,13403.310160198913,54.584900099999594,9761.306448312,4909.361397760738,0.0,13861.88496728,8493.948562935168,13859.944540680004,0.0,-0.007320263994188281,118730300.0,3618306.466666667,118727226.72443086,9.640572500000074,0.007752642000000001,176090450.0,19329954.000000004,156760514.9663609,11.540732000000077,0.0,0.09186393099298584
0,0,279663,4785.853027,4785.821777,58.435734,7.15149e-07,Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,21,19070.16430484,14709.51179097,0.7713363952106449,0.002397865500000001,0.0017397717625295484,-0.0004305791155999988,54.39563108101,23750.17952379,13466.36026338033,54.39546899999964,9761.301382428,4909.223980839532,0.0,13990.79457311,8557.136071608638,13988.877725739996,0.0,-0.00623251250362955,119710350.0,3463011.2666666666,119726290.41590215,9.679993600000163,0.007786011300000024,179069950.0,19851022.666666668,159218954.37037036,11.667801000000104,0.0,0.12339847699331585
0,0,209747,3590.70166,3590.6604,58.414604,9.53532e-07,Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,21,19144.03912269,14762.78883417,0.7711428471054872,0.0023552603000000457,0.001713658760259275,-0.0004234570813000003,54.29982003616,23818.22354358,13499.327716506079,54.299625300000535,9761.297343651,4909.15411368307,0.0,14058.88619757,8590.173391160368,14056.925780569998,0.0,-0.006822261502748006,118257020.0,3441881.066666667,118256281.71253824,9.736120200000018,0.007806964700000004,179491340.0,20132565.333333336,159358799.55759433,11.745698000000006,0.0,0.1556729870098934
