case,safety,gencase_code,dual_code
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,0,0
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,0,0
