label,case,launcher_code,code,excluded,steps,runtime_s,body_gravity_stop_log,hydraulic_gravity_active_log,frames,final_time,cpu_reference,final_Vel_mag_max,final_Vel_mag_mean,final_settlement_dz_mean,final_PorePress_max,final_PorePress_mean,final_ExcessPorePress_maxAbs,final_ExcessPorePress_mean,final_bottom_excess_mean,final_top_excess_maxAbs,final_bottom_no_flux_proxy,final_PorePressRate_maxAbs,final_DivVelContribution_maxAbs,final_HydraulicContribution_maxAbs,final_PorePressureAccelDiff_mag_maxAbs,excess_envelope_peak,excess_envelope_final,excess_envelope_final_over_peak,velocity_final_over_peak
T0p05,S1_BGStop_T005,0,0,0,52437,123.984268,True,True,26,0.05,not_run_projected_from_S1_1b_0p005_cpu_runtime,4.307300700000867e-05,2.6615246660010778e-05,-4.062682000002069e-06,9676.937094698,4873.266893885138,84.08403599729,-31.77319037822095,-84.00678167168999,2.01457254434e-07,0.001012046344015971,830640.56,296136.9866666667,684894.4675501197,0.10141011000000298,22812.53626436,84.08403599729,0.0036858696912475445,0.001620660797402331
T0p20,S1_BGStop_T020,0,0,0,209747,490.911163,True,True,21,0.2,not_run_projected_from_S1_1b_0p005_cpu_runtime,5.5996388000854816e-06,3.3999588440366865e-06,-3.30299899999993e-06,9733.595858767,4892.69216546615,27.35972367609,-12.340475404623668,-27.350646971834003,7.341817820361e-09,3.0682373495238835e-05,62076.809,37015.96133333334,62134.69520896983,0.02266722000039372,12108.61863019,27.35972367609,0.0022595247659278777,0.0007879047247609327
