case,code,excluded,dtmin_adjustments,mcc_state_output,mcc_init_logged,mcc_stress_update_connected,partcsv_count,particle_count
CaseM3b_MccPc0_Init,0,0,0,1,1,0,2,555
CaseM3b_MccOCR_InitialStress,0,0,0,1,1,0,2,555
