case,frame,particle_count,material_like_count,pc_min,pc_mean,pc_max,void_ratio_min,void_ratio_mean,void_ratio_max,p_eff_min,p_eff_mean,p_eff_max,plastic_vol_strain_max,eq_plastic_strain_max,yield_flag_max,return_status_max,yield_residual_maxabs
CaseM3b_MccPc0_Init,initial,555,407,200.0,200.0,200.0,0.80000001,0.8000000100000014,0.80000001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
CaseM3b_MccPc0_Init,final,555,407,200.0,200.0,200.0,0.80000001,0.8000000100000014,0.80000001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
CaseM3b_MccOCR_InitialStress,initial,555,407,200.0,200.0,200.0,0.80000001,0.8000000100000014,0.80000001,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
CaseM3b_MccOCR_InitialStress,final,555,407,200.0,200.0,200.0,0.80000001,0.8000000100000014,0.80000001,30.593340666666666,33.809639450450454,40.166049,0.0,0.0,0.0,0.0,0.0
