case,part,time,region,total,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts
baseline,17,0.008545,interior,63,2,61,0,0,0,0:2|1:61
baseline,17,0.008545,lateral_boundary,196,0,196,0,0,0,1:196
baseline,17,0.008545,top_cap_zone,18,0,18,0,0,0,1:18
baseline,18,0.009048,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,18,0.009048,edge,112,0,108,4,0,4,-1:4|1:108
baseline,18,0.009048,interior,63,6,57,0,0,0,0:6|1:57
baseline,18,0.009048,lateral_boundary,196,0,196,0,0,0,1:196
baseline,18,0.009048,top_cap_zone,18,0,18,0,0,0,1:18
baseline,19,0.009551,bottom_cap_zone,18,0,14,0,4,4,-3:4|1:14
baseline,19,0.009551,edge,112,0,108,4,0,4,-1:4|1:108
baseline,19,0.009551,interior,63,6,57,0,0,0,0:6|1:57
baseline,19,0.009551,lateral_boundary,196,0,196,0,0,0,1:196
baseline,19,0.009551,top_cap_zone,18,0,18,0,0,0,1:18
baseline,20,0.010053,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,20,0.010053,edge,112,0,112,0,0,0,1:112
baseline,20,0.010053,interior,63,6,57,0,0,0,0:6|1:57
baseline,20,0.010053,lateral_boundary,196,0,196,0,0,0,1:196
baseline,20,0.010053,top_cap_zone,18,0,18,0,0,0,1:18
baseline,21,0.010556,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,21,0.010556,edge,112,0,104,0,8,8,-3:8|1:104
baseline,21,0.010556,interior,63,2,61,0,0,0,0:2|1:61
baseline,21,0.010556,lateral_boundary,196,0,196,0,0,0,1:196
baseline,21,0.010556,top_cap_zone,18,0,18,0,0,0,1:18
baseline,22,0.011059,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,22,0.011059,edge,112,0,112,0,0,0,1:112
baseline,22,0.011059,interior,63,2,61,0,0,0,0:2|1:61
baseline,22,0.011059,lateral_boundary,196,0,196,0,0,0,1:196
baseline,22,0.011059,top_cap_zone,18,0,18,0,0,0,1:18
baseline,23,0.011561,bottom_cap_zone,18,0,17,0,1,1,-3:1|1:17
baseline,23,0.011561,edge,112,0,112,0,0,0,1:112
baseline,23,0.011561,interior,63,2,61,0,0,0,0:2|1:61
baseline,23,0.011561,lateral_boundary,196,0,196,0,0,0,1:196
baseline,23,0.011561,top_cap_zone,18,0,18,0,0,0,1:18
baseline,24,0.012064,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,24,0.012064,edge,112,0,112,0,0,0,1:112
baseline,24,0.012064,interior,63,2,57,0,4,4,-3:4|0:2|1:57
baseline,24,0.012064,lateral_boundary,196,0,196,0,0,0,1:196
baseline,24,0.012064,top_cap_zone,18,0,18,0,0,0,1:18
baseline,25,0.012566,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,25,0.012566,edge,112,0,112,0,0,0,1:112
baseline,25,0.012566,interior,67,2,65,0,0,0,0:2|1:65
baseline,25,0.012566,lateral_boundary,192,0,192,0,0,0,1:192
baseline,25,0.012566,top_cap_zone,18,0,18,0,0,0,1:18
