case,case_name,part,time,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,pairwise_reaction_avg,force_balance_error,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts,yield_fraction,return_iterations_max,yield_residual_maxAbs,yield_residual_converged_maxAbs,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,Kplastic_max,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
baseline,CaseM3d2_MCCMildBaseline,29,0.014577,0.0003916153570000802,47.38112451807538,64.95361371724502,0.24839714257082568,0.2858295,0.0451077,2,401,0,4,4,-3:4|0:2|1:401,0.9852579852579852,27.0,4673.6592,6.6017048e-05,118.21044,119.72285663390664,120.1684,0.79975796,0.800369156904176,0.80243158,-0.00020598254852653578,0.0020224634,0.0020224634,-173553.62121435322,108485.98365589275,64689556.0,0.097282141,0.00556812802004651
baseline,CaseM3d2_MCCMildBaseline,30,0.01508,0.00040607803799996844,47.32392135804259,64.85318882734752,0.24801233693827282,0.285917,0.0416584,2,405,0,0,0,0:2|1:405,0.995085995085995,27.0,4627.2939,6.8579917e-05,118.13509,119.70971100737101,120.17422,0.79975021,0.8003868438574944,0.80253363,-0.0002157835186813267,0.0020993322,0.0020993322,-181248.5393421465,116311.53817712056,64456232.0,0.097120397,0.005566001347533801
baseline,CaseM3d2_MCCMildBaseline,31,0.015582,0.00042050267100010585,47.255042961621605,64.85897520173849,0.2477911547855856,0.285917,0.0416584,2,404,0,1,1,-3:1|0:2|1:404,0.9926289926289926,27.0,4578.9209,6.7231005e-05,118.0599,119.69652665847653,120.17999,0.79974246,0.800404615282554,0.80263555,-0.0002256151691506143,0.0021760617,0.0021760617,-188232.32063338737,111875.4253747949,64466920.0,0.09695857,0.005563199447377282
baseline,CaseM3d2_MCCMildBaseline,32,0.016085,0.0004349519110000144,47.19521186261263,64.9941061348069,0.2478351006657338,0.285715,0.0388281,2,400,0,5,5,-3:5|0:2|1:400,0.9828009828009828,27.0,4530.7178,6.3880281e-05,117.98486,119.6833335135135,120.1857,0.79973501,0.8004222875429973,0.8027373,-0.0002354567825314494,0.002252653,0.002252653,-195960.21622577682,119678.29757353594,64193796.0,0.096735641,0.00556019369625581
baseline,CaseM3d2_MCCMildBaseline,33,0.016588,0.0004492885050001727,47.26765301049958,64.82134620574622,0.24767791152114793,0.285715,0.0388281,2,404,0,1,1,-3:1|0:2|1:404,0.9926289926289926,27.0,4484.2451,6.2990082e-05,117.91005,119.67005916461916,120.19138,0.79972756,0.8004399596805898,0.8028388,-0.000245361404799263,0.0023290303,0.0023290303,-202875.5548296595,114840.86871963712,64112908.0,0.096436463,0.00554985787018284
baseline,CaseM3d2_MCCMildBaseline,34,0.01709,0.0004636546450001444,47.25976566036038,65.0261401071888,0.24800401614916187,0.286149,0.0346152,2,396,0,9,9,-3:9|0:2|1:396,0.972972972972973,26.0,4440.3535,6.373103e-05,117.83559,119.65687027027036,120.19707,0.79971981,0.8004575235380837,0.80293989,-0.00025520493036191666,0.0024050788,0.0024050788,-210582.2788602461,122568.36199705412,63747720.0,0.096074387,0.005539688718299206
baseline,CaseM3d2_MCCMildBaseline,35,0.017593,0.00047805187000010685,47.34196609155608,64.7519149015396,0.24770343986144946,0.286149,0.0346152,2,405,0,0,0,0:2|1:405,0.995085995085995,26.0,4405.4355,6.199022e-05,117.76148,119.64357267813291,120.20275,0.79971218,0.8004751788697787,0.80304056,-0.0002651319376985258,0.0024808114,0.0024808114,-217450.76138385595,117320.38523857649,63632868.0,0.095724262,0.005534855098960306
baseline,CaseM3d2_MCCMildBaseline,36,0.018096,0.0004923412500000557,47.26133310780508,64.9466204495404,0.24781437833696118,0.286149,0.0346152,2,397,0,8,8,-3:8|0:2|1:397,0.9754299754299754,26.0,4486.3047,6.4242093e-05,117.68771,119.63033950859979,120.2084,0.79970473,0.8004928626289921,0.80314088,-0.0002750144962390663,0.0025562742,0.0025562742,-225214.38188911168,124985.56449377477,63265952.0,0.095357433,0.005524232722650874
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,0,0.0,0.0,50.0,0.0,0.1413716694115407,0.144809,2.53653e-09,407,0,0,0,0,0:407,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.80000001,0.8000000100000014,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,1,0.001005,1.5113259500820764e-06,12.866898054593774,30.16922322223922,0.09056386723439581,0.23916369999999998,0.660996,174,133,100,0,100,-1:100|0:174|1:133,0.32678132678132676,14.0,2854.7717,5.6645586e-06,119.99577,119.9996064619164,120.00291,0.79996556,0.8000390239312032,0.80005389,-2.915151909828012e-07,6.722873e-06,6.722873e-06,-16722.436474163125,3245.3414496107807,28766642.0,0.04320972,0.0024999999
