case,label,gradient_mode,confinement_ramp_start,confinement_ramp_end,axial_loading_start,time_max,final_axial_acc_z
CaseT4c_RawStagedLoading,raw staged,0,0.0,0.001,0.0015,0.0018,-0.1
CaseT4c_RenormStagedLoading,renormalized staged,1,0.0,0.001,0.0015,0.0018,-0.1
CaseT4c_RawStagedGentleLoading,raw staged gentle,0,0.0,0.001,0.0015,0.0018,-0.04
