#Time;LinearAccX;LinearAccY;LinearAccZ;AngularAccX;AngularAccY;AngularAccZ
0;0;0;0;0;0;0
0.0048;0;0;0;0;0;0
0.0052;0;0;-0.2;0;0;0
0.006;0;0;-0.2;0;0;0
