step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_confining_ref,feedback_limited,feedback_relaxed,case,label,route,feedback
30,0.00341841,0.278937,63,344,9.20195,6.29591,9.20195,6.29591,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
31,0.00351894,0.345962,63,344,20.5364,15.6534,20.5364,15.6534,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
32,0.00361948,0.412988,63,344,5.94483,4.57419,5.94483,4.57419,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
33,0.00372002,0.48001,63,344,54.7199,38.3645,54.7199,38.3645,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
34,0.00382055,0.54703,63,344,27.1993,15.5793,27.1993,15.5793,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
35,0.00392108,0.614052,63,344,152.558,113.416,152.558,113.416,1.92647,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
36,0.0040216,0.681065,63,344,64.1496,46.2559,64.1496,46.2559,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
37,0.00412211,0.748076,63,344,500.544,369.834,500.544,369.834,1.92644,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
38,0.0042226,0.815064,63,344,112.871,65.7618,112.871,65.7618,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
39,0.00432307,0.882047,63,344,1745.73,1307.94,1745.73,1307.94,1.92654,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
40,0.00442344,0.948958,63,344,997.968,693.578,997.968,693.578,1.92643,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
41,0.00452366,1.0,63,344,6365.17,4756.8,6365.17,4756.8,1.92628,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
42,0.00462354,1.0,63,344,11726.7,8394.73,11726.7,8394.73,1.92676,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
43,0.00472278,1.0,63,344,10531.4,8395.15,10531.4,8395.15,1.92689,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
44,0.0048207,1.0,63,344,54861.4,39198.8,54861.4,39198.8,1.9253,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
45,0.00491653,1.0,63,344,24105.4,13956.3,24105.4,13956.3,1.92665,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
46,0.00501076,1.0,63,344,173505.0,123020.0,173505.0,123020.0,1.93265,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
47,0.00509416,1.0,63,344,123157.0,79597.8,123157.0,79597.8,1.92439,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
48,0.00514492,1.0,63,344,406805.0,286453.0,406805.0,286453.0,1.92133,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
49,0.0051696,1.0,63,344,411342.0,293629.0,411342.0,293629.0,1.921,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
50,0.00521123,1.0,63,344,27249.7,19996.7,27249.7,19996.7,1.92497,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
51,0.00523515,1.0,63,344,305395.0,208161.0,305395.0,208161.0,1.93412,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
52,0.00524979,1.0,63,344,487527.0,330286.0,487527.0,330286.0,1.93988,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
53,0.00526441,1.0,63,344,614168.0,414336.0,614168.0,414336.0,1.94362,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
54,0.00528307,1.0,59,348,666958.0,442810.0,666958.0,442810.0,1.94527,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
55,0.00531487,1.0,59,348,486334.0,328516.0,486334.0,328516.0,1.93899,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
56,0.0053339,1.0,59,348,214958.0,152177.0,214958.0,152177.0,1.93048,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
57,0.00534433,1.0,59,348,40557.5,31660.9,40557.5,31660.9,1.92662,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
58,0.00535354,1.0,59,348,136583.0,84179.6,136583.0,84179.6,1.92313,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
59,0.00536262,1.0,59,348,298424.0,193463.0,298424.0,193463.0,1.92105,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
60,0.00537186,1.0,59,348,229312.0,155737.0,229312.0,155737.0,1.91968,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
61,0.00538162,1.0,59,348,379280.0,256577.0,379280.0,256577.0,1.9184,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
62,0.00539235,1.0,59,348,523657.0,353125.0,523657.0,353125.0,1.91721,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
63,0.00540386,1.0,59,348,642234.0,431661.0,642234.0,431661.0,1.91626,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
64,0.00541687,1.0,59,348,717234.0,480356.0,717234.0,480356.0,1.91568,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
65,0.00543268,1.0,59,348,709565.0,473483.0,709565.0,473483.0,1.91575,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
66,0.00545446,1.0,59,348,512572.0,341563.0,512572.0,341563.0,1.91734,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
67,0.00547476,1.0,59,348,203281.0,111093.0,203281.0,111093.0,1.92029,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
68,0.00548626,1.0,59,348,78871.6,48170.2,78871.6,48170.2,1.92243,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
69,0.00549577,1.0,59,348,279061.0,178664.0,279061.0,178664.0,1.92538,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
70,0.00550508,1.0,59,348,251461.0,177748.0,251461.0,177748.0,1.92873,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
71,0.00551467,1.0,59,348,420349.0,290540.0,420349.0,290540.0,1.9319,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
72,0.00552514,1.0,51,356,578926.0,384114.0,578926.0,384114.0,1.93507,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
73,0.00553664,1.0,51,356,734006.0,476566.0,734006.0,476566.0,1.93797,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
74,0.00554851,1.0,51,356,852388.0,542255.0,852388.0,542255.0,1.94027,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
75,0.00556048,1.0,51,356,910286.0,572899.0,910286.0,572899.0,1.9418,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
76,0.00557255,1.0,51,356,896918.0,564290.0,896918.0,564290.0,1.94247,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
77,0.00558471,1.0,51,356,805637.0,514404.0,805637.0,514404.0,1.9423,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
78,0.00559689,1.0,51,356,637186.0,424551.0,637186.0,424551.0,1.94136,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
79,0.00560659,1.0,51,356,480052.0,327962.0,480052.0,327962.0,1.94014,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
80,0.00561462,1.0,51,356,221199.0,166761.0,221199.0,166761.0,1.9389,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
