case,label,route,feedback,frame,time,region,region_count,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean,porepress_mean,porepress_min,porepressrate_maxabs,divvel_maxabs,velocity_max
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,4,0.001307,bottom_cap,18,19.95912952222222,19.9591295,3.3483017794444443,-14.422186933888888,20.739953593169176,-25766.941424735556,-29541.98700977,10230212.0,0.015436782,0.0015436858332690728
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,4,0.001307,edge,112,27.918861970535715,27.91886210089286,28.112071490178575,-27.98326518720238,20.51030023316851,-31189.919298508754,-39070.65742893,33285706.0,0.05002803,0.0010718118567049398
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,5,0.001508,interior,63,27.672106265079353,27.672104752380946,-6.148258488888888,-16.398650842857148,34.886523304128445,-26237.3762203338,-28975.13016147,23253278.0,0.034901995,0.00023516647620969844
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,5,0.001508,lateral,196,7.297745379387755,7.297745618826531,-7.704616453826531,-2.296958181462585,18.014973826481665,-22908.372105882958,-26704.00589199,17769658.0,0.026663128,0.00064938962205021
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,5,0.001508,top_cap,18,17.16182898888889,17.16182751111111,-15.549295011111111,-6.258120496296296,39.452756807274405,-26482.934359019444,-27437.55827032,24589346.0,0.03691569,0.0019987959000000006
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,5,0.001508,bottom_cap,18,17.161827983333335,17.16182756111111,-15.54929622777778,-6.258119772222222,39.45275723691719,-26482.933759760002,-27437.55703769,24589340.0,0.036915682,0.0019987957
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,5,0.001508,edge,112,37.00920898214286,37.00920907142857,36.72714670535714,-36.915188252976186,30.076203583448343,-32057.766212992145,-33619.06118823,23482634.0,0.035244171,0.0008892952425116328
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,6,0.00181,interior,63,15.998624163492064,15.99862268095238,-22.079391856031744,-3.3059516628042322,40.63176622227183,-20998.342440516193,-26025.40380642,35143040.0,0.052806165,0.00039354854000000534
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,6,0.00181,lateral,196,-7.133151244387755,-7.133150932653061,-15.855697468826534,10.04066654862245,19.817218561033716,-17976.7130748125,-22777.87969109,26897920.0,0.040406153,0.0009521091621696511
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,6,0.00181,top_cap,18,2.1717210833333334,2.1717197555555554,-57.380977555555546,17.67917890555556,71.17033907890197,-16918.265093227223,-18796.9780311,39127016.0,0.058780495,0.0023363293
