case,label,route,feedback,frame,time,particle_count,center_count,velocity_max,divvel_maxabs,porepress_min,porepress_mean,porepress_center_mean,excess_center_mean,porepressrate_maxabs,porepressrate_center_mean,negative_pressure_count,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,18,0.004826,407,45,0.001231604807827185,0.021341655,-19010.70924463,-14320.433359838798,-16504.631398487778,-16504.631398487778,14197629.0,2180162.0166666666,407,0.0,-10.247424587469288,-10.247424677395577,-24.20637158985258,14.900406951572482,53.819489316574376
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,19,0.005027,407,45,0.0011468921742886233,0.031595875,-19168.6986842,-13545.85776231242,-15019.078456044,-15019.078456044,21087824.0,9023553.0,407,0.0,-12.285068161818181,-12.285068372113024,-25.94040179213759,16.836846108689603,54.02999965179365
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,20,0.005328,407,45,0.0010951903000000014,0.041082367,-16854.12638089,-11090.091021658262,-10792.254878354534,-10792.254878354534,27379674.0,15971499.022222223,407,0.0,-18.705563358347668,-18.705563533831697,-31.517664505405406,22.976263799194918,53.72059803680526
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,21,0.005529,407,45,0.0011329652000000015,0.039258942,-10980.98272103,-8815.009004591962,-7570.101511449645,-7570.101511449645,26163790.0,17614384.844444446,407,0.0,-24.036584151719904,-24.03658444005651,-36.221170564373466,28.09811305204996,53.4099971336182
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,22,0.005831,407,45,0.0009611462600000028,0.030334793,-12449.08150268,-5923.635171782536,-2579.2104817483555,-2579.2104817483555,20206098.0,15427393.622222222,395,0.0,-31.49498754398034,-31.49498801179361,-42.98967028722359,35.32654861433251,53.25979449259903
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,23,0.006032,407,45,0.0007603039237697596,0.024405761,-13356.58400788,-4494.4947873625915,-62.88841787663777,-62.88841787663777,16242335.0,11404381.466666667,342,0.0,-35.11195676823096,-35.111957140614244,-46.474286713267816,38.89940020737101,53.4972109308855
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,0,407.0,407,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-50.0,-50.0,-50.0,50.0,0.0
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,1,0.000503,407,45,0.000968458111408096,0.030540999,-10235.56260894,-7426.230126886059,-7262.052970152578,-7262.052970152578,20360664.0,-14445734.555555556,407,0.0,-30.282442368550363,-30.282442484029485,-33.738386206388206,31.43442368632269,5.4967249700762615
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,2,0.000804,407,45,0.0009911919500000018,0.059767481,-22633.63509749,-16291.017990204444,-16653.73448289111,-16653.73448289111,39813860.0,-31763421.733333334,407,0.0,-6.76495085953317,-6.764951177665846,-14.28745393142506,9.27245198954136,11.758614361094919
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,3,0.001005,407,45,0.0008702169840457516,0.046079595,-29242.78389121,-20899.562167218675,-22607.514370377554,-22607.514370377554,30683260.0,-28477286.71111111,407,0.0,5.428530827051598,5.42853039914005,-4.110332328280099,-2.248909632637183,14.582059801696888
