case,label,route,feedback,code,excluded,dtmin_adjustments,frames,final_time,kplastic_max,velocity_max,divvel_maxabs,porepressrate_maxabs,porepress_min,negative_pressure_max_count,final_porepress_center_mean,final_porepress_mean,final_p_eff_compression_proxy_mean,final_q_proxy_mean,active_targets,fi_selected,lateral_fi_selected,cap_fi_selected,lateral_accel_mean,cap_accel_mean,cap_support_top_targets,cap_support_bottom_targets,feedback_used_max
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,0,0,0,24,0.006032,0.0,0.0023363293,0.066412851,44174260.0,-39070.65742893,407,-62.88841787663777,-4494.4947873625915,38.89940020737101,53.4972109308855,112,208,112,96,1.50591,0.0,18,18,0.0
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,0,0,0,24,0.006032,0.0,0.0011043684359660847,0.059767481,39813860.0,-33399.42784628,407,328.98472490932954,-2960.174832450662,46.37611635421785,15.649259885861445,208,208,112,96,1.50591,0.820371,0,0,0.0
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,0,0,0,24,0.006001,0.0,30.643486000000085,2442.4236,1628261300000.0,-63269038.80407,407,-20435140.98932512,-16681871.613773195,-34254.15275183456,65470.041119356065,208,208,112,96,1.50591,0.820372,0,0,1019100.0
