case,code,excluded,steps,runtime_s,frame,particles,material,DivVel_max,DivVel_maxAbs,DivVel_mean,DivVel_min,ExcessPorePress_max,ExcessPorePress_maxAbs,ExcessPorePress_mean,ExcessPorePress_min,HeadResidual_max,HeadResidual_maxAbs,HeadResidual_mean,HeadResidual_min,LapPorePress_max,LapPorePress_maxAbs,LapPorePress_mean,LapPorePress_min,LapZ_max,LapZ_maxAbs,LapZ_mean,LapZ_min,PorePressRate_max,PorePressRate_maxAbs,PorePressRate_mean,PorePressRate_min,PorePress_max,PorePress_maxAbs,PorePress_mean,PorePress_min
gpu_hydrostatic,0,0,1,0.061844,PartCsv_0001,1040,1000,0,0,0,0,0,0,0,0,2.43019281054e-05,2.61962477407e-05,2.62830557288e-06,-2.61962477407e-05,725604.25,725604.25,-9.62055765558e-05,-725604.19,73.965759,73.965759,2.63811247406e-06,-73.965759,16.201284,17.464165,1.75924445302,-17.464165,9760.95041752,9760.95041752,4905.00020981,49.0500020981
gpu_analytical_excess,0,0,1,0.060104,PartCsv_0001,1040,1000,0,0,0,0,999.874127674,999.874127674,630.200684991,0,23.9180419782,23.9180419782,2.62649836633e-06,-1.02136106639,960240.12,960240.12,-3.90899428166e-05,-490968.31,73.965759,73.965759,2.6304830793e-06,-73.965759,15945362,15945362,1.74889999976,-680907.38,9760.95041752,9760.95041752,5535.2008948,49.0500020981
cpu_hydrostatic_reference,0,0,210,3.833467,PartCsv_0001,1040,1000,0,0,0,0,-2.36812229559e-06,2.62901021415e-05,-1.45739810886e-05,-2.62901021415e-05,4.55583354153e-06,4.55583354153e-06,-2.32055646983e-07,-4.55583354153e-06,725604.25,725604.25,0.000463839984615,-725604.25,73.965767,73.965767,-2.79338001604e-07,-73.965767,0,1.2417634,-0.15399486738,-1.2417634,9760.95041515,9760.95041515,4905.00019523,49.0499855212
cpu_analytical_excess_reference,0,0,210,3.769969,PartCsv_0001,1040,1000,0,0,0,0,933.965793567,933.965793567,630.200665937,266.652802372,1.93851721501,1.93851721501,-2.58339026442e-07,-0.95388480003,744621.06,744621.06,0.000206000075093,-706587.44,73.965767,73.965767,-2.79338001604e-07,-73.965767,1292342.9,1292342.9,-0.143630999865,-635923.19,10027.6032199,10027.6032199,5535.20087575,315.702810251
