time,Tv,analytical_bottom_excess,analytical_bottom_porepress,analytical_bottom_hydrostatic,gpu_xi010_bottom_excess,gpu_xi005_bottom_excess,gpu_xi010_bottom_porepress,gpu_xi005_bottom_porepress
0,0,20299.236034,30011.136035,9711.90000098,0,0,9711.90041542,9711.90041542
0.1,0.027441722676,16516.0155286,26227.9155296,9711.90000098,15593.0243049,15890.1892354,25305.2338084,25602.4022699
0.2,0.0554434805087,14915.9440955,24627.8440965,9711.90000098,14057.2092009,14293.6458328,23769.5355939,24005.9766293
0.3,0.0834452383414,13691.877695,23403.7776959,9711.90000098,12863.6874996,13060.5546871,22576.1045608,22772.9772745
0.4,0.111446996174,12661.2721539,22373.1721549,9711.90000098,11851.2135413,12012.9079858,21563.7075343,21725.4078465
0.5,0.139448754007,11754.4821625,21466.3821635,9711.90000098,10953.1970483,11086.5147566,20665.7592869,20799.0830104
0.6,0.16745051184,10936.9080553,20648.8080563,9711.90000098,10142.9652775,10256.4600692,19855.5897258,19969.0905277
0.7,0.195452269672,10189.1620505,19901.0620515,9711.90000098,9413.96874974,9501.61111085,19126.6490888,19214.2981814
0.8,0.223454027505,9499.49519509,19211.3951961,9711.90000098,8719.08767338,8788.12760391,18431.8219636,18500.868961
0.9,0.251455785338,8860.24677246,18572.1467734,9711.90000098,8113.26736088,8164.46267338,17826.0492595,17877.2520963
1,0.27945754317,8266.02329446,17977.9232954,9711.90000098,7512.44270811,7551.24479144,17225.2719101,17264.0815611
1.1,0.307459301003,7712.7308959,17424.6308969,9711.90000098,6997.90972203,7020.82986092,16710.7799664,16733.7081332
1.2,0.335461058836,7197.05294627,16908.9529473,9711.90000098,6495.7452255,6508.53081578,16208.6559115,16221.449518
1.3,0.363462816668,6716.16472074,16428.0647217,9711.90000098,6022.43229151,6023.70052068,15735.380678,15736.656907
1.4,0.391464574501,6267.57529563,15979.4752966,9711.90000098,5618.81944429,5612.20486095,15331.8001364,15325.1934656
1.5,0.419466332334,5849.03801618,15560.9380172,9711.90000098,5216.9618054,5202.36762137,14929.9755198,14915.3891844
1.6,0.447468090166,5458.49808229,15170.3980833,9711.90000098,4820.41276029,4800.05772557,14533.4588099,14513.1110925
1.7,0.475469847999,5094.0603528,14805.9603538,9711.90000098,4512.38585057,4488.08506932,14225.4570504,14201.1635385
1.8,0.503471605832,4753.96827639,14465.8682774,9711.90000098,4210.37326377,4180.12586793,13923.4702988,13893.2301275
1.9,0.531473363665,4436.58904949,14148.4890505,9711.90000098,3908.0737846,3872.29253462,13621.1965228,13585.4217692
2,0.559475121497,4140.40235335,13852.3023543,9711.90000098,3607.37369781,3564.71527768,13320.5191464,13277.8667661
2.1,0.58747687933,3863.99123298,13575.891234,9711.90000098,3360.65104156,3332.04470475,13073.8178701,13045.2190881
2.2,0.615478637163,3606.0343312,13317.9343322,9711.90000098,3159.67968741,3126.15993914,12872.8672955,12839.3558969
2.3,0.643480394995,3365.29904195,13077.1990429,9711.90000098,2958.12543394,2920.45464401,12671.3319464,12633.670004
2.4,0.671482152828,3140.63533583,12852.5353368,9711.90000098,2756.5295138,2714.79079852,12469.7544467,12428.024886
2.5,0.699483910661,2930.97011336,12642.8701143,9711.90000098,2554.59548603,2508.81727422,12267.8385568,12222.0697283
2.6,0.727485668493,2735.30199734,12447.2019983,9711.90000098,2353.08116311,2303.26714401,12066.3421462,12016.5377271
2.7,0.755487426326,2552.69650608,12264.5965071,9711.90000098,2152.56315096,2099.45920132,11865.8415421,11812.7468232
2.8,0.783489184159,2382.28156679,12094.1815678,9711.90000098,1985.37217878,1948.5130208,11698.6613436,11661.8096531
2.9,0.811490941991,2223.24333814,11935.1433391,9711.90000098,1877.0427517,1839.89149302,11590.3397275,11553.1959069
3,0.839492699824,2074.82231677,11786.7223177,9711.90000098,1772.08170569,1735.14322913,11485.3863625,11448.4552567
3.1,0.867494457657,1936.30970656,11648.2097075,9711.90000098,1669.00813798,1629.91840274,11382.3203658,11343.2378847
3.2,0.89549621549,1807.04403177,11518.9440327,9711.90000098,1566.55468746,1525.53971351,11279.8744482,11238.8667129
3.3,0.923497973322,1686.40797703,11398.307978,9711.90000098,1464.9317491,1420.93598087,11178.2589424,11134.2702843
3.4,0.951499731155,1573.82543878,11285.7254398,9711.90000098,1363.29014753,1316.97460934,11076.6247229,11030.3162173
3.5,0.979501488988,1468.75877373,11180.6587747,9711.90000098,1261.55957028,1213.35026038,10974.9014815,10926.6991922
3.6,1.00750324682,1370.70623117,11082.6062321,9711.90000098,1160.35308156,1110.00075951,10873.7023337,10823.3569785
