time,Tv,z,z_norm,analytical_excess,analytical_hydrostatic,analytical_porepress
0,0,0.0049999999,0,20299.236034,9711.90000098,30011.136035
0,0,0.014999999901,0.010101010101,20107.9163668,9613.80000097,29721.7163678
0,0,0.024999999902,0.020202020202,19902.656366,9515.70000096,29418.3563669
0,0,0.034999999903,0.030303030303,19697.310138,9417.60000095,29114.9101389
0,0,0.044999999904,0.040404040404,19492.3474209,9319.50000094,28811.8474218
0,0,0.0549999999051,0.0505050505051,19286.9288122,9221.40000093,28508.3288131
0,0,0.0649999999061,0.0606060606061,19081.9913978,9123.30000092,28205.2913988
0,0,0.0749999999071,0.0707070707071,18876.5646934,9025.20000091,27901.7646943
0,0,0.0849999999081,0.0808080808081,18671.6269663,8927.1000009,27598.7269672
0,0,0.0949999999091,0.0909090909091,18466.2055559,8829.00000089,27295.2055568
0,0,0.10499999991,0.10101010101,18261.2591504,8730.90000088,26992.1591513
0,0,0.114999999911,0.111111111111,18055.8489514,8632.80000087,26688.6489523
0,0,0.124999999912,0.121212121212,17850.8893098,8534.70000086,26385.5893107
0,0,0.134999999913,0.131313131313,17645.4940353,8436.60000085,26082.0940362
0,0,0.144999999914,0.141414141414,17440.5180253,8338.50000084,25779.0180261
0,0,0.154999999915,0.151515151515,17235.1403702,8240.40000083,25475.5403711
0,0,0.164999999916,0.161616161616,17030.1456529,8142.30000082,25172.4456538
0,0,0.174999999917,0.171717171717,16824.7876474,8044.20000081,24868.9876482
0,0,0.184999999918,0.181818181818,16619.7724731,7946.1000008,24565.8724739
0,0,0.194999999919,0.191919191919,16414.435604,7848.00000079,24262.4356048
0,0,0.20499999992,0.20202020202,16209.3987376,7749.90000078,23959.2987383
0,0,0.214999999921,0.212121212121,16004.0839955,7651.80000077,23655.8839963
0,0,0.224999999922,0.222222222222,15799.0246856,7553.70000076,23352.7246864
0,0,0.234999999923,0.232323232323,15593.7325869,7455.60000075,23049.3325877
0,0,0.244999999924,0.242424242424,15388.6505483,7357.50000074,22746.150549
0,0,0.254999999925,0.252525252525,15183.3811514,7259.40000073,22442.7811521
0,0,0.264999999926,0.262626262626,14978.2765479,7161.30000072,22139.5765486
0,0,0.274999999927,0.272727272727,14773.0294716,7063.20000071,21836.2294723
0,0,0.284999999928,0.282828282828,14567.9028958,6965.1000007,21533.0028965
0,0,0.294999999929,0.292929292929,14362.6773433,6867.00000069,21229.677344
0,0,0.30499999993,0.30303030303,14157.5297886,6768.90000068,20926.4297893
0,0,0.314999999931,0.313131313131,13952.324578,6670.80000067,20623.1245787
0,0,0.324999999932,0.323232323232,13747.1574053,6572.70000066,20319.8574059
0,0,0.334999999933,0.333333333333,13541.9710072,6474.60000065,20016.5710079
