stage,case,run,category,code,excluded,DtMin,TimeMax_s,loading_route,peak_excess_maxAbs_Pa,bottom_rmse_q0_Pa,profile_rmse_q0_Pa,top_drained_residual_Pa,bottom_no_flux_proxy_Pa,velocity_max_mps,validation_ready
L1,L1 external-load baseline,cpu,B stable reduced smoke,0,0,0,0.2,native AccInput on mkfluid=1 top layer,219.358357,,,4.79190021e-11,-2.54387396e-07,1.655919e-08,no
L2,L2 paper-aligned AccInput,cpu,B stable reduced smoke,0,0,0,0.02,native AccInput on mkfluid=1 top material layer,624556.0838005,220616.71431923972,47912.45556285427,0.0,-0.0700819240155397,0.03754387100000044,no
L2,L2 paper-aligned AccInput,gpu,B stable reduced smoke,0,0,0,0.02,native AccInput on mkfluid=1 top material layer,624556.2498158,220616.8306044474,47912.517595950834,0.0001755958276277,-0.07111537498713005,0.037543945000000196,no
L3a,L3a initial-pressure diffusion gate,cpu,A validation-ready paper-compatible gate,0,0,0,0.02,PorePressureInit=3 uniform initial excess; no mechanical AccInput,10000.0,7287.235318394663,9128.622705131094,0.0,0.0023383687500881933,0.0,"yes, diffusion/boundary gate only"
L3a,L3a initial-pressure diffusion gate,gpu,A validation-ready paper-compatible gate,0,0,0,0.02,PorePressureInit=3 uniform initial excess; no mechanical AccInput,10000.0,7287.224411825157,9128.613502053566,0.0,0.0023230373599290033,0.0,"yes, diffusion/boundary gate only"
L3b,L3b mechanical top-load material force,cpu,B stable reduced smoke,0,0,0,0.02,MechanicalTopLoad=1 CPU top material surface traction; no AccInput,589684.2742723,272384.90554238076,440096.41205961816,0.0,-1.9341240499634296,0.1356249600000011,no
L3c,L3c consistent initial-state gate,cpu,A validation-ready paper-compatible gate,0,0,0,0.02,PorePressureInit=3 uniform initial excess; no AccInput; no MechanicalTopLoad,10000.0,7287.235318394663,9128.622705131094,0.0,0.0023383687500881933,0.0,"yes, diffusion/initial-state gate only"
L3c,L3c consistent initial-state gate,gpu,A validation-ready paper-compatible gate,0,0,0,0.02,PorePressureInit=3 uniform initial excess; no AccInput; no MechanicalTopLoad,10000.0,7287.224411825157,9128.61350236877,0.0,0.002323040034866608,0.0,"yes, diffusion/initial-state gate only"
