stage,case,cpu_code,gpu_code,cpu_peak_excess_Pa,gpu_peak_excess_Pa,peak_abs_diff_Pa,cpu_bottom_rmse_Pa,gpu_bottom_rmse_Pa,bottom_rmse_abs_diff_Pa,cpu_profile_rmse_Pa,gpu_profile_rmse_Pa,profile_rmse_abs_diff_Pa
L2,L2 paper-aligned AccInput,0,0,624556.0838005,624556.2498158,0.16601529996842146,220616.71431923972,220616.8306044474,0.11628520768135786,47912.45556285427,47912.517595950834,0.06203309656120837
L3a,L3a initial-pressure diffusion gate,0,0,10000.0,10000.0,0.0,7287.235318394663,7287.224411825157,0.010906569506005326,9128.622705131094,9128.613502053566,0.009203077528582071
L3c,L3c consistent initial-state gate,0,0,10000.0,10000.0,0.0,7287.235318394663,7287.224411825157,0.010906569506005326,9128.622705131094,9128.61350236877,0.009202762325003278
