case,outdir,code,excluded,runtime_s,steps,frames,partcsv_frames,xml_model,xml_softening,inferred_model,model_log,softening_log,has_porepress,has_excess,has_kplastic,max_abs_porepress,max_abs_excess,max_abs_porepress_rate,max_abs_kplastic,plastic_zero_check
elastic_cpu,CaseElasticSwitch_E1_Elastic_cpu_out,0,0,151.595291,5244,6,6,0,0,0,missing,disabled,1,1,1,9765.77398357,5.948256723635,2930.5615,0.0,pass
dp_cpu,CaseElasticSwitch_E1_DP_cpu_out,0,0,132.981995,5244,6,6,1,0,1,missing,disabled,1,1,1,9765.77398357,5.948256723635,2930.5615,0.0,not_required
softening_legacy_cpu,CaseElasticSwitch_E1_SofteningLegacy_cpu_out,0,0,132.202713,5244,6,6,default_dp,1,2,missing,enabled,1,1,1,9765.77398357,5.948256723635,2930.5615,0.0,not_required
elastic_gpu,CaseElasticSwitch_E1_Elastic_gpu_out,0,0,12.469683,5244,6,6,0,0,0,missing,disabled,1,1,1,9765.785928416,5.961167727178,2862.853,0.0,pass
