case,label,kind,scale,relax,limiter,time,part,region,count,porepress_mean,porepress_min,porepress_max,excess_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max,kplastic_max
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.0,0,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.0,0,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.0,0,specimen_no_caps_edge,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.000503,1,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.000503,1,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.000503,1,specimen_no_caps_edge,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.000804,2,all,407,632.9717974725647,3.825858904116,1362.021307252,632.9717974725647,3532970.3441867325,7526067.0,-0.0052994558119828,0.011291088,0.00029019344208488525,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.000804,2,center_core,45,627.2367034510555,242.8336856286,774.4803221052,627.2367034510555,3636444.9511111123,4435425.5,-0.005453635519999999,0.0066526914,2.100043359092403e-05,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.000804,2,specimen_no_caps_edge,147,699.0619982319586,185.7127008813,1005.687898105,699.0619982319586,3959455.436734694,5638291.5,-0.005938634617006802,0.0084580779,3.057459600000004e-05,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.001005,3,all,407,1789.5462488918743,-2.380450610536,3779.237035022,1789.5462488918743,6483568.543402948,13487974.0,-0.009725353472923833,0.020239539,0.000490818005229075,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.001005,3,center_core,45,1906.3274844674866,902.3206966517,2299.99376773,1906.3274844674866,7294107.5,8654424.0,-0.010937904517777777,0.012980542,5.483188753322316e-05,0.0
CaseT4f_AxialGentle_RelaxA02CapR25A50,axial smoke,axial smoke,1.0,0.2,3,0.001005,3,specimen_no_caps_edge,105,2208.506791983923,902.3206966517,2863.70582653,2208.506791983923,8165852.528571429,10430536.0,-0.012246579859999999,0.015648499,7.539291300000099e-05,0.0
