case,label,time,factor,limited,relaxed,raw_max,used_max,ratio_max,cap_min
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.000502713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.000603255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.000703798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00080434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.000904883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00100543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00110597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00120651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00130705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00140759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00150814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00160868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00170922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00180976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.0019103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00201085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00211139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00221193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00231247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00241301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00251355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.0026141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00271464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00281518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00291572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00301626,0.01084,0.0,0.0,1.71993,1.71993,0.892796,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.0031168,0.0778673,0.0,0.0,12.5862,12.5862,6.53337,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00321734,0.144895,0.0,0.0,24.4323,24.4323,12.6825,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00331788,0.211922,0.0,0.0,42.2097,42.2097,14.0343,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00341842,0.278947,0.0,0.0,37.1636,37.1636,19.2912,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00351896,0.34597,0.0,0.0,81.488,81.488,35.9347,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00361948,0.41299,0.0,0.0,208.902,208.902,55.0308,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00372,0.480003,0.0,0.0,619.521,619.521,61.5613,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.0038205,0.547003,0.0,0.0,1905.71,1905.71,129.093,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00392091,0.613943,0.0,0.0,6186.26,6186.26,278.163,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00402103,0.680689,0.0,0.0,21631.7,21631.7,323.665,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.0041202,0.7468,0.0,0.0,78596.5,78596.5,249.115,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00421609,0.810728,0.0,0.0,274233.0,274233.0,312.025,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00426762,0.845083,0.0,0.0,526786.0,526786.0,223.759,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00428761,0.858403,0.0,0.0,72260.6,72260.6,63.6266,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00429949,0.866329,0.0,0.0,218536.0,218536.0,75.7256,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00430967,0.873111,0.0,0.0,352036.0,352036.0,84.4994,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.0043197,0.879799,0.0,0.0,495386.0,495386.0,95.511,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00432888,0.885918,0.0,0.0,653849.0,653849.0,116.141,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00433709,0.891392,0.0,0.0,819242.0,819242.0,131.272,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00434437,0.896249,0.0,0.0,986552.0,986552.0,141.818,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00435085,0.900564,0.0,0.0,1154140.0,1154140.0,165.287,0.0
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,0.00435663,0.904422,0.0,0.0,1320820.0,1320820.0,191.379,0.0
