step,time,factor,applied,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,kind,scale,relax,limiter
23.0,0.00271464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
24.0,0.00281518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
25.0,0.00291572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
26.0,0.00301626,0.01084,407.0,1.71993,1.03538,1.71993,1.03538,0.408828,0.892796,1.92645,0.0,0.0,0.0,1.71993,1.17454,1.2523,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
27.0,0.0031168,0.0778673,407.0,12.5862,7.3257,12.5862,7.3257,0.376033,6.53337,1.92646,0.0,0.0,0.0,12.5862,7.87786,8.09428,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
28.0,0.00321734,0.144895,407.0,24.4323,13.4741,24.4323,13.4741,1.08612,12.6825,1.92646,0.0,0.0,0.0,24.4323,14.3842,13.6326,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
29.0,0.00331788,0.211922,407.0,42.2097,20.7357,42.2097,20.7357,3.08909,14.0343,1.92645,0.0,0.0,0.0,42.2097,25.2057,20.6925,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
30.0,0.00341842,0.278947,407.0,37.1636,21.9805,37.1636,21.9805,7.09836,19.2912,1.92645,0.0,0.0,0.0,37.1636,32.9894,35.7936,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
31.0,0.00351896,0.34597,407.0,81.488,38.0085,81.488,38.0085,8.36377,35.9347,1.92646,0.0,0.0,0.0,81.488,69.2266,54.4833,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
32.0,0.00361948,0.41299,407.0,208.902,60.0539,208.902,60.0539,15.1951,55.0308,1.92647,0.0,0.0,0.0,208.902,146.816,59.0903,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
