case,label,route,feedback,switch_time,code,excluded,dtmin_adjustments,frames,final_time,q_jump_at_switch,active_targets_pre_switch,active_targets_post_switch,post_switch_velocity_max,post_switch_divvel_maxabs,post_switch_porepressrate_maxabs,kplastic_max,velocity_max,divvel_maxabs,porepressrate_maxabs,porepress_min,negative_pressure_max_count,final_porepress_center_mean,final_porepress_mean,final_p_eff_compression_proxy_mean,final_q_proxy_mean,active_targets,fi_selected,lateral_fi_selected,cap_fi_selected,lateral_accel_mean,cap_accel_mean,cap_support_top_targets,cap_support_bottom_targets,feedback_used_max
CaseT4n_AllSurface_Reference_FeedbackOff,"all-surface reference, feedback off",all_surface_reference,off,,,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0
CaseT4n_StagedSwitch_FeedbackOff,"all-surface -> lateral, feedback off",staged_switch,off,0.003,,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0
CaseT4n_StagedSwitch_FeedbackDelayed,"all-surface -> lateral, delayed feedback",staged_switch,delayed,0.003,,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0
