case,case_name,code,excluded,dtmin_adjustments,mcc_stress_update_logged,gpu_deferred,part,time,specimen_count,platen_contamination,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max,Kplastic_max,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_mean,MccPlasticVolStrain_min,MccPlasticVolStrain_mean,MccPlasticVolStrain_max,MccEqPlasticStrain_mean,MccEqPlasticStrain_max,MccYieldFlag_count,MccYieldFlag_fraction,MccPlasticMultiplier_max,MccReturnIterations_mean,MccReturnIterations_max,MccYieldResidual_maxAbs,MccYieldResidual_converged_maxAbs,MccReturnFailure_count,MccTensionCutoff_count,MccLineSearchFailure_count,MccReturnConverged_count,MccReturnStatus_counts,pairwise_top_fz,pairwise_bottom_fz,pairwise_reaction_avg_abs,pairwise_reaction_avg_compression,reaction_axial_stress_avg,force_balance_error,pairwise_over_Fz_proxy,reaction_type
mcc_high_pc,CaseM3d_MCCHighPc_Extended,0,0,0,1,1,36,0.018097,407,0,0.0006314266000000124,395.9054204483719,1091.1275113544698,3.176123108637834,95552.39333608451,20774.49937608741,13685868.0,0.020663684,0.004700805556972946,0.0,100000.0,100000.0,100000.0,0.799623846044227,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81119608.0,0.0,0,0,0,0,0:407,3.16962,-3.50724,3.33843,3.33843,1180.73,0.0505647,1.0511022041056135,pairwise_fluid_bound_accumulator
mcc_mild_yield,CaseM3d_MCCMildYield_Extended,0,0,0,1,1,36,0.018096,407,0,0.0004923412500000557,47.26133310780508,60.577611276883275,0.24781437833696118,-225214.38188911168,124985.56449377477,63265952.0,0.095357433,0.005524232722650874,0.0025562742,117.68771,119.63033950859979,120.2084,0.8004928626289921,-0.0017280048,-0.0002750144962390663,0.00015424617,0.0007008079509599502,0.0025562742,397,0.9754299754299754,9.7414748e-08,9.233415233415233,26.0,4486.3047,6.4242093e-05,8,0,8,397,-3:8|0:2|1:397,0.296054,-0.276244,0.286149,0.286149,101.2047,0.0346152,1.1546908695140925,pairwise_fluid_bound_accumulator
