case,label,kind,time,part,particle_count,feedback_start,feedback_ramp_end,feedback_scale,feedback_factor,p0_eff_expected,axial_loading_active,velocity_max,porepress_mean,porepress_std,porepress_min,porepress_max,excess_mean,excess_std,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.0,0,407,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.000503,1,407,,,0.0,0.0,25.15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.000804,2,407,,,0.0,0.0,40.2,0,0.00029358904185751086,637.4760084523438,486.77005784953855,3.855482517023,1371.597981279,637.4760084523438,486.77005784953855,3566399.967764128,7596599.5,-0.0053496002764201476,0.011396894,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.001005,3,407,,,0.0,0.0,50.0,0,0.0004994836360911228,1811.1116563683365,1346.6643092856336,-2.696872165249,3823.52878181,1811.1116563683365,1346.6643092856336,6588174.011412776,13699167.0,-0.009882261635945947,0.020556396,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.001307,4,407,,,0.0,0.0,50.0,0,0.000720725804075976,4548.660902450636,3300.9079195533736,-114.0280808852,9424.731000056,4548.660902450636,3300.9079195533736,9999883.313562654,20334768.0,-0.014999825914668308,0.03052422,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.001508,5,407,,,0.0,0.0,50.0,0,0.0007569578627476182,6594.438004721356,3561.5346969298676,1127.418827244,11377.46379997,6594.438004721356,3561.5346969298676,10432841.484692873,21142338.0,-0.015649263356584765,0.03172113,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.00181,6,407,,,0.0,0.0,50.0,0,0.0006807382601048764,9419.875766981275,5527.878050890192,1297.142081855,17077.58838133,9419.875766981275,5527.878050890192,8532819.88918919,18490440.0,-0.012799230737837836,0.027784197,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.002011,7,407,,,0.0,0.0,50.0,0,0.0005936652307387171,10765.41685838191,6565.924172266614,1440.270785995,20078.02502015,10765.41685838191,6565.924172266614,6015233.347297297,15081348.0,-0.009022850915061425,0.022695931,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.002312,8,407,,,0.0,0.0,50.0,0,0.00046790334427891466,11653.402319051138,7560.771073891297,1401.872255579,22813.40217839,11653.402319051138,7560.771073891297,1350094.342855037,8761979.0,-0.0020251421296879606,0.013250421,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,feedback-off equilibration,0.002514,9,407,,,0.0,0.0,50.0,0,0.000529223065725015,11304.42143042797,5518.813302698296,3049.781786205,19425.54890317,11304.42143042797,5518.813302698296,-1763886.8124621622,7705735.0,0.0026458301964304666,0.011549418,0.0
