case,label,time,part,region,count,feedback_factor,porepress_mean,porepress_std,excess_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max,kplastic_max
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.0,0,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.0,0,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.0,0,full_no_caps_edges,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.0,0,lateral_shell,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.0,0,top_cap,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.0,0,bottom_cap,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000503,1,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000503,1,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000503,1,full_no_caps_edges,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000503,1,lateral_shell,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000503,1,top_cap,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000503,1,bottom_cap,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000804,2,all,407,0.0,637.4760084523438,486.77005784953855,637.4760084523438,3566399.967764128,7596599.5,-0.0053496002764201476,0.011396894,0.00029358904185751086,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000804,2,center_core,45,0.0,631.8933804573225,153.76161101623603,631.8933804573225,3671953.8400000003,4478321.0,-0.0055068945711111116,0.0067170323,2.1299806338622385e-05,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000804,2,full_no_caps_edges,147,0.0,704.1262591528584,183.54381900338456,704.1262591528584,3997454.5414965986,5691934.5,-0.005995631024489795,0.0085385451,3.102278100000052e-05,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000804,2,lateral_shell,196,0.0,1068.0100650337022,255.00001181642585,1068.0100650337022,5926935.636734693,7596599.5,-0.008891347995408163,0.011396894,0.00029358904185751086,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000804,2,top_cap,74,0.0,91.5559904089232,95.82703333973724,91.5559904089232,523074.6063513513,1686685.0,-0.0007837493377297296,0.0025297401,1.3623834446484261e-05,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.000804,2,bottom_cap,74,0.0,91.55599376153252,95.8270309272732,91.55599376153252,523074.6609459459,1686685.3,-0.0007837494177162161,0.0025297406,1.3623833386295595e-05,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.001005,3,all,407,0.0,1811.1116563683365,1346.6643092856336,1811.1116563683365,6588174.011412776,13699167.0,-0.009882261635945947,0.020556396,0.0004994836360911228,0.0
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,0.001005,3,center_core,45,0.0,1931.3974074957,393.413769844566,1931.3974074957,7422255.651111111,8802852.0,-0.011130102455555556,0.013203179,5.6148294085622775e-05,0.0
