case,label,feedback_start,feedback_ramp_end,feedback_scale,reversal_time_all,reversal_time_center_core,reversal_after_feedback_start
CaseT4e_ConfOnly_FeedbackOffExtended,feedback off,,,0.0,nan,nan,
CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback,0.003,0.0,1.0,0.004001,0.004001,1
CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp,0.003,0.0035,1.0,0.004253,0.004253,1
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003,0.0045,1.0,0.004503,0.004503,1
CaseT4e_ConfOnly_FeedbackDelayedLongRampScale025,long ramp scale 0.25,0.003,0.0045,0.25,0.005015,0.005015,1
