run,time_s,n,rmse_q0,relative_rmse_q0,mean_sim_excess
cpu,0.0,1000,9952.175353330955,1.0,0.0
cpu,0.001,1000,10154.073908392736,1.0202854054866726,5750.5699703857945
cpu,0.002,1000,42991.934559013134,4.319788208051767,32300.54622437039
cpu,0.005,1000,243503.41669189907,24.46069563911756,213936.42816538288
cpu,0.01,1000,182936.60509277362,18.90113588095481,183951.98145628112
cpu,0.02,1000,440096.41205961816,46.52621818447771,404032.46941392426
