case,bottom_rmse_q0_Pa,profile_rmse_q0_Pa,peak_excess_maxAbs_Pa,route
L3b mechanical top-load,272384.90554238076,440096.41205961816,589684.2742723,CPU surface-force prototype
L2 AccInput,220616.71431923972,47912.45556285427,624556.0838005,AccInput body acceleration
L3a initial-pressure gate,7287.235318394663,9128.622705131094,10000.0,initial pressure diffusion gate
