case,p0,frame_index,time,Tv_est,radius,radius_over_R,count,center_avg_PorePress,center_avg_ExcessPorePress,center_avg_ExcessPorePress_over_p0
slow_ramp,50.0,4,0.004022,0.010933061501868839,0.005,0.09999999999999999,1,134.0085135894,134.0085135894,2.680170271788
slow_ramp,50.0,4,0.004022,0.010933061501868839,0.0075,0.15,1,134.0085135894,134.0085135894,2.680170271788
slow_ramp,50.0,4,0.004022,0.010933061501868839,0.01,0.19999999999999998,1,134.0085135894,134.0085135894,2.680170271788
slow_ramp,50.0,4,0.004022,0.010933061501868839,0.02,0.39999999999999997,33,145.54664637154545,145.54664637154545,2.910932927430909
slow_ramp,50.0,5,0.005027,0.013664967720013589,0.005,0.09999999999999999,1,190.0869584904,190.0869584904,3.801739169808
slow_ramp,50.0,5,0.005027,0.013664967720013589,0.0075,0.15,1,190.0869584904,190.0869584904,3.801739169808
slow_ramp,50.0,5,0.005027,0.013664967720013589,0.01,0.19999999999999998,1,190.0869584904,190.0869584904,3.801739169808
slow_ramp,50.0,5,0.005027,0.013664967720013589,0.02,0.39999999999999997,33,192.80830282949697,192.80830282949697,3.8561660565899394
slow_ramp,50.0,6,0.006033,0.01639959225280326,0.005,0.09999999999999999,1,224.2619920211,224.2619920211,4.485239840422
slow_ramp,50.0,6,0.006033,0.01639959225280326,0.0075,0.15,1,224.2619920211,224.2619920211,4.485239840422
slow_ramp,50.0,6,0.006033,0.01639959225280326,0.01,0.19999999999999998,1,224.2619920211,224.2619920211,4.485239840422
slow_ramp,50.0,6,0.006033,0.01639959225280326,0.02,0.39999999999999997,33,219.87294296728484,219.87294296728484,4.397458859345697
slow_ramp,50.0,7,0.007038,0.01913149847094801,0.005,0.09999999999999999,1,183.1612718146,183.1612718146,3.6632254362920005
slow_ramp,50.0,7,0.007038,0.01913149847094801,0.0075,0.15,1,183.1612718146,183.1612718146,3.6632254362920005
slow_ramp,50.0,7,0.007038,0.01913149847094801,0.01,0.19999999999999998,1,183.1612718146,183.1612718146,3.6632254362920005
slow_ramp,50.0,7,0.007038,0.01913149847094801,0.02,0.39999999999999997,33,190.4604184556727,190.4604184556727,3.8092083691134544
slow_ramp,50.0,8,0.008043,0.021863404689092755,0.005,0.09999999999999999,1,164.7014255289,164.7014255289,3.294028510578
slow_ramp,50.0,8,0.008043,0.021863404689092755,0.0075,0.15,1,164.7014255289,164.7014255289,3.294028510578
slow_ramp,50.0,8,0.008043,0.021863404689092755,0.01,0.19999999999999998,1,164.7014255289,164.7014255289,3.294028510578
slow_ramp,50.0,8,0.008043,0.021863404689092755,0.02,0.39999999999999997,33,161.17679035554852,161.17679035554852,3.2235358071109705
slow_ramp,50.0,9,0.009049,0.024598029221882426,0.005,0.09999999999999999,1,163.7285997737,163.7285997737,3.274571995474
slow_ramp,50.0,9,0.009049,0.024598029221882426,0.0075,0.15,1,163.7285997737,163.7285997737,3.274571995474
slow_ramp,50.0,9,0.009049,0.024598029221882426,0.01,0.19999999999999998,1,163.7285997737,163.7285997737,3.274571995474
slow_ramp,50.0,9,0.009049,0.024598029221882426,0.02,0.39999999999999997,33,166.20871145114242,166.20871145114242,3.3241742290228484
slow_ramp,50.0,10,0.010054,0.027329935440027178,0.005,0.09999999999999999,1,153.2069371551,153.2069371551,3.064138743102
slow_ramp,50.0,10,0.010054,0.027329935440027178,0.0075,0.15,1,153.2069371551,153.2069371551,3.064138743102
slow_ramp,50.0,10,0.010054,0.027329935440027178,0.01,0.19999999999999998,1,153.2069371551,153.2069371551,3.064138743102
slow_ramp,50.0,10,0.010054,0.027329935440027178,0.02,0.39999999999999997,33,164.23523552166066,164.23523552166066,3.284704710433213
slow_ramp,50.0,11,0.011059,0.030061841658171926,0.005,0.09999999999999999,1,242.0694689425,242.0694689425,4.84138937885
slow_ramp,50.0,11,0.011059,0.030061841658171926,0.0075,0.15,1,242.0694689425,242.0694689425,4.84138937885
slow_ramp,50.0,11,0.011059,0.030061841658171926,0.01,0.19999999999999998,7,241.5729807900286,241.5729807900286,4.831459615800572
slow_ramp,50.0,11,0.011059,0.030061841658171926,0.02,0.39999999999999997,33,247.0921834061606,247.0921834061606,4.941843668123211
slow_ramp,50.0,12,0.012065,0.0327964661909616,0.005,0.09999999999999999,1,411.751150183,411.751150183,8.23502300366
slow_ramp,50.0,12,0.012065,0.0327964661909616,0.0075,0.15,1,411.751150183,411.751150183,8.23502300366
slow_ramp,50.0,12,0.012065,0.0327964661909616,0.01,0.19999999999999998,7,383.1100850714428,383.1100850714428,7.662201701428857
slow_ramp,50.0,12,0.012065,0.0327964661909616,0.02,0.39999999999999997,33,364.0314425552151,364.0314425552151,7.280628851104302
lower_p0,10.0,0,0.0,0.0,0.005,0.09999999999999999,1,0.0,0.0,0.0
lower_p0,10.0,0,0.0,0.0,0.0075,0.15,1,0.0,0.0,0.0
lower_p0,10.0,0,0.0,0.0,0.01,0.19999999999999998,7,0.0,0.0,0.0
lower_p0,10.0,0,0.0,0.0,0.02,0.39999999999999997,33,0.0,0.0,0.0
lower_p0,10.0,1,0.001005,0.0027319062181447498,0.005,0.09999999999999999,1,3.984863715327,3.984863715327,0.3984863715327
lower_p0,10.0,1,0.001005,0.0027319062181447498,0.0075,0.15,1,3.984863715327,3.984863715327,0.3984863715327
lower_p0,10.0,1,0.001005,0.0027319062181447498,0.01,0.19999999999999998,7,3.9492885964377145,3.9492885964377145,0.39492885964377145
lower_p0,10.0,1,0.001005,0.0027319062181447498,0.02,0.39999999999999997,33,4.483739201841849,4.483739201841849,0.44837392018418487
lower_p0,10.0,2,0.002011,0.0054665307509344195,0.005,0.09999999999999999,1,84.47732786484,84.47732786484,8.447732786484
lower_p0,10.0,2,0.002011,0.0054665307509344195,0.0075,0.15,1,84.47732786484,84.47732786484,8.447732786484
lower_p0,10.0,2,0.002011,0.0054665307509344195,0.01,0.19999999999999998,7,81.81215417100428,81.81215417100428,8.181215417100429
lower_p0,10.0,2,0.002011,0.0054665307509344195,0.02,0.39999999999999997,33,76.71933229131119,76.71933229131119,7.671933229131119
lower_p0,10.0,3,0.003016,0.00819843696907917,0.005,0.09999999999999999,1,18.39543724458,18.39543724458,1.8395437244579997
lower_p0,10.0,3,0.003016,0.00819843696907917,0.0075,0.15,1,18.39543724458,18.39543724458,1.8395437244579997
lower_p0,10.0,3,0.003016,0.00819843696907917,0.01,0.19999999999999998,1,18.39543724458,18.39543724458,1.8395437244579997
lower_p0,10.0,3,0.003016,0.00819843696907917,0.02,0.39999999999999997,33,37.81395377331787,37.81395377331787,3.781395377331787
lower_p0,10.0,4,0.004022,0.010933061501868839,0.005,0.09999999999999999,1,23.57514979995,23.57514979995,2.357514979995
lower_p0,10.0,4,0.004022,0.010933061501868839,0.0075,0.15,1,23.57514979995,23.57514979995,2.357514979995
lower_p0,10.0,4,0.004022,0.010933061501868839,0.01,0.19999999999999998,1,23.57514979995,23.57514979995,2.357514979995
lower_p0,10.0,4,0.004022,0.010933061501868839,0.02,0.39999999999999997,33,25.34833673792909,25.34833673792909,2.534833673792909
lower_p0,10.0,5,0.005027,0.013664967720013589,0.005,0.09999999999999999,1,69.55796047207,69.55796047207,6.9557960472069995
lower_p0,10.0,5,0.005027,0.013664967720013589,0.0075,0.15,1,69.55796047207,69.55796047207,6.9557960472069995
lower_p0,10.0,5,0.005027,0.013664967720013589,0.01,0.19999999999999998,7,61.257888713185714,61.257888713185714,6.125788871318571
lower_p0,10.0,5,0.005027,0.013664967720013589,0.02,0.39999999999999997,33,53.79716732899304,53.79716732899304,5.379716732899304
lower_p0,10.0,6,0.006033,0.01639959225280326,0.005,0.09999999999999999,1,30.3742207063,30.3742207063,3.03742207063
lower_p0,10.0,6,0.006033,0.01639959225280326,0.0075,0.15,1,30.3742207063,30.3742207063,3.03742207063
lower_p0,10.0,6,0.006033,0.01639959225280326,0.01,0.19999999999999998,7,29.561738079682858,29.561738079682858,2.9561738079682858
lower_p0,10.0,6,0.006033,0.01639959225280326,0.02,0.39999999999999997,33,29.230622916979396,29.230622916979396,2.9230622916979394
long_slow_ramp,50.0,0,0.0,0.0,0.005,0.09999999999999999,1,0.0,0.0,0.0
long_slow_ramp,50.0,0,0.0,0.0,0.0075,0.15,1,0.0,0.0,0.0
long_slow_ramp,50.0,0,0.0,0.0,0.01,0.19999999999999998,7,0.0,0.0,0.0
long_slow_ramp,50.0,0,0.0,0.0,0.02,0.39999999999999997,33,0.0,0.0,0.0
long_slow_ramp,50.0,1,0.005027,0.013664967720013589,0.005,0.09999999999999999,1,190.0869584904,190.0869584904,3.801739169808
long_slow_ramp,50.0,1,0.005027,0.013664967720013589,0.0075,0.15,1,190.0869584904,190.0869584904,3.801739169808
long_slow_ramp,50.0,1,0.005027,0.013664967720013589,0.01,0.19999999999999998,1,190.0869584904,190.0869584904,3.801739169808
long_slow_ramp,50.0,1,0.005027,0.013664967720013589,0.02,0.39999999999999997,33,192.80830282949697,192.80830282949697,3.8561660565899394
long_slow_ramp,50.0,2,0.010054,0.027329935440027178,0.005,0.09999999999999999,1,153.2069371551,153.2069371551,3.064138743102
long_slow_ramp,50.0,2,0.010054,0.027329935440027178,0.0075,0.15,1,153.2069371551,153.2069371551,3.064138743102
long_slow_ramp,50.0,2,0.010054,0.027329935440027178,0.01,0.19999999999999998,1,153.2069371551,153.2069371551,3.064138743102
long_slow_ramp,50.0,2,0.010054,0.027329935440027178,0.02,0.39999999999999997,33,164.23523552166066,164.23523552166066,3.284704710433213
long_slow_ramp,50.0,3,0.015079,0.040989466530750925,0.005,0.09999999999999999,1,-888.682015102,-888.682015102,-17.77364030204
long_slow_ramp,50.0,3,0.015079,0.040989466530750925,0.0075,0.15,1,-888.682015102,-888.682015102,-17.77364030204
long_slow_ramp,50.0,3,0.015079,0.040989466530750925,0.01,0.19999999999999998,1,-888.682015102,-888.682015102,-17.77364030204
long_slow_ramp,50.0,3,0.015079,0.040989466530750925,0.02,0.39999999999999997,27,-734.2004325127923,-734.2004325127923,-14.684008650255846
long_slow_ramp,50.0,4,0.020055,0.05451580020387358,0.005,0.09999999999999999,1,-1781.049237305,-1781.049237305,-35.6209847461
long_slow_ramp,50.0,4,0.020055,0.05451580020387358,0.0075,0.15,1,-1781.049237305,-1781.049237305,-35.6209847461
long_slow_ramp,50.0,4,0.020055,0.05451580020387358,0.01,0.19999999999999998,7,-2410.4473655611428,-2410.4473655611428,-48.20894731122286
long_slow_ramp,50.0,4,0.020055,0.05451580020387358,0.02,0.39999999999999997,27,-2746.045179617519,-2746.045179617519,-54.92090359235038
long_slow_ramp,50.0,5,0.025001,0.06796058443764863,0.005,0.09999999999999999,1,246137.0971057,246137.0971057,4922.741942114
long_slow_ramp,50.0,5,0.025001,0.06796058443764863,0.0075,0.15,1,246137.0971057,246137.0971057,4922.741942114
long_slow_ramp,50.0,5,0.025001,0.06796058443764863,0.01,0.19999999999999998,7,240271.8856485143,240271.8856485143,4805.437712970286
long_slow_ramp,50.0,5,0.025001,0.06796058443764863,0.02,0.39999999999999997,33,230676.8252845424,230676.8252845424,4613.536505690848
long_slow_ramp,50.0,6,0.030005,0.08156303092082906,0.005,0.09999999999999999,1,-233337.5988383,-233337.5988383,-4666.751976766001
long_slow_ramp,50.0,6,0.030005,0.08156303092082906,0.0075,0.15,1,-233337.5988383,-233337.5988383,-4666.751976766001
long_slow_ramp,50.0,6,0.030005,0.08156303092082906,0.01,0.19999999999999998,7,-238239.92034065718,-238239.92034065718,-4764.798406813144
long_slow_ramp,50.0,6,0.030005,0.08156303092082906,0.02,0.39999999999999997,27,-242788.45467508887,-242788.45467508887,-4855.769093501777
long_slow_ramp,50.0,7,0.035009,0.09516547740400949,0.005,0.09999999999999999,1,481495.513753,481495.513753,9629.91027506
long_slow_ramp,50.0,7,0.035009,0.09516547740400949,0.0075,0.15,1,481495.513753,481495.513753,9629.91027506
long_slow_ramp,50.0,7,0.035009,0.09516547740400949,0.01,0.19999999999999998,1,481495.513753,481495.513753,9629.91027506
long_slow_ramp,50.0,7,0.035009,0.09516547740400949,0.02,0.39999999999999997,49,275043.666574945,275043.666574945,5500.8733314988995
long_slow_ramp,50.0,8,0.040008,0.10875433231396531,0.005,0.09999999999999999,1,-171277.1388534,-171277.1388534,-3425.5427770680003
long_slow_ramp,50.0,8,0.040008,0.10875433231396531,0.0075,0.15,1,-171277.1388534,-171277.1388534,-3425.5427770680003
long_slow_ramp,50.0,8,0.040008,0.10875433231396531,0.01,0.19999999999999998,1,-171277.1388534,-171277.1388534,-3425.5427770680003
long_slow_ramp,50.0,8,0.040008,0.10875433231396531,0.02,0.39999999999999997,37,-172565.44745728106,-172565.44745728106,-3451.308949145621
long_slow_ramp,50.0,9,0.045012,0.12235677879714574,0.005,0.09999999999999999,1,-413625.2409178,-413625.2409178,-8272.504818356
long_slow_ramp,50.0,9,0.045012,0.12235677879714574,0.0075,0.15,9,-409376.45762216666,-409376.45762216666,-8187.529152443333
long_slow_ramp,50.0,9,0.045012,0.12235677879714574,0.01,0.19999999999999998,9,-409376.45762216666,-409376.45762216666,-8187.529152443333
long_slow_ramp,50.0,9,0.045012,0.12235677879714574,0.02,0.39999999999999997,21,-474362.09102169523,-474362.09102169523,-9487.241820433905
long_slow_ramp,50.0,10,0.050004,0.13592660550458713,0.005,0.09999999999999999,8,-325507.86645448755,-325507.86645448755,-6510.157329089751
long_slow_ramp,50.0,10,0.050004,0.13592660550458713,0.0075,0.15,8,-325507.86645448755,-325507.86645448755,-6510.157329089751
long_slow_ramp,50.0,10,0.050004,0.13592660550458713,0.01,0.19999999999999998,8,-325507.86645448755,-325507.86645448755,-6510.157329089751
long_slow_ramp,50.0,10,0.050004,0.13592660550458713,0.02,0.39999999999999997,8,-325507.86645448755,-325507.86645448755,-6510.157329089751
