DivVel_maxAbs,DivVel_rate_contribution_maxAbs_est,ExcessPorePress_max,ExcessPorePress_maxAbs,ExcessPorePress_mean,HydraulicElevationSource,Kplastic_maxAbs,LapPorePress_maxAbs,LapPorePress_rate_contribution_maxAbs_est,LapZ_maxAbs,LapZ_rate_contribution_maxAbs_est,PorePressRate_maxAbs,PorePress_max,PorePress_mean,Tv_est,case,case_name,center_ExcessPorePress,center_ExcessPorePress_over_p0,center_PorePress,center_PorePress_over_p0,center_avg_ExcessPorePress_over_p0_r0p10,center_avg_ExcessPorePress_over_p0_r0p15,center_avg_ExcessPorePress_over_p0_r0p20,center_avg_ExcessPorePress_over_p0_r0p40,center_avg_ExcessPorePress_r0p10,center_avg_ExcessPorePress_r0p15,center_avg_ExcessPorePress_r0p20,center_avg_ExcessPorePress_r0p40,center_avg_PorePress_r0p10,center_avg_PorePress_r0p15,center_avg_PorePress_r0p20,center_avg_PorePress_r0p40,center_avg_count_r0p10,center_avg_count_r0p15,center_avg_count_r0p20,center_avg_count_r0p40,center_radius,frame_file,frame_index,interior_ExcessPorePress_mean,p0,particle_count_csv,particle_count_vtk,ramp_end,surface_ExcessPorePress_maxAbs,surface_ExcessPorePress_mean,surface_radial_disp_mean,surface_radial_vel_mean,time,time_max_requested,vel_max,vel_mean
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,CaseCryer_PR_StrictSphere_C5b_Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7,33,0.0,PartFluid_0000.vtk,0,0.0,50.0,739,739,0.0005,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0
0.036288749,241924.99333333335,72.41925169658,72.41925169658,57.012751894978734,0,0.0,211767.31,1439.1254502208633,67.066093,0.0,240982.0,72.41925169658,57.012751894978734,0.0027319062181447498,baseline,CaseCryer_PR_StrictSphere_C5b_Baseline,19.92427216646,0.3984854433292,19.92427216646,0.3984854433292,0.3984854433292,0.3984854433292,0.39492742964597144,0.448372697945091,19.92427216646,19.92427216646,19.74637148229857,22.41863489725455,19.92427216646,19.92427216646,19.74637148229857,22.41863489725455,1,1,7,33,3.236732512796069e-14,PartFluid_0001.vtk,1,29.51460272165617,50.0,739,739,0.0005,68.28013067299,58.24604478952456,-1.9882857586450587e-07,-0.000737048683884386,0.001005,0.006,0.0008297962160209849,0.00051090077645703
0.036893371,245955.8066666667,422.3957344937,422.3957344937,295.52375816294176,0,0.0,955075.56,6490.489704383284,67.067497,0.0,241898.52,422.3957344937,295.52375816294176,0.0054665307509344195,baseline,CaseCryer_PR_StrictSphere_C5b_Baseline,422.3957344937,8.447914689874,422.3957344937,8.447914689874,8.447914689874,8.447914689874,8.181335727307143,7.672008429515394,422.3957344937,422.3957344937,409.06678636535713,383.6004214757697,422.3957344937,422.3957344937,409.06678636535713,383.6004214757697,1,1,7,33,1.332484578438783e-13,PartFluid_0002.vtk,2,357.984628362079,50.0,739,739,0.0005,291.2475663951,272.91165851196143,-1.0142596245992252e-06,-0.00047411125449076433,0.002011,0.006,0.0006010449142195289,0.0003808952272194111
0.041857418,279049.45333333337,265.0740092821,265.0740092821,228.93055550543255,0,0.0,1884864.3,12809.135575942919,67.067459,0.0,266240.31,265.0740092821,228.93055550543255,0.00819843696907917,baseline,CaseCryer_PR_StrictSphere_C5b_Baseline,91.98154840908,1.8396309681816,91.98154840908,1.8396309681816,1.8396309681816,1.8396309681816,1.8396309681816,3.7814635664827163,91.98154840908,91.98154840908,91.98154840908,189.07317832413582,91.98154840908,91.98154840908,91.98154840908,189.07317832413582,1,1,1,33,2.836359831150443e-13,PartFluid_0003.vtk,3,211.99884719625405,50.0,739,739,0.0005,265.0740092821,241.04912582624684,-7.894831953436542e-07,0.0006349947226612712,0.003016,0.006,0.000794995168689639,0.0004948106389189239
0.018924708,126164.72,193.5622775482,193.5622775482,139.59054791151743,0,0.0,614523.19,4176.168467550119,67.066833,0.0,125917.69,193.5622775482,139.59054791151743,0.010933061501868839,baseline,CaseCryer_PR_StrictSphere_C5b_Baseline,117.8660584774,2.357321169548,117.8660584774,2.357321169548,2.357321169548,2.357321169548,2.357321169548,2.534712261626425,117.8660584774,117.8660584774,117.8660584774,126.73561308132125,117.8660584774,117.8660584774,117.8660584774,126.73561308132125,1,1,1,33,4.397385524705471e-13,PartFluid_0004.vtk,4,131.80259383307157,50.0,739,739,0.0005,193.5622775482,146.1673380416338,-4.938647459951486e-07,-0.0001444544221779778,0.004022,0.006,0.00046006069169386655,0.000212970547677994
0.062961206,419741.3733333334,347.7661547925,347.7661547925,224.56422767824506,0,0.0,1186826.0,8065.416241930005,67.067207,0.0,411675.94,347.7661547925,224.56422767824506,0.013664967720013589,baseline,CaseCryer_PR_StrictSphere_C5b_Baseline,347.7661547925,6.95532309585,347.7661547925,6.95532309585,6.95532309585,6.95532309585,6.125485957512285,5.379637972177394,347.7661547925,347.7661547925,306.27429787561425,268.9818986088697,347.7661547925,347.7661547925,306.27429787561425,268.9818986088697,1,1,7,33,6.822192628332365e-13,PartFluid_0005.vtk,5,252.6657967443025,50.0,739,739,0.0005,241.4930905048,206.7122220057815,-7.852875219691792e-07,-0.00016200882677296058,0.005027,0.006,0.00048577167258011695,0.00021179644591205968
0.039422411,262816.0733333333,263.1535548317,263.1535548317,175.59957220678433,0,0.0,1023994.6,6958.848793747878,67.067085,0.0,264227.22,263.1535548317,175.59957220678433,0.01639687393815834,baseline,CaseCryer_PR_StrictSphere_C5b_Baseline,151.9095796819,3.038191593638,151.9095796819,3.038191593638,3.038191593638,3.038191593638,2.956717944422857,2.923405415367879,151.9095796819,151.9095796819,147.83589722114286,146.17027076839395,151.9095796819,151.9095796819,147.83589722114286,146.17027076839395,1,1,7,33,8.336769506001816e-13,PartFluid_0006.vtk,6,150.1558649733494,50.0,739,739,0.0005,263.1535548317,179.37367086967447,-6.24344566280607e-07,0.0003193716127026866,0.006032,0.006,0.001062548970569462,0.00038509992809052866
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_ramp,CaseCryer_PR_StrictSphere_C5b_SlowRamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7,33,0.0,PartFluid_0000.vtk,0,0.0,50.0,739,739,0.005,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0
0.0050969594,33979.72933333334,9.131657951881,9.131657951881,7.160678163928511,0,0.0,25455.17,172.98790349983014,67.065689,0.0,33866.934,9.131657951881,7.160678163928511,0.0027319062181447498,slow_ramp,CaseCryer_PR_StrictSphere_C5b_SlowRamp,2.221641438069,0.04443282876138,2.221641438069,0.04443282876138,0.04443282876138,0.04443282876138,0.04457390731780286,0.052293987681319994,2.221641438069,2.221641438069,2.228695365890143,2.6146993840659998,2.221641438069,2.221641438069,2.228695365890143,2.6146993840659998,1,1,7,33,1.812464870114816e-15,PartFluid_0001.vtk,1,3.5619962025314456,50.0,739,739,0.005,8.613531207585,7.341474277204903,-2.393268199461833e-08,-0.00010664312335433144,0.001005,0.012,0.00012048727808048727,7.258451536077201e-05
0.015830869,105539.12666666668,82.10633672236,82.10633672236,65.75360067131143,0,0.0,153905.72,1045.91043153245,67.066101,0.0,104493.21,82.10633672236,65.75360067131143,0.0054665307509344195,slow_ramp,CaseCryer_PR_StrictSphere_C5b_SlowRamp,82.10633672236,1.6421267344472,82.10633672236,1.6421267344472,1.6421267344472,1.6421267344472,1.5748763668953714,1.476756960947624,82.10633672236,82.10633672236,78.74381834476857,73.8378480473812,82.10633672236,82.10633672236,78.74381834476857,73.8378480473812,1,1,7,33,1.5394700056825864e-14,PartFluid_0002.vtk,2,70.40017178070627,50.0,739,739,0.005,67.42424539674,61.93024041475913,-2.261880267565201e-07,-0.0002466107453394934,0.002011,0.012,0.0002799929926907539,0.00019226066250906872
