case,diag_index,active,radius,thick,target,value,value_type,affected,skipped,rmin,rmax,boundary_residual_max
baseline,0,True,0.05,0.018,0.0,0.0,excess,592.0,0.0,0.0331662,0.0547723,0.0
slow_ramp,0,True,0.05,0.018,0.0,0.0,excess,592.0,0.0,0.0331662,0.0547723,0.0
lower_p0,0,True,0.05,0.018,0.0,0.0,excess,592.0,0.0,0.0331662,0.0547723,0.0
long_slow_ramp,0,True,0.05,0.018,0.0,0.0,excess,592.0,0.0,0.0331662,0.0547723,0.0
