nu,eta,peak_pressure,peak_Tv,initial_grid_pressure,final_grid_pressure,root_count
0.1,1.125,1.4727538027871288e+00,5.7934629026142083e-02,1.0201977986605117e+00,1.2198640046950606e-22,200
0.2,1.3333333333333335,1.3642511331623475e+00,5.2626198964669690e-02,1.0169998270834706e+00,1.1674514431194448e-26,200
0.3,1.7499999999999998,1.2490075822022977e+00,4.6001425033349176e-02,1.0129112389260855e+00,2.4122217238147740e-31,200
0.45,5.500000000000002,1.0627685075186060e+00,3.4479630600643622e-02,1.0040798937336937e+00,6.2257654495611846e-40,200
