nu,eta,root_index,xi,residual,scaled_residual
0.2,1.3333333333333335,10,3.1368070766264537e+01,9.6278540695493575e-13,3.0693166121977584e-14
0.2,1.3333333333333335,11,3.4514031244512879e+01,1.5916157281026244e-12,4.6115034109659089e-14
0.2,1.3333333333333335,12,3.7659259940357742e+01,4.5119463720766362e-12,1.1980974610817684e-13
0.2,1.3333333333333335,13,4.0803926770860969e+01,3.6024516703037079e-12,8.8286886959026319e-14
0.2,1.3333333333333335,14,4.3948152770415518e+01,3.9435121834685560e-12,8.9731011086382857e-14
0.2,1.3333333333333335,15,4.7092026506201620e+01,-9.4857455223973375e-12,2.0142997076475665e-13
0.2,1.3333333333333335,16,5.0235614289536628e+01,-8.6046725300548133e-12,1.7128630060062878e-13
0.2,1.3333333333333335,17,5.3378966758577178e+01,1.1134204669360770e-11,2.0858786419970094e-13
0.2,1.3333333333333335,18,5.6522123253595652e+01,-2.4584778657299466e-12,4.3495851256322908e-14
0.2,1.3333333333333335,19,5.9665114803227908e+01,1.0658141036401503e-13,1.7863270810005838e-15
0.2,1.3333333333333335,20,6.2807966210585761e+01,-1.1439738045737613e-12,1.8213832951351863e-14
0.2,1.3333333333333335,21,6.5950697540790884e+01,1.7905676941154525e-12,2.7150094856963834e-14
0.2,1.3333333333333335,22,6.9093325201252298e+01,-2.5835333872237243e-11,3.7391938797250106e-13
0.2,1.3333333333333335,23,7.2235862739145148e+01,2.5394797376065981e-11,3.5155387383911488e-13
0.2,1.3333333333333335,24,7.5378321438883148e+01,-2.0889956431346945e-11,2.7713480524084834e-13
0.2,1.3333333333333335,25,7.8520710775777985e+01,-1.8047785488306545e-11,2.2984745438491257e-13
0.2,1.3333333333333335,26,8.1663038764726934e+01,3.3452351999585517e-11,4.0963883423379329e-13
0.2,1.3333333333333335,27,8.4805312231222103e+01,2.4755308913881890e-11,2.9190752633961410e-13
0.2,1.3333333333333335,28,8.7947537024153007e+01,1.2846612662542611e-11,1.4607131816565453e-13
0.2,1.3333333333333335,29,9.1089718184487396e+01,5.5550231081724633e-11,6.0984084909762051e-13
0.2,1.3333333333333335,30,9.4231860080149090e+01,3.8539837987627834e-11,4.0898946444261994e-13
