nu,eta,Tv,normalized_center_pressure,root_count,formula
0.1,1.125,2.9002630903514761e-02,1.3760024871728409e+00,200,paper_eq_46_47
0.1,1.125,2.9565460042548165e-02,1.3797074663115780e+00,200,paper_eq_46_47
0.1,1.125,3.0139211523102893e-02,1.3834220638552668e+00,200,paper_eq_46_47
0.1,1.125,3.0724097305676427e-02,1.3871429557236390e+00,200,paper_eq_46_47
0.1,1.125,3.1320333464101520e-02,1.3908665096891659e+00,200,paper_eq_46_47
0.1,1.125,3.1928140265370157e-02,1.3945887744387613e+00,200,paper_eq_46_47
0.1,1.125,3.2547742251006512e-02,1.3983054698346922e+00,200,paper_eq_46_47
0.1,1.125,3.3179368320019276e-02,1.4020119785351157e+00,200,paper_eq_46_47
0.1,1.125,3.3823251813463504e-02,1.4057033391286931e+00,200,paper_eq_46_47
0.1,1.125,3.4479630600643622e-02,1.4093742409295136e+00,200,paper_eq_46_47
0.1,1.125,3.5148747166989278e-02,1.4130190205682569e+00,200,paper_eq_46_47
0.1,1.125,3.5830848703636488e-02,1.4166316605031215e+00,200,paper_eq_46_47
0.1,1.125,3.6526187198747291e-02,1.4202057895598286e+00,200,paper_eq_46_47
0.1,1.125,3.7235019530601446e-02,1.4237346855939790e+00,200,paper_eq_46_47
0.1,1.125,3.7957607562494812e-02,1.4272112803515640e+00,200,paper_eq_46_47
0.1,1.125,3.8694218239479217e-02,1.4306281665845499e+00,200,paper_eq_46_47
0.1,1.125,3.9445123686979756e-02,1.4339776074586297e+00,200,paper_eq_46_47
0.1,1.125,4.0210601311325846e-02,1.4372515482694934e+00,200,paper_eq_46_47
