cv_scale,relative_rmse,note
1.0,0.07593539190603465,nominal
1.1175,0.019844599751145046,full-window best
1.155,0.031224862673630827,A2 0.01-1.0 s best
1.1975,0.05398673910418955,A2 0.002-0.5 s best
