reference,cv_scale,bottom_relative_rmse,bottom_rmse
nominal analytical,1.0,0.07593526163578046,550.1705609416813
calibrated effective analytical,1.1175,0.019844489740040088,135.56251445973516
improvement,,73.8665682944201,414.60804648194613
