adami,adami_fallback,adami_max_abs_excess,adami_mean_abs_excess,adami_samples,avg,case,configured_dp,kind,mkbound,mode,pairs,resolution,selected,targets,tol,value,value_type
True,0.0,0.0,0.0,235812.0,328.53,coarse_compression,0.01,compression,0.0,4,194490.0,coarse,2418.0,592.0,0.1,0.0,excess
True,0.0,0.0,0.0,349252.0,327.844,finer_compression,0.008,compression,0.0,4,315386.0,finer,3794.0,962.0,0.1,0.0,excess
True,0.0,1000.0,1000.0,235812.0,328.53,coarse_diffusion,0.01,diffusion,0.0,4,194490.0,coarse,2418.0,592.0,0.1,0.0,excess
True,0.0,1000.0,1000.0,349252.0,327.844,finer_diffusion,0.008,diffusion,0.0,4,315386.0,finer,3794.0,962.0,0.1,0.0,excess
True,0.0,0.0,0.0,671760.0,307.208,higher_compression,0.0065,compression,0.0,4,650052.0,higher,5802.0,2116.0,0.1,0.0,excess
True,0.0,1000.0,1000.0,671760.0,307.208,higher_diffusion,0.0065,diffusion,0.0,4,650052.0,higher,5802.0,2116.0,0.1,0.0,excess
