averaging_radius,averaging_radius_over_R,case,case_name,center_count,center_excess,center_excess_over_p0,configured_dp,frame_index,kind,resolution,time
0.005000000000000001,0.10000000000000002,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,114.9434510426,2.298869020852,0.008,3,compression,finer,0.003056
0.0075,0.15,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,114.9434510426,2.298869020852,0.008,3,compression,finer,0.003056
0.010000000000000002,0.20000000000000004,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,7,94.04235064669858,1.8808470129339716,0.008,3,compression,finer,0.003056
0.015,0.3,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,27,77.30302394892963,1.5460604789785928,0.008,3,compression,finer,0.003056
0.020000000000000004,0.4000000000000001,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,81,65.21008072354975,1.304201614470995,0.008,3,compression,finer,0.003056
nearest,nearest,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,114.9434510426,2.298869020852,0.008,3,compression,finer,0.003056
0.005000000000000001,0.10000000000000002,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,176.1009331492,3.522018662984,0.008,4,compression,finer,0.004022
0.0075,0.15,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,176.1009331492,3.522018662984,0.008,4,compression,finer,0.004022
0.010000000000000002,0.20000000000000004,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,7,163.73242635379998,3.2746485270759997,0.008,4,compression,finer,0.004022
0.015,0.3,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,27,146.95765506273327,2.9391531012546652,0.008,4,compression,finer,0.004022
0.020000000000000004,0.4000000000000001,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,81,123.86763621536181,2.477352724307236,0.008,4,compression,finer,0.004022
nearest,nearest,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,176.1009331492,3.522018662984,0.008,4,compression,finer,0.004022
0.005000000000000001,0.10000000000000002,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,17.58321249933,0.3516642499866,0.008,5,compression,finer,0.005067
0.0075,0.15,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,17.58321249933,0.3516642499866,0.008,5,compression,finer,0.005067
0.010000000000000002,0.20000000000000004,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,7,72.85635902294142,1.4571271804588284,0.008,5,compression,finer,0.005067
0.015,0.3,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,27,116.20749117250708,2.3241498234501416,0.008,5,compression,finer,0.005067
0.020000000000000004,0.4000000000000001,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,81,144.505616905453,2.89011233810906,0.008,5,compression,finer,0.005067
nearest,nearest,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,17.58321249933,0.3516642499866,0.008,5,compression,finer,0.005067
0.005000000000000001,0.10000000000000002,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,-72.94800512908,-1.4589601025816001,0.008,6,compression,finer,0.006032
0.0075,0.15,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,-72.94800512908,-1.4589601025816001,0.008,6,compression,finer,0.006032
0.010000000000000002,0.20000000000000004,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,7,-63.914141367234286,-1.2782828273446858,0.008,6,compression,finer,0.006032
0.015,0.3,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,27,-52.645105644256304,-1.0529021128851261,0.008,6,compression,finer,0.006032
0.020000000000000004,0.4000000000000001,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,81,-36.97985218419567,-0.7395970436839134,0.008,6,compression,finer,0.006032
nearest,nearest,finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,-72.94800512908,-1.4589601025816001,0.008,6,compression,finer,0.006032
0.005000000000000001,0.10000000000000002,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,1000.0,nan,0.01,0,diffusion,coarse,0.0
0.0075,0.15,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,1000.0,nan,0.01,0,diffusion,coarse,0.0
0.010000000000000002,0.20000000000000004,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,7,1000.0,nan,0.01,0,diffusion,coarse,0.0
0.015,0.3,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,19,1000.0,nan,0.01,0,diffusion,coarse,0.0
0.020000000000000004,0.4000000000000001,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,33,1000.0,nan,0.01,0,diffusion,coarse,0.0
nearest,nearest,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,1000.0,nan,0.01,0,diffusion,coarse,0.0
0.005000000000000001,0.10000000000000002,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,933.733269409,nan,0.01,1,diffusion,coarse,0.001005
