case,time,center_pressure,fv_center_pressure,volume_mean_pressure,fv_volume_mean_pressure,surface_shell_mean,fv_surface_shell_mean,surface_shell_p95_abs,surface_shell_maxAbs,porepressrate_maxAbs,kplastic_maxAbs,apparent_flux_integral,fv_boundary_flux_integral,flux_ratio
mode5_mls_dp008,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,0.0,0.0,61.49710526475637,4099.121912940717,0.015002507017567146
mode5_mls_dp008,0.001046,870.996126240441,1000.000000000005,877.1464428398787,828.037624637884,876.5378064350101,234.15858062975508,880.8047022708,880.8047060412,289962.84,0.0,66.95431615019436,40.911894663194644,1.6365488985878751
mode5_mls_dp008,0.002011,827.3912151504596,1000.0000000000043,744.4698153955902,766.125419923174,718.9060251710462,164.95110391894238,723.7304524988449,723.7304549384,329589.63,0.0,64.26809597288025,28.31435651466818,2.269805988336211
mode5_mls_dp008,0.003056,707.703974709869,999.9999999988919,632.8900780336119,716.3947810655859,632.2423323631175,129.9872895860561,650.5422513411951,650.5422663008,119368.93,0.0,31.56430067460378,22.16214126966638,1.4242441779669666
mode5_mls_dp008,0.004022,717.7308710111074,999.9999987093851,616.171953454734,678.8508182714902,588.8791223903962,110.44351320770033,601.31398042447,605.2944249647,215689.88,0.0,40.73250461121018,18.770138847466768,2.1700694354057735
mode5_mls_dp008,0.005067,558.1499234775938,999.9998729457853,466.49994403327383,644.0416604930647,423.2308533235949,95.85859699621113,498.45202490342,537.1962667096,442430.75,0.0,67.00964149720417,16.257156810968123,4.121854902204988
mode5_mls_dp008,0.006032,446.0886076632174,999.9978840064646,356.58792060308025,615.7272911806482,311.1211996629857,85.86715131759048,340.558878915365,346.6632854173,379567.16,0.0,59.63709936951391,14.543623870330425,4.100566674525734
mode5_mls_dp010,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,0.0,0.0,44.00097508121144,4099.121912940717,0.010734244068785226
mode5_mls_dp010,0.001005,931.8050279197038,1000.0000000000048,915.5441494184404,831.2765899866567,911.5468785033779,239.02867885299847,912.2815338948,912.281536644,230176.86,0.0,44.965192514577886,41.82437749194429,1.0750953202648035
mode5_mls_dp010,0.002011,905.286792365163,1000.0000000000043,827.297282279212,766.125419923174,818.1941461894659,164.95110391894238,820.010045558445,820.0100475328,140179.09,0.0,48.6632733542017,28.31435651466818,1.7186784142168943
mode5_mls_dp010,0.003016,746.9989818389263,999.9999999992508,728.6522310557306,718.0944968392885,707.1894779630787,130.98913455236607,711.9407590394751,712.6426949083,195669.33,0.0,51.30671999349227,22.33685316422298,2.2969538106500353
mode5_mls_dp010,0.004022,713.6509958090778,999.9999987093851,630.2425045608693,678.8508182714902,628.1411395657238,110.44351320770033,644.6086988373,644.6087083318,190251.09,0.0,17.0341366742794,18.770138847466768,0.9075125555919017
mode5_mls_dp010,0.005027,780.5594958548558,999.9998895685092,663.0982458627259,645.2867233282645,620.3093681644707,96.33296215423482,628.1744706271697,638.1006328775,339238.69,0.0,20.741564316201263,16.338665295316975,1.2694772762219602
mode5_mls_dp010,0.006032,579.185883811774,999.9978840064646,550.619430141098,615.7272911806482,557.7654909557755,85.86715131759048,579.4947395766451,579.4947885922,347640.94,0.0,58.600766360787155,14.543623870330425,4.029309811864364
