case,code,excluded,runout_exists,steps,runtime_sec,label,case_name,resolution,dp,mode,configured_dp,frames,final_time,final_center_pressure,fv_final_center_pressure,final_volume_mean_pressure,fv_final_volume_mean_pressure,final_surface_shell_mean,fv_final_surface_shell_mean,final_surface_shell_p95_abs,center_pressure_rmse,volume_mean_pressure_rmse,surface_shell_pressure_rmse,median_flux_ratio,final_flux_ratio,flux_reversal,negative_pressure,final_porepressrate_maxAbs,final_kplastic_maxAbs,mode4_volume_rmse_same_dp,mode4_surface_rmse_same_dp,mode4_center_rmse_same_dp,mode4_median_flux_ratio_same_dp,gate_volume_improved_vs_mode4,gate_surface_improved_vs_mode4,gate_center_improved_vs_mode4,gate_flux_closer_to_one_vs_mode4,pressure_only_gate_pass
mode5_mls_dp008,0,0,True,71,6.770473,mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,5,0.008,7,0.006032,446.0886076632174,999.9978840064646,356.58792060308025,615.7272911806482,311.1211996629857,85.86715131759048,340.558878915365,344.86603272567083,136.9042190868333,475.84834158995454,2.219937711870992,4.100566674525734,False,False,379567.16,0.0,167.66627257984058,410.7060801774249,381.5184905761095,2.2640647532253966,True,False,True,True,False
mode5_mls_dp010,0,0,True,56,2.596075,mode5_mls_dp010,CaseCryer_PR_StrictSphere_C5j_CoarseDiffusionMLS,coarse,0.01,5,0.01,7,0.006032,579.185883811774,999.9978840064646,550.619430141098,615.7272911806482,557.7654909557755,85.86715131759048,579.4947395766451,253.26640732330785,54.57950795920178,573.9140740313935,1.4940778452194272,4.029309811864364,False,False,347640.94,0.0,74.78969200679691,525.6667126641632,292.17187336911525,1.6314291685363869,True,False,True,True,False
