case,time,apparent_flux_integral,fv_boundary_flux_integral,flux_ratio
mode5_mls_dp008,0.0,61.49710526475637,4099.121912940717,0.015002507017567146
mode5_mls_dp008,0.001046,66.95431615019436,40.911894663194644,1.6365488985878751
mode5_mls_dp008,0.002011,64.26809597288025,28.31435651466818,2.269805988336211
mode5_mls_dp008,0.003056,31.56430067460378,22.16214126966638,1.4242441779669666
mode5_mls_dp008,0.004022,40.73250461121018,18.770138847466768,2.1700694354057735
mode5_mls_dp008,0.005067,67.00964149720417,16.257156810968123,4.121854902204988
mode5_mls_dp008,0.006032,59.63709936951391,14.543623870330425,4.100566674525734
mode5_mls_dp010,0.0,44.00097508121144,4099.121912940717,0.010734244068785226
mode5_mls_dp010,0.001005,44.965192514577886,41.82437749194429,1.0750953202648035
mode5_mls_dp010,0.002011,48.6632733542017,28.31435651466818,1.7186784142168943
mode5_mls_dp010,0.003016,51.30671999349227,22.33685316422298,2.2969538106500353
mode5_mls_dp010,0.004022,17.0341366742794,18.770138847466768,0.9075125555919017
mode5_mls_dp010,0.005027,20.741564316201263,16.338665295316975,1.2694772762219602
mode5_mls_dp010,0.006032,58.600766360787155,14.543623870330425,4.029309811864364
