case,case_name,center_avg_count_r0p20,center_avg_count_r0p40,center_avg_excess_over_p0_r0p20,center_avg_excess_over_p0_r0p40,center_avg_excess_r0p20,center_avg_excess_r0p40,com_drift,div_rate_contrib_maxAbs_est,excess_maxAbs,excess_mean,frame_index,kind,kplastic_maxAbs,lap_maxAbs,lap_rate_contrib_maxAbs_est,lapz_maxAbs,lapz_rate_contrib_maxAbs_est,mode,p0,particle_count,particle_count_vtk,porepressrate_maxAbs,surface_lap_maxAbs,surface_lap_rate_contrib_maxAbs_est,surface_porepressrate_maxAbs,time,vel_max,vel_mean
diffusion_quadrature,CaseCryer_PR_StrictSphere_C5d_DiffusionQuadrature,1,27,nan,nan,960.7380932888,960.7157877763334,9.235648384318925e-17,24803.931333333334,963.1317604017,959.8607281778204,2,diffusion,0.0,2576597.5,17510.006795786616,71.51503,0.0,3,0.0,739,739,31006.594,2576597.5,17510.006795786616,31006.594,0.002011,5.6819181795628945e-05,2.8608683554946283e-05
diffusion_quadrature,CaseCryer_PR_StrictSphere_C5d_DiffusionQuadrature,1,27,nan,nan,961.3941961713,962.6523256266667,1.9755064620095194e-16,8842.908,962.7793550179,951.1236440056714,3,diffusion,0.0,2457074.3,16697.752633367316,71.515007,0.0,3,0.0,739,739,20767.281,2457074.3,16697.752633367316,20767.281,0.003016,4.137566274243478e-05,1.886826569504453e-05
diffusion_quadrature,CaseCryer_PR_StrictSphere_C5d_DiffusionQuadrature,1,27,nan,nan,948.8691814648,948.2257079562186,6.080619630207974e-16,17782.214000000004,949.1241466521,939.0856408126813,4,diffusion,0.0,2452730.0,16668.2296975875,71.515137,0.0,3,0.0,739,739,18101.893,2452730.0,16668.2296975875,15107.755,0.004022,5.709706965717513e-05,1.560045867550792e-05
diffusion_quadrature,CaseCryer_PR_StrictSphere_C5d_DiffusionQuadrature,1,27,nan,nan,936.6481399543,949.4266180039108,1.2398801035172712e-15,27852.338000000003,953.6589009761,937.3357323774275,5,diffusion,0.0,2482812.8,16872.665987088007,71.515114,0.0,3,0.0,739,739,24617.723,2482812.8,16872.665987088007,24617.723,0.005027,0.00011932927510558252,3.520764104422069e-05
diffusion_quadrature,CaseCryer_PR_StrictSphere_C5d_DiffusionQuadrature,1,33,nan,nan,947.0182185899,946.8274792533608,1.755699111239652e-15,35070.193333333336,947.2779651937,935.7102985642521,6,diffusion,0.0,2614260.5,17765.956506965686,71.51506,0.0,3,0.0,739,739,34701.863,2614260.5,17765.956506965686,34701.863,0.006033,0.0001911134895635788,5.419355492159314e-05
diffusion_clamp,CaseCryer_PR_StrictSphere_C5d_DiffusionClamp,7,33,nan,nan,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0,diffusion,0.0,0.0,0.0,0.0,0.0,2,0.0,739,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diffusion_clamp,CaseCryer_PR_StrictSphere_C5d_DiffusionClamp,1,27,nan,nan,-13.08369435914,-84.7128740859026,6.451312064240314e-16,3166462.2,510.602065459,45.67724036243031,1,diffusion,0.0,9459763.0,64286.530750934435,67.068237,0.0,2,0.0,739,739,3152387.3,989462.13,6724.173496432213,359602.47,0.001005,0.00582242360405883,0.0027117824206792794
diffusion_clamp,CaseCryer_PR_StrictSphere_C5d_DiffusionClamp,7,33,nan,nan,1378.175720958143,1053.5039696882668,4.4050825133904395e-15,2460470.4,1573.591854516,75.62538720022748,2,diffusion,0.0,14730196.0,100103.26877336054,67.065506,0.0,2,0.0,739,739,2433433.5,116781.22,793.6202514441048,851604.44,0.002011,0.004505512577089851,0.002182270819076727
diffusion_clamp,CaseCryer_PR_StrictSphere_C5d_DiffusionClamp,1,27,nan,nan,-2007.225861227,-978.6428449904591,1.2099457465164915e-14,2315511.9333333336,2007.225861227,23.78191419340736,3,diffusion,0.0,31016260.0,210779.88447162762,67.066139,0.0,2,0.0,739,739,2526291.8,897155.25,6096.875637104996,736578.25,0.003016,0.005712871631117526,0.0014125353220841813
diffusion_clamp,CaseCryer_PR_StrictSphere_C5d_DiffusionClamp,7,33,nan,nan,2041.0551205327142,1243.6870193646091,2.9338078284173374e-14,6160693.533333333,2654.256877815,46.17622183304676,4,diffusion,0.0,39271160.0,266878.423377506,67.068985,0.0,2,0.0,739,739,6427571.5,284200.09,1931.363166836562,274025.03,0.004021,0.009488186781736687,0.0012792889673449125
diffusion_clamp,CaseCryer_PR_StrictSphere_C5d_DiffusionClamp,1,27,nan,nan,-1600.047488953,-188.30739144585186,1.4282010645287002e-11,7823041.333333333,1600.047488953,89.48902991563841,5,diffusion,0.0,39950588.0,271495.671083928,67.064987,0.0,2,0.0,739,739,8094537.0,846665.44,5753.757662249406,940572.31,0.005026,0.009643087043650739,0.0024731294759830196
diffusion_clamp,CaseCryer_PR_StrictSphere_C5d_DiffusionClamp,1,33,nan,nan,403.7007100679,-380.7209218540292,6.574695598272608e-14,7245482.0,682.6372832385,-90.38869357364419,6,diffusion,0.0,21775808.0,147983.7444784234,67.067566,0.0,2,0.0,739,739,7393465.5,566473.38,3849.632212028543,859056.69,0.006031,0.007364403467116991,0.0021359413656702048
