case,case_name,clamp_events,code,curved_mode,excluded,final_center_excess,final_center_excess_over_p0,final_com_drift,final_kplastic_maxAbs,final_surface_excess_maxAbs_r085,final_surface_excess_p95Abs_r085,final_surface_lap_rate_contrib_maxAbs_est,final_velocity_max,frames,kind,p0,particle_count_final,peak_center_excess,peak_center_excess_over_p0,peak_time,quadrature_average_samples,quadrature_boundary_samples,quadrature_events,quadrature_material_targets,runtime_sec,steps
old_ghost,CaseCryer_PR_StrictSphere_C5d_OldGhost,0,0,0,0,146.17027076839395,2.923405415367879,3.5109762763845905e-14,0.0,263.1535548317,218.47285880327001,6958.848793747878,0.001062548970569462,7,compression,50.0,739,383.6004214757697,7.672008429515394,0.002011,,,0,,1.928472,56
strong_ghost,CaseCryer_PR_StrictSphere_C5d_StrongGhost,0,0,1,0,140.93878399592126,2.818775679918425,1.2774300751895963e-14,0.0,258.2882830713,212.58270496641,8448.568127760791,0.0010778174043065349,7,compression,50.0,739,383.143736335703,7.66287472671406,0.002011,,,0,,2.068794,56
quadrature,CaseCryer_PR_StrictSphere_C5d_Quadrature,0,0,3,0,139.77537532735758,2.7955075065471515,1.5175265679413178e-14,0.0,252.3946864936,208.89952803751,8881.57866123004,0.0010476373855342813,7,compression,50.0,739,382.8454302141243,7.656908604282486,0.002011,5.0,2960.0,1,592.0,2.02764,56
surface_clamp,CaseCryer_PR_StrictSphere_C5d_SurfaceClamp,0,0,2,0,78.53752815947756,1.5707505631895513,1.2649401667498743e-14,0.0,0.0,0.0,858.3058103975537,0.00041139271343129327,7,compression,50.0,739,110.89635513881365,2.217927102776273,0.002011,,,0,,2.004871,56
diffusion_old,CaseCryer_PR_StrictSphere_C5d_DiffusionOld,0,0,0,0,968.6536457230882,nan,6.40694321052831e-16,0.0,970.4296801519,967.2835690777249,6137.785864763848,4.7253556037983774e-05,7,diffusion,0.0,739,1000.0,nan,0.0,,,0,,2.023631,56
diffusion_strong,CaseCryer_PR_StrictSphere_C5d_DiffusionStrong,0,0,1,0,938.4006372096516,nan,1.089275046367192e-15,0.0,941.9654328712,935.821273595855,11930.441726129802,9.31861664709917e-05,7,diffusion,0.0,739,1000.0,nan,0.0,,,0,,1.943745,56
diffusion_quadrature,CaseCryer_PR_StrictSphere_C5d_DiffusionQuadrature,0,0,3,0,946.8274792533608,nan,1.755699111239652e-15,0.0,946.3482292308,946.34820102708,17765.956506965686,0.0001911134895635788,7,diffusion,0.0,739,1000.0,nan,0.0,5.0,2960.0,1,592.0,1.997754,56
diffusion_clamp,CaseCryer_PR_StrictSphere_C5d_DiffusionClamp,0,0,2,0,-380.7209218540292,nan,6.574695598272608e-14,0.0,0.0,0.0,3849.632212028543,0.007364403467116991,7,diffusion,0.0,739,1243.6870193646091,nan,0.004021,,,0,,1.985706,56
