case,code,excluded,steps,runtime_s,dt_pore,part1_time,frame,particles,material,DeltaDiff_max,DeltaDiff_maxAbs,DeltaDiff_mean,DeltaDiff_min,DeltaMinusRateDt_max,DeltaMinusRateDt_maxAbs,DeltaMinusRateDt_mean,DeltaMinusRateDt_min,DeltaPorePress_max,DeltaPorePress_maxAbs,DeltaPorePress_mean,DeltaPorePress_min,DivVel_max,DivVel_maxAbs,DivVel_mean,DivVel_min,ExcessPorePress_max,ExcessPorePress_maxAbs,ExcessPorePress_mean,ExcessPorePress_min,LapPorePress_max,LapPorePress_maxAbs,LapPorePress_mean,LapPorePress_min,LapZ_max,LapZ_maxAbs,LapZ_mean,LapZ_min,PorePressRate_max,PorePressRate_maxAbs,PorePressRate_mean,PorePressRate_min,PorePress_max,PorePress_maxAbs,PorePress_mean,PorePress_min
gpu_hydrostatic,0,0,1,0.055620,4.76766e-07,0.000000,PartCsv_0001,1040,1000,,,,,4.6998934563e-06,4.9118111049e-06,3.4766123386e-09,-4.9118111049e-06,7.72400017013e-06,8.3260001702e-06,8.32773827412e-07,-8.3260001702e-06,0,0,0,0,7.72422208684e-06,8.32632031234e-06,8.32758286343e-07,-8.32632031234e-06,725604.25,725604.25,-0.0002139405997,-725604.19,73.965759,73.965759,2.62285851748e-06,-73.965759,8.21733,8.21733,1.73942188636,-7.5996385,9760.95041901,9760.95041901,4905.00021064,49.0500029707
gpu_analytical_excess,0,0,1,0.063773,4.76766e-07,0.000000,PartCsv_0001,1040,1000,,,,,1.11356681464,1.11356681464,4.89004623461e-09,-0.630691382233,7.60220618424,7.60220618424,8.30217761767e-07,-0.324633473,0,0,0,0,999.549498014,999.549498014,630.200685821,7.60219760245,925870.81,925870.81,-0.000151300003985,-525337.62,73.965759,73.965759,2.62285851748e-06,-73.965759,13609694,13609694,1.73109600011,-680684.94,9768.55261798,9768.55261798,5535.20089563,56.652204945
cpu_hydrostatic_reference,0,0,1,0.094162,4.76766e-07,0.000000,PartCsv_0001,1040,1000,,,,,1.8992752577e-10,8.10898058981e-10,-2.35537359069e-12,-8.10898058981e-10,6.6800021159e-07,1.32619993565e-06,-8.82090037635e-08,-1.32619993565e-06,0,0,0,0,6.67811150379e-07,1.32614900394e-06,-8.82066132135e-08,-1.32614900394e-06,725604.25,725604.25,-1.8859282136e-11,-725604.25,73.965767,73.965767,-2.79338001604e-07,-73.965767,1.4007105,2.7815514,-0.1850103581,-2.7815514,9760.95041752,9760.95041752,4905.00020972,49.0500020981
cpu_analytical_excess_reference,0,0,1,0.094229,4.76766e-07,0.000000,PartCsv_0001,1040,1000,,,,,1.43435308075e-08,2.75631246716e-07,1.88175371466e-10,-2.75631246716e-07,7.60220237011,7.60220237011,-8.1829879619e-08,-0.324633533,0,0,0,0,999.54949414,999.54949414,630.200684909,7.60220141658,960240.13,960240.13,1.44000746077e-05,-490968.38,73.965767,73.965767,-2.79338001604e-07,-73.965767,15945354,15945354,-0.172029998835,-680907.5,9768.55261894,9768.55261894,5535.20089472,56.6522044682
compare_hydrostatic_gpu_minus_cpu_delta,,,,,,,,1000,1000,8.66200025484e-06,8.99400038179e-06,9.20982831175e-07,-8.99400038179e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_analytical_excess_gpu_minus_cpu_delta,,,,,,,,1000,1000,7.81080007073e-06,7.85199995335e-06,9.12047641386e-07,-7.85199995335e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
