dp_label,dp,field,r_over_R,exact_laplacian,material_laplacian,mode8_exact_boundary_laplacian,mode8_zero_boundary_laplacian
dp=0.010,0.01,constant,0.6928203230275499,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.6928203230275531,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.6928203230275531,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.7211102550927946,0.0,0.0,-6.561392167137345e-13,-6199.174761247537
dp=0.010,0.01,constant,0.7211102550927946,0.0,0.0,1.7667865849635498e-12,-6199.188851670857
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,-3.7324741819410603e-13,-6199.135651018863
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,1.5855547103765757e-13,-6199.208006477678
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,2.2879331867702176e-12,-6198.428961552042
dp=0.010,0.01,constant,0.7211102550927992,0.0,0.0,-2.941559582210183e-13,-6199.14975861246
dp=0.010,0.01,constant,0.7211102550927992,0.0,0.0,1.3660364250228092e-13,-6198.322820627323
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,-4.666366463402574e-13,-6199.143987669443
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,6.494193393252353e-13,-6200.369680240886
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,-2.034032953837883e-12,-6200.696041517353
dp=0.010,0.01,constant,0.7483314773547844,0.0,0.0,-2.797713969142817e-13,-6510.060436080278
dp=0.010,0.01,constant,0.7483314773547844,0.0,0.0,-8.080543845897381e-14,-6510.467068826861
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,-7.985291381454088e-13,-6510.407976027642
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,3.22562577611663e-13,-6510.410052366906
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,2.7256032637976855e-13,-6508.918142545621
dp=0.010,0.01,constant,0.7483314773547874,0.0,0.0,1.3336990094493414e-12,-6510.442891324902
dp=0.010,0.01,constant,0.7483314773547874,0.0,0.0,1.2159968920778052e-12,-6509.482250811935
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,-3.3318751355292857e-13,-6510.442730449663
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,-1.8258686179058246e-12,-6510.453382579052
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,-4.216526189794306e-13,-6509.263186336779
dp=0.010,0.01,constant,0.748331477354789,0.0,0.0,-9.192524445923683e-13,-6510.411658694164
dp=0.010,0.01,constant,0.748331477354789,0.0,0.0,-7.038548407244785e-13,-6510.3971018683105
dp=0.010,0.01,constant,0.7483314773547903,0.0,0.0,-1.0032209632630164e-13,-6510.72542889572
dp=0.010,0.01,constant,0.7483314773547903,0.0,0.0,-1.331147582929295e-13,-6510.419333841091
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,1.8765030789981808e-13,-6511.009077045624
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,-8.622005288887775e-13,-6510.428294224833
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,7.794643290847843e-13,-6510.424872703884
dp=0.010,0.01,constant,0.7483314773547933,0.0,0.0,-4.5011464847813923e-13,-6510.48475743585
dp=0.010,0.01,constant,0.7483314773547934,0.0,0.0,2.4132680785201424e-14,-6511.58389670448
dp=0.010,0.01,constant,0.7999999999999979,0.0,0.0,-1.868461734264117e-12,-6446.459843137644
dp=0.010,0.01,constant,0.8000000000000035,0.0,0.0,-3.4149190873888704e-13,-6446.681818733093
dp=0.010,0.01,constant,0.8000000000000035,0.0,0.0,3.5448080434010715e-12,-6446.404167088507
dp=0.010,0.01,constant,0.8246211251235281,0.0,0.0,-6.903310768410316e-13,-6762.842978321448
dp=0.010,0.01,constant,0.8246211251235295,0.0,0.0,5.151366673638953e-13,-5808.071345094923
dp=0.010,0.01,constant,0.8246211251235295,0.0,0.0,-1.1211987318894221e-12,-5806.534046837884
dp=0.010,0.01,constant,0.8246211251235308,0.0,0.0,3.700159104098875e-14,-5809.082387944319
dp=0.010,0.01,constant,0.8246211251235308,0.0,0.0,-5.646472047631864e-13,-6762.892859735476
dp=0.010,0.01,constant,0.8246211251235308,0.0,0.0,-1.5251000940049215e-13,-5808.086884227659
dp=0.010,0.01,constant,0.8246211251235308,0.0,0.0,-7.214261759764554e-13,-6762.826948386436
dp=0.010,0.01,constant,0.8246211251235308,0.0,0.0,-3.374719719282061e-13,-6762.774983731673
dp=0.010,0.01,constant,0.8246211251235321,0.0,0.0,2.4246696316001267e-13,-6762.849355629711
dp=0.010,0.01,constant,0.8246211251235334,0.0,0.0,-3.8098202020729823e-13,-6762.875713633678
dp=0.010,0.01,constant,0.8246211251235334,0.0,0.0,7.487696872063317e-14,-6762.81465974166
dp=0.010,0.01,constant,0.8246211251235348,0.0,0.0,5.345401698364715e-13,-5810.9255081114925
dp=0.010,0.01,constant,0.8246211251235348,0.0,0.0,-1.2724317414542142e-12,-5808.058780084576
dp=0.010,0.01,constant,0.8246211251235348,0.0,0.0,-2.1173568945544353e-13,-6762.753302163293
dp=0.010,0.01,constant,0.8246211251235348,0.0,0.0,6.713235594019607e-14,-6762.823984590807
dp=0.010,0.01,constant,0.8246211251235361,0.0,0.0,-5.088102616717841e-13,-5804.405156060335
