case,time,targets,corrected,fallback,material_samples,boundary_samples,avg_material,avg_boundary,support,r_min_factor,r_threshold,boundary_weight,condition_limit,cond_min,cond_mean,cond_max,mean_lap,max_abs_lap,mean_abs_replaced,max_abs_replaced
mode8_corrected_laplacian_dp008,0.0012065,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.315,1410.26,2285.13,-362556.0,26263600.0,10061700.0,27744600.0
mode8_corrected_laplacian_dp008,0.0012065,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.315,1410.27,2285.15,-363049.0,26262400.0,10061500.0,27743400.0
mode8_corrected_laplacian_dp008,0.00128693,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.314,1410.27,2285.16,443033.0,28589000.0,10513000.0,30945600.0
mode8_corrected_laplacian_dp008,0.00128693,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.314,1410.28,2285.17,442543.0,28587800.0,10512800.0,30944400.0
mode8_corrected_laplacian_dp008,0.00136735,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.28,2285.19,1240250.0,30887500.0,10959400.0,34105500.0
mode8_corrected_laplacian_dp008,0.00136735,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.29,2285.2,1239750.0,30886200.0,10959300.0,34104300.0
mode8_corrected_laplacian_dp008,0.00144778,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.3,2285.21,2047380.0,33223200.0,11412400.0,37315200.0
mode8_corrected_laplacian_dp008,0.00144778,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.31,1410.3,2285.22,2046860.0,33221900.0,11412200.0,37314000.0
mode8_corrected_laplacian_dp008,0.00152821,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.309,1410.31,2285.24,2882640.0,35661600.0,11883200.0,40667600.0
mode8_corrected_laplacian_dp008,0.00152821,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.308,1410.31,2285.25,2882070.0,35660200.0,11883000.0,40666200.0
mode8_corrected_laplacian_dp008,0.00160864,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.307,1410.32,2285.27,3764570.0,38270900.0,12383700.0,44259500.0
mode8_corrected_laplacian_dp008,0.00160864,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.305,1410.32,2285.28,3763950.0,38269400.0,12383500.0,44258000.0
mode8_corrected_laplacian_dp008,0.00168907,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.304,1410.33,2285.3,4712550.0,41123000.0,12926000.0,48193600.0
mode8_corrected_laplacian_dp008,0.00168907,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.302,1410.34,2285.32,4711860.0,41121200.0,12925800.0,48191900.0
mode8_corrected_laplacian_dp008,0.0017695,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.301,1410.35,2285.33,5747320.0,44294700.0,13551300.0,52580200.0
mode8_corrected_laplacian_dp008,0.0017695,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.3,1410.36,2285.35,5746540.0,44292700.0,13550900.0,52578300.0
mode8_corrected_laplacian_dp008,0.00184993,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.298,1410.36,2285.37,6891490.0,47869600.0,14391800.0,57539200.0
mode8_corrected_laplacian_dp008,0.00184993,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.297,1410.37,2285.39,6890590.0,47867200.0,14391400.0,57537000.0
mode8_corrected_laplacian_dp008,0.00193036,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.296,1410.39,2285.42,-910611.0,28087700.0,11008500.0,29064100.0
mode8_corrected_laplacian_dp008,0.00193036,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.294,1410.4,2285.44,-911564.0,28085000.0,11008200.0,29061500.0
mode8_corrected_laplacian_dp008,0.00201078,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.293,1410.41,2285.46,270129.0,31837600.0,11712400.0,34298000.0
mode8_corrected_laplacian_dp008,0.00201078,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.291,1410.41,2285.48,269310.0,31835300.0,11712100.0,34295700.0
mode8_corrected_laplacian_dp008,0.00209121,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.29,1410.42,2285.5,1304500.0,35106700.0,12325000.0,38861200.0
mode8_corrected_laplacian_dp008,0.00209121,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.288,1410.43,2285.51,1303810.0,35104700.0,12324800.0,38859200.0
mode8_corrected_laplacian_dp008,0.00217164,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.286,1410.44,2285.53,2223180.0,37997200.0,12861600.0,42903900.0
mode8_corrected_laplacian_dp008,0.00217164,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.284,1410.44,2285.54,2222600.0,37995400.0,12861400.0,42902200.0
mode8_corrected_laplacian_dp008,0.00225207,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.283,1410.45,2285.55,3054500.0,40602600.0,13335700.0,46563500.0
mode8_corrected_laplacian_dp008,0.00225207,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.281,1410.46,2285.56,3054020.0,40601000.0,13335600.0,46562000.0
mode8_corrected_laplacian_dp008,0.0023325,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.279,1410.46,2285.57,3824840.0,43010100.0,13759600.0,49968100.0
mode8_corrected_laplacian_dp008,0.0023325,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.278,1410.47,2285.58,3824450.0,43008700.0,13759400.0,49966800.0
mode8_corrected_laplacian_dp008,0.00241293,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.276,1410.47,2285.59,4558920.0,45302100.0,14144500.0,53238700.0
mode8_corrected_laplacian_dp008,0.00241293,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.275,1410.48,2285.6,4558610.0,45300700.0,14144400.0,53237400.0
mode8_corrected_laplacian_dp008,0.00249336,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.274,1410.48,2285.61,5280080.0,47557900.0,14501700.0,56491400.0
mode8_corrected_laplacian_dp008,0.00249336,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.273,1410.49,2285.61,5279830.0,47556600.0,14501600.0,56490200.0
mode8_corrected_laplacian_dp008,0.00257379,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.272,1410.5,2285.62,6010510.0,49855900.0,14874800.0,59839800.0
mode8_corrected_laplacian_dp008,0.00257379,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.271,1410.5,2285.63,6010310.0,49854600.0,14874700.0,59838600.0
mode8_corrected_laplacian_dp008,0.00265421,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.27,1410.51,2285.64,6771500.0,52274500.0,15363100.0,63397100.0
mode8_corrected_laplacian_dp008,0.00265421,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.27,1410.52,2285.65,6771320.0,52273000.0,15363000.0,63395700.0
mode8_corrected_laplacian_dp008,0.00273464,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.27,1410.53,2285.66,-1138260.0,30027200.0,11736400.0,31093700.0
mode8_corrected_laplacian_dp008,0.00273464,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.27,1410.53,2285.67,-1138410.0,30025700.0,11736400.0,31092300.0
mode8_corrected_laplacian_dp008,0.00281507,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.54,2285.67,-518657.0,31974900.0,11966800.0,34056400.0
mode8_corrected_laplacian_dp008,0.00281507,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.55,2285.67,-518552.0,31974100.0,11966800.0,34055600.0
mode8_corrected_laplacian_dp008,0.0028955,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.55,2285.67,-156398.0,33047300.0,12040300.0,35781000.0
mode8_corrected_laplacian_dp008,0.0028955,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.55,2285.67,-156062.0,33047200.0,12040400.0,35780900.0
mode8_corrected_laplacian_dp008,0.00297593,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.55,2285.66,-35579.9,33310600.0,11967200.0,36362800.0
mode8_corrected_laplacian_dp008,0.00297593,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.55,2285.65,-35035.7,33311100.0,11967500.0,36363300.0
mode8_corrected_laplacian_dp008,0.00305636,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.55,2285.64,-145958.0,32806700.0,11754500.0,35861100.0
mode8_corrected_laplacian_dp008,0.00305636,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.55,2285.63,-145229.0,32807700.0,11754800.0,35862100.0
mode8_corrected_laplacian_dp008,0.00313679,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.54,2285.61,-482301.0,31556400.0,11406100.0,34304700.0
mode8_corrected_laplacian_dp008,0.00313679,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.54,2285.59,-481410.0,31557900.0,11406400.0,34306200.0
mode8_corrected_laplacian_dp008,0.00321722,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.53,2285.57,-1043740.0,29563400.0,10923000.0,31697300.0
